"Date","CANCP070000IXNBM"
2014-12-01,100
2015-01-01,97.57988986
2015-02-01,99.35625304
2015-03-01,101.69667
2015-04-01,101.642074
2015-05-01,102.9447586
2015-06-01,104.4478513
2015-07-01,104.0162076
2015-08-01,102.7141415
2015-09-01,100.3920962
2015-10-01,100.748998
2015-11-01,101.2217987
2015-12-01,100.5737841
2016-01-01,100.4252181
2016-02-01,99.11163958
2016-03-01,100.6175067
2016-04-01,102.9272144
2016-05-01,103.9993142
2016-06-01,105.6886276
2016-07-01,103.684304
2016-08-01,102.9600461
2016-09-01,103.0610202
2016-10-01,104.222626
2016-11-01,102.8254194
2016-12-01,104.1
2017-01-01,107.4
2017-02-01,106.3
2017-03-01,105.6
2017-04-01,107.5
2017-05-01,106.6
2017-06-01,106.1
2017-07-01,105.8
2017-08-01,106.2
2017-09-01,107.5
2017-10-01,107.8
2017-11-01,109.8
2017-12-01,109.8
2018-01-01,111.3
2018-02-01,111.7
2018-03-01,111.9
2018-04-01,113.2
2018-05-01,113.3
2018-06-01,113.9
2018-07-01,115.3
2018-08-01,114.6
2018-09-01,113.3
2018-10-01,112.7
2018-11-01,110.3
2018-12-01,111.1
2019-01-01,109.7
2019-02-01,110.8
2019-03-01,113.3
2019-04-01,115.4
2019-05-01,115.9
2019-06-01,114.4
2019-07-01,115.8
2019-08-01,114.9
2019-09-01,115.9
2019-10-01,113
2019-11-01,113.1
2019-12-01,114.5
2020-01-01,114.6
2020-02-01,115
2020-03-01,110.2
2020-04-01,108
2020-05-01,110.6
2020-06-01,113.4
2020-07-01,113.442339613442
2020-08-01,112.2
2020-09-01,111.4
2020-10-01,111.8
2020-11-01,112
2020-12-01,113
2021-01-01,115.5
2021-02-01,117.6
2021-03-01,119.3
2021-04-01,120.1
2021-05-01,121.4
2021-06-01,122
2021-07-01,123.4
2021-08-01,124.7
2021-09-01,124.2
2021-10-01,126.1
2021-11-01,126.2
2021-12-01,125.7
2022-01-01,127.7
2022-02-01,130.3
2022-03-01,135.1
2022-04-01,135.5
2022-05-01,141
2022-06-01,145
2022-07-01,142.4
2022-08-01,138.2
2022-09-01,135
2022-10-01,138.5
2022-11-01,137.1
2022-12-01,132.6
2023-01-01,133.9
2023-02-01,133.3
2023-03-01,134.4
2023-04-01,136.7
2023-05-01,136.2
2023-06-01,138.1
2023-07-01,140
2023-08-01,141.1
2023-09-01,139.4
2023-10-01,136.9
