"Date","CANEMPTOTMPSMEI"
1955-01-01,5267.127
1955-02-01,5301.09
1955-03-01,5302.315
1955-04-01,5317.071
1955-05-01,5335.259
1955-06-01,5346.478
1955-07-01,5365.256
1955-08-01,5403.367
1955-09-01,5384.682
1955-10-01,5409.541
1955-11-01,5431.853
1955-12-01,5492.836
1956-01-01,5512.572
1956-02-01,5527.406
1956-03-01,5574.719
1956-04-01,5553.297
1956-05-01,5536.67
1956-06-01,5558.319
1956-07-01,5580.484
1956-08-01,5602.655
1956-09-01,5582.709
1956-10-01,5627.638
1956-11-01,5672.075
1956-12-01,5687.511
1957-01-01,5715.324
1957-02-01,5713.492
1957-03-01,5729.801
1957-04-01,5684.627
1957-05-01,5737.686
1957-06-01,5750.361
1957-07-01,5736.226
1957-08-01,5740.883
1957-09-01,5762.35
1957-10-01,5748.274
1957-11-01,5731.96
1957-12-01,5709.488
1958-01-01,5666.392
1958-02-01,5656.218
1958-03-01,5664.738
1958-04-01,5694.193
1958-05-01,5712.848
1958-06-01,5704.048
1958-07-01,5715.885
1958-08-01,5710.35
1958-09-01,5720.637
1958-10-01,5731.743
1958-11-01,5736.883
1958-12-01,5744.173
1959-01-01,5781.645
1959-02-01,5829.922
1959-03-01,5840.626
1959-04-01,5843.672
1959-05-01,5816.202
1959-06-01,5874.05
1959-07-01,5897.259
1959-08-01,5882.153
1959-09-01,5911.808
1959-10-01,5921.997
1959-11-01,5910.616
1959-12-01,5919.892
1960-01-01,5949.813
1960-02-01,5937.54
1960-03-01,5941.713
1960-04-01,5908.88
1960-05-01,5951.487
1960-06-01,5962.84
1960-07-01,5950.796
1960-08-01,5973.356
1960-09-01,5993.089
1960-10-01,6012.699
1960-11-01,6006.96
1960-12-01,5991.638
1961-01-01,5993.919
1961-02-01,5955.972
1961-03-01,5954.327
1961-04-01,6017.977
1961-05-01,6060.75
1961-06-01,6037.969
1961-07-01,6062.525
1961-08-01,6070.19
1961-09-01,6086.774
1961-10-01,6106.726
1961-11-01,6133.902
1961-12-01,6171.233
1962-01-01,6158.356
1962-02-01,6156.966
1962-03-01,6204.367
1962-04-01,6211.939
1962-05-01,6234.359
1962-06-01,6265.116
1962-07-01,6232.392
1962-08-01,6259.313
1962-09-01,6248.035
1962-10-01,6225.124
1962-11-01,6255.307
1962-12-01,6248.84
1963-01-01,6251.129
1963-02-01,6270.715
1963-03-01,6269.662
1963-04-01,6306.188
1963-05-01,6295.698
1963-06-01,6353.036
1963-07-01,6397.623
1963-08-01,6412.562
1963-09-01,6437.418
1963-10-01,6484.74
1963-11-01,6488.825
1963-12-01,6521.213
1964-01-01,6535.354
1964-02-01,6552.066
1964-03-01,6588.752
1964-04-01,6578.566
1964-05-01,6593.476
1964-06-01,6577.296
1964-07-01,6610.733
1964-08-01,6613.673
1964-09-01,6634.735
1964-10-01,6621.738
1964-11-01,6695.023
1964-12-01,6709.962
1965-01-01,6758
1965-02-01,6772
1965-03-01,6808
1965-04-01,6795
1965-05-01,6831
1965-06-01,6850
1965-07-01,6866
1965-08-01,6902
1965-09-01,6874
1965-10-01,6926
1965-11-01,6943
1965-12-01,7019
1966-01-01,7130
1966-02-01,7168
1966-03-01,7182
1966-04-01,7221
1966-05-01,7193
1966-06-01,7180
1966-07-01,7235
1966-08-01,7276
1966-09-01,7307
1966-10-01,7349
1966-11-01,7301
1966-12-01,7364
1967-01-01,7375
1967-02-01,7381
1967-03-01,7451
1967-04-01,7382
1967-05-01,7445
1967-06-01,7418
1967-07-01,7487
1967-08-01,7515
1967-09-01,7490
1967-10-01,7446
1967-11-01,7501
1967-12-01,7515
1968-01-01,7476
1968-02-01,7488
1968-03-01,7468
1968-04-01,7516
1968-05-01,7514
1968-06-01,7580
1968-07-01,7585
1968-08-01,7621
1968-09-01,7678
1968-10-01,7702
1968-11-01,7753
1968-12-01,7727
1969-01-01,7798
1969-02-01,7820
1969-03-01,7829
1969-04-01,7878
1969-05-01,7858
1969-06-01,7818
1969-07-01,7822
1969-08-01,7821
1969-09-01,7822
1969-10-01,7817
1969-11-01,7839
1969-12-01,7876
1970-01-01,7860
1970-02-01,7864
1970-03-01,7858
1970-04-01,7890
1970-05-01,7927
1970-06-01,7931
1970-07-01,7911
1970-08-01,7921
1970-09-01,7966
1970-10-01,7976
1970-11-01,7997
1970-12-01,7944
1971-01-01,8009
1971-02-01,8016
1971-03-01,7998
1971-04-01,7952
1971-05-01,8045
1971-06-01,8074
1971-07-01,8138
1971-08-01,8137
1971-09-01,8163
1971-10-01,8221
1971-11-01,8215
1971-12-01,8265
1972-01-01,8254
1972-02-01,8262
1972-03-01,8316
1972-04-01,8297
1972-05-01,8282
1972-06-01,8322
1972-07-01,8367
1972-08-01,8369
1972-09-01,8368
1972-10-01,8367
1972-11-01,8435
1972-12-01,8484
1973-01-01,8531
1973-02-01,8618
1973-03-01,8686
1973-04-01,8744
1973-05-01,8761
1973-06-01,8818
1973-07-01,8736
1973-08-01,8778
1973-09-01,8767
1973-10-01,8843
1973-11-01,8891
1973-12-01,8936
1974-01-01,8998
1974-02-01,9025
1974-03-01,9035
1974-04-01,9097
1974-05-01,9062
1974-06-01,9087
1974-07-01,9142
1974-08-01,9193
1974-09-01,9173
1974-10-01,9204
1974-11-01,9228
1974-12-01,9251
1975-01-01,9158
1975-02-01,9173
1975-03-01,9144
1975-04-01,9184
1975-05-01,9260
1975-06-01,9314
1975-07-01,9291
1975-08-01,9263
1975-09-01,9334
1975-10-01,9366
1975-11-01,9416
1975-12-01,9469
1976-01-01,9645.1
1976-02-01,9655.2
1976-03-01,9694.6
1976-04-01,9736.4
1976-05-01,9723.7
1976-06-01,9750.8
1976-07-01,9753.8
1976-08-01,9774.5
1976-09-01,9795
1976-10-01,9777.7
1976-11-01,9823.9
1976-12-01,9860.1
1977-01-01,9863
1977-02-01,9868.5
1977-03-01,9859.4
1977-04-01,9886.6
1977-05-01,9916.8
1977-06-01,9903.2
1977-07-01,9903.7
1977-08-01,9932.5
1977-09-01,9933.5
1977-10-01,9958.5
1977-11-01,9972.9
1977-12-01,9997.8
1978-01-01,9999.3
1978-02-01,10060.6
1978-03-01,10097.7
1978-04-01,10119.4
1978-05-01,10150.3
1978-06-01,10198.8
1978-07-01,10245.4
1978-08-01,10284.9
1978-09-01,10298.7
1978-10-01,10367.4
1978-11-01,10385.9
1978-12-01,10421.2
1979-01-01,10460.1
1979-02-01,10482.6
1979-03-01,10537.9
1979-04-01,10578.9
1979-05-01,10613.4
1979-06-01,10630.3
1979-07-01,10708.3
1979-08-01,10741.1
1979-09-01,10745.5
1979-10-01,10801.6
1979-11-01,10837.2
1979-12-01,10867.2
1980-01-01,10904.8
1980-02-01,10895.2
1980-03-01,10908.8
1980-04-01,10946.3
1980-05-01,10890.8
1980-06-01,10944
1980-07-01,10936.3
1980-08-01,10973.4
1980-09-01,11055.7
1980-10-01,11079
1980-11-01,11125.1
1980-12-01,11145.5
1981-01-01,11211.5
1981-02-01,11278.6
1981-03-01,11268.4
1981-04-01,11317.5
1981-05-01,11341.2
1981-06-01,11378.9
1981-07-01,11335.1
1981-08-01,11358.9
1981-09-01,11328.2
1981-10-01,11297.5
1981-11-01,11290.2
1981-12-01,11241.7
1982-01-01,11204
1982-02-01,11163.9
1982-03-01,11134.6
1982-04-01,11072.7
1982-05-01,11012.9
1982-06-01,10939.4
1982-07-01,10889.2
1982-08-01,10827.9
1982-09-01,10802.5
1982-10-01,10785.7
1982-11-01,10763.8
1982-12-01,10776.2
1983-01-01,10795.7
1983-02-01,10817.7
1983-03-01,10872.4
1983-04-01,10922.5
1983-05-01,10948.5
1983-06-01,11017
1983-07-01,11064.6
1983-08-01,11119
1983-09-01,11167.2
1983-10-01,11164
1983-11-01,11163
1983-12-01,11183.4
1984-01-01,11158.3
1984-02-01,11205.6
1984-03-01,11210.6
1984-04-01,11209.6
1984-05-01,11240.2
1984-06-01,11301
1984-07-01,11359.3
1984-08-01,11345.5
1984-09-01,11361.5
1984-10-01,11384.3
1984-11-01,11391.2
1984-12-01,11432.2
1985-01-01,11462.9
1985-02-01,11471.4
1985-03-01,11501.7
1985-04-01,11543.5
1985-05-01,11586.5
1985-06-01,11583.9
1985-07-01,11661.3
1985-08-01,11686
1985-09-01,11697.1
1985-10-01,11724.7
1985-11-01,11789.8
1985-12-01,11824.6
1986-01-01,11881.5
1986-02-01,11888.3
1986-03-01,11906.2
1986-04-01,11974.4
1986-05-01,11945.1
1986-06-01,12003.5
1986-07-01,11993
1986-08-01,12009.7
1986-09-01,12028.4
1986-10-01,12050.6
1986-11-01,12071.8
1986-12-01,12075.9
1987-01-01,12103.8
1987-02-01,12135.6
1987-03-01,12170.5
1987-04-01,12231.8
1987-05-01,12283.2
1987-06-01,12326.7
1987-07-01,12342.2
1987-08-01,12380
1987-09-01,12425.6
1987-10-01,12488.7
1987-11-01,12521.9
1987-12-01,12579.3
1988-01-01,12587.2
1988-02-01,12646.3
1988-03-01,12658.2
1988-04-01,12670.1
1988-05-01,12683
1988-06-01,12694.3
1988-07-01,12706.3
1988-08-01,12713.6
1988-09-01,12730.3
1988-10-01,12767.9
1988-11-01,12800.3
1988-12-01,12844
1989-01-01,12938.8
1989-02-01,12940.1
1989-03-01,12981.9
1989-04-01,12947.6
1989-05-01,12964
1989-06-01,12974.4
1989-07-01,12972.7
1989-08-01,13024.2
1989-09-01,13023.3
1989-10-01,13032.2
1989-11-01,13061.4
1989-12-01,13074.9
1990-01-01,13110.1
1990-02-01,13133.6
1990-03-01,13129
1990-04-01,13159.7
1990-05-01,13108.4
1990-06-01,13125.8
1990-07-01,13118.4
1990-08-01,13100
1990-09-01,13078.3
1990-10-01,13034.3
1990-11-01,12986.9
1990-12-01,12938.2
1991-01-01,12899.6
1991-02-01,12842.7
1991-03-01,12816.7
1991-04-01,12861.6
1991-05-01,12886.2
1991-06-01,12870.4
1991-07-01,12871.6
1991-08-01,12877.4
1991-09-01,12859.7
1991-10-01,12860.6
1991-11-01,12823.6
1991-12-01,12811.6
1992-01-01,12793.3
1992-02-01,12768.8
1992-03-01,12733.6
1992-04-01,12732.8
1992-05-01,12742.1
1992-06-01,12732.2
1992-07-01,12724.2
1992-08-01,12698.6
1992-09-01,12697.6
1992-10-01,12716
1992-11-01,12704
1992-12-01,12720
1993-01-01,12746.1
1993-02-01,12759
1993-03-01,12771.8
1993-04-01,12746.7
1993-05-01,12758.7
1993-06-01,12787.8
1993-07-01,12780.1
1993-08-01,12802.7
1993-09-01,12834
1993-10-01,12829.7
1993-11-01,12871.4
1993-12-01,12845.8
1994-01-01,12840.4
1994-02-01,12887.4
1994-03-01,12922.4
1994-04-01,12936.8
1994-05-01,13018.1
1994-06-01,13043.1
1994-07-01,13087.9
1994-08-01,13111.2
1994-09-01,13167.4
1994-10-01,13172.9
1994-11-01,13256.4
1994-12-01,13242
1995-01-01,13269.5
1995-02-01,13262.3
1995-03-01,13290.5
1995-04-01,13268.9
1995-05-01,13265.8
1995-06-01,13278.2
1995-07-01,13280.6
1995-08-01,13297.8
1995-09-01,13331.2
1995-10-01,13347
1995-11-01,13315
1995-12-01,13356.8
1996-01-01,13374.5
1996-02-01,13399.4
1996-03-01,13377.2
1996-04-01,13404.1
1996-05-01,13425.6
1996-06-01,13412.9
1996-07-01,13440.4
1996-08-01,13456.6
1996-09-01,13414.4
1996-10-01,13412.8
1996-11-01,13441.5
1996-12-01,13465.7
1997-01-01,13535.9
1997-02-01,13538.1
1997-03-01,13569.8
1997-04-01,13571.2
1997-05-01,13637.2
1997-06-01,13690
1997-07-01,13731.5
1997-08-01,13798.9
1997-09-01,13815.9
1997-10-01,13833.1
1997-11-01,13859.5
1997-12-01,13874.9
1998-01-01,13864.8
1998-02-01,13914.5
1998-03-01,13949.4
1998-04-01,13977.6
1998-05-01,13993.3
1998-06-01,14005.8
1998-07-01,14063.8
1998-08-01,14101.7
1998-09-01,14140.7
1998-10-01,14159.4
1998-11-01,14198.9
1998-12-01,14200
1999-01-01,14273.3
1999-02-01,14263.3
1999-03-01,14278.7
1999-04-01,14316.6
1999-05-01,14352.7
1999-06-01,14373
1999-07-01,14430.9
1999-08-01,14451.8
1999-09-01,14474.6
1999-10-01,14514.7
1999-11-01,14549.4
1999-12-01,14611.3
2000-01-01,14652.7
2000-02-01,14672.2
2000-03-01,14697.5
2000-04-01,14722.7
2000-05-01,14736.4
2000-06-01,14746.8
2000-07-01,14750.4
2000-08-01,14770.3
2000-09-01,14812.2
2000-10-01,14835.3
2000-11-01,14871.4
2000-12-01,14920
2001-01-01,14888.3
2001-02-01,14890.1
2001-03-01,14904.2
2001-04-01,14922.8
2001-05-01,14950.3
2001-06-01,14934.7
2001-07-01,14939.6
2001-08-01,14950.6
2001-09-01,14968.6
2001-10-01,14974.1
2001-11-01,14977.6
2001-12-01,14965
2002-01-01,15029.3
2002-02-01,15056.2
2002-03-01,15124.6
2002-04-01,15174.4
2002-05-01,15229.1
2002-06-01,15295.3
2002-07-01,15325.4
2002-08-01,15420.5
2002-09-01,15435.5
2002-10-01,15448
2002-11-01,15480.9
2002-12-01,15536.3
2003-01-01,15547.6
2003-02-01,15600.3
2003-03-01,15608.8
2003-04-01,15595.4
2003-05-01,15580.7
2003-06-01,15623.5
2003-07-01,15654.6
2003-08-01,15657.5
2003-09-01,15685.1
2003-10-01,15743.4
2003-11-01,15785.2
2003-12-01,15823.6
2004-01-01,15823.5
2004-02-01,15829.9
2004-03-01,15837.7
2004-04-01,15893.8
2004-05-01,15916.1
2004-06-01,15928.2
2004-07-01,15944
2004-08-01,15942.4
2004-09-01,15980.3
2004-10-01,15997.4
2004-11-01,16009.3
2004-12-01,16017.2
2005-01-01,16014.7
2005-02-01,16039.3
2005-03-01,16029
2005-04-01,16071
2005-05-01,16068.2
2005-06-01,16111.6
2005-07-01,16156
2005-08-01,16187.6
2005-09-01,16171.4
2005-10-01,16208.3
2005-11-01,16245.2
2005-12-01,16237.9
2006-01-01,16203.1
2006-02-01,16267.8
2006-03-01,16315.1
2006-04-01,16356.6
2006-05-01,16430
2006-06-01,16433.6
2006-07-01,16457.4
2006-08-01,16442.8
2006-09-01,16460.9
2006-10-01,16479.8
2006-11-01,16508.4
2006-12-01,16584.2
2007-01-01,16621
2007-02-01,16672.4
2007-03-01,16728.9
2007-04-01,16713.9
2007-05-01,16735.7
2007-06-01,16797.2
2007-07-01,16814
2007-08-01,16837.5
2007-09-01,16878.1
2007-10-01,16923.1
2007-11-01,16955.4
2007-12-01,16954.4
2008-01-01,16990.7
2008-02-01,17056.6
2008-03-01,17066.9
2008-04-01,17072.8
2008-05-01,17094.9
2008-06-01,17082.7
2008-07-01,17073.3
2008-08-01,17078
2008-09-01,17162.8
2008-10-01,17175.1
2008-11-01,17085.5
2008-12-01,17045.5
2009-01-01,16909.7
2009-02-01,16840.4
2009-03-01,16808.8
2009-04-01,16796.9
2009-05-01,16780
2009-06-01,16757.6
2009-07-01,16743.8
2009-08-01,16773.5
2009-09-01,16815.5
2009-10-01,16811.9
2009-11-01,16892.3
2009-12-01,16858.6
2010-01-01,16882.9
2010-02-01,16912.7
2010-03-01,16931.7
2010-04-01,16995.3
2010-05-01,17032.5
2010-06-01,17091.5
2010-07-01,17088
2010-08-01,17112.2
2010-09-01,17089.8
2010-10-01,17117.1
2010-11-01,17135.8
2010-12-01,17164.7
2011-01-01,17227.9
2011-02-01,17233.7
2011-03-01,17239.3
2011-04-01,17280.9
2011-05-01,17299
2011-06-01,17328.6
2011-07-01,17340.1
2011-08-01,17337
2011-09-01,17391.2
2011-10-01,17338.5
2011-11-01,17333
2011-12-01,17354.7
2012-01-01,17357
2012-02-01,17354.2
2012-03-01,17436.5
2012-04-01,17494.7
