"Date","CANLFMALEMDSMEI"
1956-01-01,4382.793
1956-02-01,4391.262
1956-03-01,4389.258
1956-04-01,4400.635
1956-05-01,4415.113
1956-06-01,4428.86
1956-07-01,4442.301
1956-08-01,4472.734
1956-09-01,4466.519
1956-10-01,4475.727
1956-11-01,4486.355
1956-12-01,4488.076
1957-01-01,4493.258
1957-02-01,4508.328
1957-03-01,4520.921
1957-04-01,4522.503
1957-05-01,4554.166
1957-06-01,4576.591
1957-07-01,4596.851
1957-08-01,4613.823
1957-09-01,4621.521
1957-10-01,4621.251
1957-11-01,4622.714
1957-12-01,4624.334
1958-01-01,4634.88
1958-02-01,4633.051
1958-03-01,4649.513
1958-04-01,4649.289
1958-05-01,4646.395
1958-06-01,4638.374
1958-07-01,4623.372
1958-08-01,4624.962
1958-09-01,4622.106
1958-10-01,4642.466
1958-11-01,4655.333
1958-12-01,4672.317
1959-01-01,4675.649
1959-02-01,4677.447
1959-03-01,4676.94
1959-04-01,4666.152
1959-05-01,4667.827
1959-06-01,4677.724
1959-07-01,4692.809
1959-08-01,4684.267
1959-09-01,4705.558
1959-10-01,4702.607
1959-11-01,4703.147
1959-12-01,4716.307
1960-01-01,4721.861
1960-02-01,4735.481
1960-03-01,4733.459
1960-04-01,4750.708
1960-05-01,4753.443
1960-06-01,4740.644
1960-07-01,4749.701
1960-08-01,4756.995
1960-09-01,4766.629
1960-10-01,4777.204
1960-11-01,4785.195
1960-12-01,4774.386
1961-01-01,4793.937
1961-02-01,4782.477
1961-03-01,4781.496
1961-04-01,4787.432
1961-05-01,4790.253
1961-06-01,4759.24
1961-07-01,4774.414
1961-08-01,4774.517
1961-09-01,4783.07
1961-10-01,4783.241
1961-11-01,4781.527
1961-12-01,4788.054
1962-01-01,4786.196
1962-02-01,4822.309
1962-03-01,4814.482
1962-04-01,4811.479
1962-05-01,4819.625
1962-06-01,4828.804
1962-07-01,4820.29
1962-08-01,4825.386
1962-09-01,4819.164
1962-10-01,4804.735
1962-11-01,4824.485
1962-12-01,4840.855
1963-01-01,4844.147
1963-02-01,4854.456
1963-03-01,4862.551
1963-04-01,4870.438
1963-05-01,4858.996
1963-06-01,4873.337
1963-07-01,4880.926
1963-08-01,4882.218
1963-09-01,4889.899
1963-10-01,4904.826
1963-11-01,4909.842
1963-12-01,4908.171
1964-01-01,4919.45
1964-02-01,4924.823
1964-03-01,4928.439
1964-04-01,4935.554
1964-05-01,4950.371
1964-06-01,4954.899
1964-07-01,4978.418
1964-08-01,4987.251
1964-09-01,4987.805
1964-10-01,4986.744
1964-11-01,4995.41
1964-12-01,4978.821
1965-01-01,5033
1965-02-01,5039
1965-03-01,5050
1965-04-01,5039
1965-05-01,5045
1965-06-01,5052
1965-07-01,5066
1965-08-01,5076
1965-09-01,5061
1965-10-01,5053
1965-11-01,5099
1965-12-01,5137
1966-01-01,5108
1966-02-01,5153
1966-03-01,5137
1966-04-01,5143
1966-05-01,5114
1966-06-01,5076
1966-07-01,5138
1966-08-01,5147
1966-09-01,5161
1966-10-01,5172
1966-11-01,5189
1966-12-01,5220
1967-01-01,5240
1967-02-01,5230
1967-03-01,5255
1967-04-01,5238
1967-05-01,5256
1967-06-01,5215
1967-07-01,5277
1967-08-01,5290
1967-09-01,5280
1967-10-01,5270
1967-11-01,5286
1967-12-01,5300
1968-01-01,5277
1968-02-01,5293
1968-03-01,5285
1968-04-01,5328
1968-05-01,5320
1968-06-01,5370
1968-07-01,5366
1968-08-01,5373
1968-09-01,5376
1968-10-01,5396
1968-11-01,5415
1968-12-01,5421
1969-01-01,5455
1969-02-01,5454
1969-03-01,5466
1969-04-01,5476
1969-05-01,5481
1969-06-01,5463
1969-07-01,5453
1969-08-01,5455
1969-09-01,5445
1969-10-01,5460
1969-11-01,5483
1969-12-01,5507
1970-01-01,5493
1970-02-01,5516
1970-03-01,5512
1970-04-01,5520
1970-05-01,5558
1970-06-01,5581
1970-07-01,5593
1970-08-01,5608
1970-09-01,5625
1970-10-01,5633
1970-11-01,5643
1970-12-01,5626
1971-01-01,5622
1971-02-01,5618
1971-03-01,5598
1971-04-01,5599
1971-05-01,5643
1971-06-01,5664
1971-07-01,5688
1971-08-01,5691
1971-09-01,5704
1971-10-01,5714
1971-11-01,5720
1971-12-01,5726
1972-01-01,5733
1972-02-01,5742
1972-03-01,5781
1972-04-01,5774
1972-05-01,5784
1972-06-01,5799
1972-07-01,5829
1972-08-01,5819
1972-09-01,5813
1972-10-01,5829
1972-11-01,5832
1972-12-01,5849
1973-01-01,5873
1973-02-01,5888
1973-03-01,5925
1973-04-01,5965
1973-05-01,5951
1973-06-01,5989
1973-07-01,5962
1973-08-01,5973
1973-09-01,5970
1973-10-01,6030
1973-11-01,6039
1973-12-01,6071
1974-01-01,6097
