"Date","CANLOCOMAORSTSAM"
1960-01-01,79206236559.1398
1960-02-01,79206236559.1398
1960-03-01,79720562770.5628
1960-04-01,80022795698.9247
1960-05-01,80022795698.9247
1960-06-01,81655913978.4946
1960-07-01,80022795698.9247
1960-08-01,80839354838.7096
1960-09-01,81655913978.4946
1960-10-01,81421868365.1804
1960-11-01,81421868365.1804
1960-12-01,81421868365.1804
1961-01-01,82228025477.707
1961-02-01,83034182590.2336
1961-03-01,83840339702.7601
1961-04-01,82228025477.707
1961-05-01,82228025477.707
1961-06-01,83034182590.2336
1961-07-01,83840339702.7601
1961-08-01,85452653927.8132
1961-09-01,84646496815.2866
1961-10-01,84646496815.2866
1961-11-01,86258811040.3397
1961-12-01,86258811040.3397
1962-01-01,85452653927.8132
1962-02-01,86258811040.3397
1962-03-01,85452653927.8132
1962-04-01,85712869198.3122
1962-05-01,85712869198.3122
1962-06-01,85173794549.2662
1962-07-01,84377777777.7778
1962-08-01,83850416666.6666
1962-09-01,85969811320.7547
1962-10-01,87014583333.3333
1962-11-01,87014583333.3333
1962-12-01,88596666666.6666
1963-01-01,87805625000
1963-02-01,87805625000
1963-03-01,87805625000
1963-04-01,89387708333.3333
1963-05-01,90969791666.6666
1963-06-01,90178750000
1963-07-01,89846707818.93
1963-08-01,88519018404.908
1963-09-01,89846707818.93
1963-10-01,89846707818.93
1963-11-01,89295501022.4949
1963-12-01,90071983640.0818
1964-01-01,91624948875.2556
1964-02-01,90848466257.6687
1964-03-01,92401431492.8425
1964-04-01,91838008130.0813
1964-05-01,91838008130.0813
1964-06-01,92609756097.561
1964-07-01,92048484848.4848
1964-08-01,92048484848.4848
1964-09-01,92048484848.4848
1964-10-01,92815555555.5556
1964-11-01,92815555555.5556
1964-12-01,93781325301.2048
1965-01-01,93781325301.2048
1965-02-01,93781325301.2048
1965-03-01,94543775100.4016
1965-04-01,95493413173.6527
1965-05-01,95493413173.6527
1965-06-01,95861143984.2209
1965-07-01,96610059171.5976
1965-08-01,98107889546.3511
1965-09-01,96610059171.5976
1965-10-01,96610059171.5976
1965-11-01,96786274509.8039
1965-12-01,96960428849.9025
1966-01-01,96960428849.9025
1966-02-01,97868410852.7132
1966-03-01,98034296724.4701
1966-04-01,97470881226.0536
1966-05-01,98198275862.069
1966-06-01,97637142857.1428
1966-07-01,98360380952.3809
1966-08-01,97801515151.5151
1966-09-01,98520643939.3939
1966-10-01,99958901515.1515
1966-11-01,101397159090.909
1966-12-01,100824293785.311
1967-01-01,102254425612.053
