"Date","CANODMNTO02MLSAM"
1960-01-01,1948800000
1960-02-01,1937200000
1960-03-01,1942700000
1960-04-01,1896600000
1960-05-01,1893100000
1960-06-01,1898900000
1960-07-01,1920200000
1960-08-01,1926200000
1960-09-01,1950700000
1960-10-01,1924600000
1960-11-01,1923400000
1960-12-01,1.969e+09
1961-01-01,1911300000
1961-02-01,1889700000
1961-03-01,1893300000
1961-04-01,1924400000
1961-05-01,1889200000
1961-06-01,1955300000
1961-07-01,2001800000
1961-08-01,2058500000
1961-09-01,2029600000
1961-10-01,1.999e+09
1961-11-01,2108300000
1961-12-01,2033900000
1962-01-01,2077700000
1962-02-01,2082600000
1962-03-01,2129600000
1962-04-01,2104700000
1962-05-01,2146100000
1962-06-01,2233200000
1962-07-01,2.194e+09
1962-08-01,2177100000
1962-09-01,2167500000
1962-10-01,2215400000
1962-11-01,2206900000
1962-12-01,2176500000
1963-01-01,2214600000
1963-02-01,2261600000
1963-03-01,2192600000
1963-04-01,2240500000
1963-05-01,2348100000
1963-06-01,2293100000
1963-07-01,2395500000
1963-08-01,2374100000
1963-09-01,2444100000
1963-10-01,2428600000
1963-11-01,2464700000
1963-12-01,2448200000
1964-01-01,2673100000
1964-02-01,2505900000
1964-03-01,2537300000
1964-04-01,2587400000
1964-05-01,2511700000
1964-06-01,2616600000
1964-07-01,2572300000
1964-08-01,2.54e+09
1964-09-01,2.618e+09
1964-10-01,2644100000
1964-11-01,2676300000
1964-12-01,2641800000
1965-01-01,2625500000
1965-02-01,2736400000
1965-03-01,2817900000
1965-04-01,2810400000
1965-05-01,2788200000
1965-06-01,2839800000
1965-07-01,2905900000
1965-08-01,2894300000
1965-09-01,2932500000
1965-10-01,2955200000
1965-11-01,3046800000
1965-12-01,3.027e+09
1966-01-01,3073300000
1966-02-01,3187200000
1966-03-01,3182200000
1966-04-01,3181400000
1966-05-01,3178600000
1966-06-01,3156100000
1966-07-01,3098400000
1966-08-01,3252100000
1966-09-01,3135100000
1966-10-01,3164400000
1966-11-01,3173600000
1966-12-01,3409800000
1967-01-01,3244600000
1967-02-01,3182800000
1967-03-01,3139900000
1967-04-01,3175700000
1967-05-01,3168700000
1967-06-01,3245300000
1967-07-01,3308400000
1967-08-01,3303900000
1967-09-01,3270900000
1967-10-01,3.281e+09
1967-11-01,3260700000
1967-12-01,3405600000
1968-01-01,3320800000
1968-02-01,3207500000
1968-03-01,3.371e+09
1968-04-01,3398500000
1968-05-01,3.515e+09
1968-06-01,3451300000
1968-07-01,3498200000
1968-08-01,3506400000
1968-09-01,3645500000
1968-10-01,3704100000
1968-11-01,3757100000
1968-12-01,3578600000
1969-01-01,3795800000
1969-02-01,3.854e+09
1969-03-01,3862200000
1969-04-01,3.777e+09
1969-05-01,3885800000
1969-06-01,3901600000
1969-07-01,3922500000
1969-08-01,3866400000
1969-09-01,3966700000
1969-10-01,3851500000
1969-11-01,3981900000
1969-12-01,3978900000
1970-01-01,3762200000
1970-02-01,3879100000
1970-03-01,3752400000
1970-04-01,3810900000
1970-05-01,3903200000
1970-06-01,3868800000
1970-07-01,3946500000
1970-08-01,3999300000
1970-09-01,3795700000
1970-10-01,3794300000
1970-11-01,3.789e+09
1970-12-01,3.818e+09
1971-01-01,3956200000
1971-02-01,4085100000
1971-03-01,4146500000
1971-04-01,4152800000
1971-05-01,4071400000
