"Date","CANPRCNTO01MLSAM"
1961-01-01,3424275830.65742
1961-02-01,3387265980.77052
1961-03-01,3392627220.70741
1961-04-01,3387265980.77052
1961-05-01,3403176757.35741
1961-06-01,3419606363.61562
1961-07-01,3445893733.62874
1961-08-01,3462842169.55826
1961-09-01,3456962099.95006
1961-10-01,3427215865.46152
1961-11-01,3436208913.09759
1961-12-01,3443818414.9435
1962-01-01,3437765402.11153
1962-02-01,3434479480.85989
1962-03-01,3465782204.36236
1962-04-01,3496566098.19352
1962-05-01,3485497731.87221
1962-06-01,3587361290.67308
1962-07-01,3574217605.66651
1962-08-01,3578195299.81324
1962-09-01,3566953990.26815
1962-10-01,3543779598.28289
1962-11-01,3512476874.78042
1962-12-01,3450044370.99924
1963-01-01,3396604914.85413
1963-02-01,3408537997.2943
1963-03-01,3432577105.39841
1963-04-01,3451082030.34186
1963-05-01,3491204858.25663
1963-06-01,3510401556.09517
1963-07-01,3518184001.16484
1963-08-01,3524755843.66813
1963-09-01,3575947037.90422
1963-10-01,3614686320.02883
1963-11-01,3612092171.67227
1963-12-01,3594970792.51898
1964-01-01,3655846807.28622
1964-02-01,3742664305.61905
1964-03-01,3673141129.66328
1964-04-01,3655846807.28622
1964-05-01,3633364188.19605
1964-06-01,3617626354.83293
1964-07-01,3621776992.20342
1964-08-01,3633364188.19605
1964-09-01,3650658510.57311
1964-10-01,3730039450.2838
1964-11-01,3814262800.26007
1964-12-01,3966625780.40195
1965-01-01,4022140555.23231
1965-02-01,3944143161.31178
1965-03-01,3966971666.84949
1965-04-01,3948293798.68227
1965-05-01,3933939511.10931
1965-06-01,3945180820.6544
1965-07-01,3969565815.20605
1965-08-01,4004846232.85525
1965-09-01,4016779315.29542
1965-10-01,4054826824.52494
1965-11-01,4082670683.55201
1965-12-01,4152193859.50778
1966-01-01,4162224566.48647
1966-02-01,4154960951.08811
1966-03-01,4203557996.96764
1966-04-01,4146659676.34712
1966-05-01,4104980359.41841
1966-06-01,4061052780.58068
1966-07-01,4043931401.4274
1966-08-01,4019546406.87575
1966-09-01,3980288295.07983
1966-10-01,4022313498.45608
1966-11-01,4049811471.0356
1966-12-01,4090453128.62168
1967-01-01,4142681982.2004
1967-02-01,4060015121.23806
1967-03-01,4005365062.52656
1967-04-01,3993259036.86262
1967-05-01,4065895190.84626
1967-06-01,4132132445.55039
1967-07-01,4147005562.79466
1967-08-01,4159111588.4586
1967-09-01,4173638819.25533
1967-10-01,4169661125.10861
1967-11-01,4184015412.68157
1967-12-01,4190933141.63239
1968-01-01,4201828564.72994
1968-02-01,4254230361.53242
1968-03-01,4381170687.78002
1968-04-01,4449310317.94563
1968-05-01,4500501512.18172
1968-06-01,4481823644.0145
1968-07-01,4525059449.95714
1968-08-01,4476462404.07761
1968-09-01,4417834651.21939
1968-10-01,4409360433.25463
1968-11-01,4358169239.01854
1968-12-01,4132824218.44548
1969-01-01,4243507881.65864
1969-02-01,4301962691.2931
1969-03-01,4363184592.50788
1969-04-01,4328768890.97754
1969-05-01,4243507881.65864
1969-06-01,4065203417.95118
