"Date","CANSLRTCR03MLSAM"
1960-01-01,36390
1960-02-01,38062
1960-03-01,35961
1960-04-01,36954
1960-05-01,36560
1960-06-01,38105
1960-07-01,35014
1960-08-01,35121
1960-09-01,37914
1960-10-01,38795
1960-11-01,39147
1960-12-01,38475
1961-01-01,34953
1961-02-01,34980
1961-03-01,33595
1961-04-01,33754
1961-05-01,34740
1961-06-01,35641
1961-07-01,41312
1961-08-01,38152
1961-09-01,35275
1961-10-01,35006
1961-11-01,44134
1961-12-01,38940
1962-01-01,43163
1962-02-01,38757
1962-03-01,43527
1962-04-01,42671
1962-05-01,44472
1962-06-01,41365
1962-07-01,41260
1962-08-01,37784
1962-09-01,29864
1962-10-01,42674
1962-11-01,44283
1962-12-01,44752
1963-01-01,41763
1963-02-01,44860
1963-03-01,42783
1963-04-01,47144
1963-05-01,45258
1963-06-01,49046
1963-07-01,42629
1963-08-01,39096
1963-09-01,40544
1963-10-01,50527
1963-11-01,55089
1963-12-01,51507
1964-01-01,52516
1964-02-01,51819
1964-03-01,52810
1964-04-01,51919
1964-05-01,52971
1964-06-01,50509
1964-07-01,53828
1964-08-01,50956
1964-09-01,56242
1964-10-01,51788
1964-11-01,48173
1964-12-01,40882
1965-01-01,54829
1965-02-01,54982
1965-03-01,54943
1965-04-01,60317
1965-05-01,57527
1965-06-01,59752
1965-07-01,59679
1965-08-01,62993
1965-09-01,52039
1965-10-01,62217
1965-11-01,63119
1965-12-01,63915
1966-01-01,58737
1966-02-01,60065
1966-03-01,66283
1966-04-01,54583
1966-05-01,48656
1966-06-01,53054
1966-07-01,59296
1966-08-01,64269
1966-09-01,58255
1966-10-01,57274
1966-11-01,58683
1966-12-01,58878
1967-01-01,57018
1967-02-01,53890
1967-03-01,58118
1967-04-01,57569
1967-05-01,59697
1967-06-01,62542
1967-07-01,53645
1967-08-01,55743
1967-09-01,54679
1967-10-01,53023
1967-11-01,53667
1967-12-01,57236
1968-01-01,59809
1968-02-01,57225
1968-03-01,61428
1968-04-01,55261
1968-05-01,61297
1968-06-01,60511
1968-07-01,65317
1968-08-01,65917
1968-09-01,57714
1968-10-01,63803
1968-11-01,64898
1968-12-01,66225
1969-01-01,66021
1969-02-01,70272
1969-03-01,63968
1969-04-01,64241
1969-05-01,59252
1969-06-01,61364
1969-07-01,58586
1969-08-01,58831
1969-09-01,74040
1969-10-01,61243
1969-11-01,67466
1969-12-01,57776
1970-01-01,55207
1970-02-01,51738
1970-03-01,54032
1970-04-01,52461
1970-05-01,54134
1970-06-01,55131
1970-07-01,56016
1970-08-01,54590
1970-09-01,56287
1970-10-01,54713
1970-11-01,49633
1970-12-01,45851
1971-01-01,51894
1971-02-01,57691
1971-03-01,60575
1971-04-01,66709
1971-05-01,65955
1971-06-01,62934
1971-07-01,64268
1971-08-01,60504
1971-09-01,74467
1971-10-01,71539
1971-11-01,70222
1971-12-01,69184
1972-01-01,64016
1972-02-01,63828
1972-03-01,69613
1972-04-01,66112
1972-05-01,74055
1972-06-01,72625
1972-07-01,68799
1972-08-01,61045
1972-09-01,73995
1972-10-01,80149
1972-11-01,79910
1972-12-01,80379
1973-01-01,77356
1973-02-01,82966
1973-03-01,100675
1973-04-01,89979
1973-05-01,72996
1973-06-01,80271
1973-07-01,74491
1973-08-01,73728
1973-09-01,80248
1973-10-01,77815
1973-11-01,82045
1973-12-01,80578
1974-01-01,84727
1974-02-01,81691
1974-03-01,76812
1974-04-01,78757
1974-05-01,84088
1974-06-01,78378
1974-07-01,85496
1974-08-01,88715
1974-09-01,79696
1974-10-01,69773
1974-11-01,66630
1974-12-01,68009
1975-01-01,69760
1975-02-01,85577
1975-03-01,74640
1975-04-01,73375
1975-05-01,75372
1975-06-01,80380
1975-07-01,82172
1975-08-01,82454
1975-09-01,80220
1975-10-01,86559
1975-11-01,93061
1975-12-01,116076
1976-01-01,66168
1976-02-01,68044
1976-03-01,77393
1976-04-01,84681
1976-05-01,80549
1976-06-01,79999
1976-07-01,79473
1976-08-01,76545
1976-09-01,64004
1976-10-01,86768
1976-11-01,82383
1976-12-01,92676
1977-01-01,91175
1977-02-01,84462
1977-03-01,85226
1977-04-01,81574
1977-05-01,81818
1977-06-01,80181
1977-07-01,78847
1977-08-01,83747
1977-09-01,77545
1977-10-01,85584
1977-11-01,83911
