"Date","CANSLRTTO01MLM"
1986-01-01,14973361135.7745
1986-02-01,14213476793.0676
1986-03-01,16347684830.4424
1986-04-01,17887104504.1395
1986-05-01,19384869618.1654
1986-06-01,18067146305.2435
1986-07-01,18160004144.2448
1986-08-01,18006394306.2545
1986-09-01,17493254415.0221
1986-10-01,18440099920.9045
1986-11-01,18230443250.134
1986-12-01,21615671950.0602
1987-01-01,15248613358.9841
1987-02-01,14768686405.6956
1987-03-01,17040728135.5373
1987-04-01,19042361195.6196
1987-05-01,19865488507.6611
1987-06-01,20003737361.8524
1987-07-01,19448112587.5002
1987-08-01,18563402953.0211
1987-09-01,18403288914.6834
1987-10-01,19974122492.1858
1987-11-01,19274159825.0193
1987-12-01,23470199372.4996
1988-01-01,15915916637.1725
1988-02-01,15661976049.1435
1988-03-01,18976765643.1805
1988-04-01,19593834352.7288
1988-05-01,20396618740.2798
1988-06-01,20572093762.4164
1988-07-01,19824525884.1971
1988-08-01,19403275121.276
1988-09-01,19502360386.1418
1988-10-01,19650434734.4748
1988-11-01,20192359171.9251
1988-12-01,24784739778.8686
1989-01-01,16057486785.1581
1989-02-01,15763552284.3551
1989-03-01,18824262903.1216
1989-04-01,19733051917.6101
1989-05-01,20985179678.0929
1989-06-01,20990715167.7502
1989-07-01,19116951918.7518
1989-08-01,19686968966.213
1989-09-01,19485477142.687
1989-10-01,19180748437.0522
1989-11-01,20118321997.7586
1989-12-01,23523340073.2097
1990-01-01,16222859538.6701
1990-02-01,15515839122.1906
1990-03-01,19184484892.5709
1990-04-01,18751609601.3695
1990-05-01,20740787809.7228
1990-06-01,20425956835.4635
1990-07-01,18919473325.2273
1990-08-01,19675759599.6569
1990-09-01,18449095091.5977
1990-10-01,19019250526.3003
1990-11-01,19646283117.2318
1990-12-01,22676963704.6074
1991-01-01,14721139836.5933
1991-02-01,17088615253.1171
1991-03-01,18124695508.1605
1991-04-01,20225746833.8995
1991-05-01,19124511141.0463
1991-06-01,18874043484.0109
1991-07-01,18975221779.8307
1991-08-01,17821160620.7012
1991-09-01,18642675194.6453
1991-10-01,19261954059.0237
1991-11-01,21877842137.3272
1991-12-01,15521741811.7599
1992-01-01,15676238099.4188
1992-02-01,15294562426.1327
1992-03-01,16914323852.34
1992-04-01,18495872755.309
1992-05-01,19726540783.131
1992-06-01,19517271023.5141
1992-07-01,19421514935.8699
1992-08-01,18576119054.1094
1992-09-01,18636135193.5484
1992-10-01,19641686503.5871
1992-11-01,18941048651.0353
1992-12-01,23189831676.0382
1993-01-01,16086685554.9079
1993-02-01,15131934422.8214
1993-03-01,17767362238.7481
1993-04-01,19505357707.4457
1993-05-01,20220044281.7763
1993-06-01,20110464251.9017
1993-07-01,20371320917.8903
1993-08-01,19308563212.7684
1993-09-01,19454782309.0421
1993-10-01,19706535403.318
1993-11-01,19932101680.1982
1993-12-01,24287205431.623
1994-01-01,16371144073.4849
1994-02-01,16084662538.9718
1994-03-01,19597180152.9919
1994-04-01,20299953411.254
1994-05-01,21476112398.5743
1994-06-01,22050873703.9882
1994-07-01,20993173538.7066
1994-08-01,20783454219.9929
1994-09-01,20859991656.2437
1994-10-01,20841896902.5926
1994-11-01,21464086692.7317
1994-12-01,26393839359.796
1995-01-01,17178889380.8782
1995-02-01,16572209379.5829
1995-03-01,19739802776.4901
1995-04-01,20012123199.4502
1995-05-01,22002546101.0691
1995-06-01,22649574031.313
1995-07-01,21058359607.7602
1995-08-01,21731349575.8514
1995-09-01,21184460934.4466
1995-10-01,20504390410.579
1995-11-01,21536915266.4329
1995-12-01,25479998105.5293
1996-01-01,17492119681.658
1996-02-01,17512799400.1164
1996-03-01,19601450964.4126
1996-04-01,20345134100.4946
1996-05-01,22595289770.3598
1996-06-01,22005131065.8764
1996-07-01,21477123906.5424
1996-08-01,22031093103.7236
1996-09-01,20501580666.2232
1996-10-01,21654812139.6005
1996-11-01,22431200699.9835
1996-12-01,25489551236.3389
1997-01-01,18550718965.1334
1997-02-01,17579109366.9123
1997-03-01,19857812039.432
1997-04-01,22225639802.9163
1997-05-01,24352054331.3539
1997-06-01,23165780264.3529
1997-07-01,23339759634.8614
1997-08-01,22707567154.8159
1997-09-01,22149102366.6654
1997-10-01,23188145829.4247
1997-11-01,22629568651.5001
1997-12-01,27558759369.6933
1998-01-01,19254840900.6863
1998-02-01,18250413488.39
1998-03-01,21015763883.3269
1998-04-01,23356168541.8991
1998-05-01,25027741654.0266
1998-06-01,24227638851.2809
1998-07-01,24359359666.6789
1998-08-01,23171399753.0644
1998-09-01,23274798345.3563
1998-10-01,23654001443.6094
1998-11-01,23128354469.5342
1998-12-01,27879182616.0239
1999-01-01,19806112743.286
1999-02-01,18954984983.0398
1999-03-01,22435134342.0816
1999-04-01,23777068246.3916
1999-05-01,24979751220.4302
1999-06-01,25242518512.5807
1999-07-01,25356369353.876
1999-08-01,24382736739.7188
1999-09-01,24449383875.8373
1999-10-01,24091647224.4622
1999-11-01,24325530344.6355
1999-12-01,29821390304.498
2000-01-01,20437068935.815
2000-02-01,20184641502.8937
2000-03-01,23945203348.6401
2000-04-01,24089736598.3003
2000-05-01,26730559123.3901
2000-06-01,26789451365.0868
2000-07-01,25768165486.6559
2000-08-01,26328316121.4198
2000-09-01,25826832948.8041
2000-10-01,24647864217.1281
2000-11-01,25505960143.3766
2000-12-01,30189354425.3281
2001-01-01,21379007633.6393
2001-02-01,20076522540.0842
2001-03-01,24477368929.6207
2001-04-01,24964803380.4576
2001-05-01,27896715420.8038
2001-06-01,27465026297.9852
2001-07-01,25991821137.3742
2001-08-01,27011870728.2886
2001-09-01,24718332605.5705
2001-10-01,25533945197.1599
2001-11-01,26991640568.9271
2001-12-01,31664133042.7783
2002-01-01,23048670119.6049
2002-02-01,21338434925.1422
2002-03-01,25123385351.8966
2002-04-01,26809569134.674
2002-05-01,29346768287.9234
2002-06-01,28405616318.5187
2002-07-01,27877047210.3135
2002-08-01,28424273021.041
2002-09-01,26206485606.1541
2002-10-01,27228333433.4562
2002-11-01,27401863244.8678
2002-12-01,31894419690.1762
2003-01-01,23339759634.8614
2003-02-01,21865205796.9597
2003-03-01,25380083596.2386
2003-04-01,27006363629.3513
2003-05-01,30330178812.4387
2003-06-01,28872932999.7684
2003-07-01,29245280321.7934
2003-08-01,28733794459.2712
2003-09-01,27137634885.6523
2003-10-01,28025851271.3945
2003-11-01,27326674485.9077
2003-12-01,32606858469.0222
2004-01-01,23778728000
2004-02-01,23008594000
2004-03-01,26967793000
2004-04-01,28592026000
2004-05-01,30479247000
2004-06-01,30711705000
2004-07-01,30898334000
2004-08-01,29535183000
2004-09-01,29245397000
2004-10-01,29445711000
2004-11-01,29232659000
2004-12-01,34561103000
2005-01-01,24498615000
2005-02-01,24028226000
2005-03-01,28600602000
2005-04-01,30600811000
2005-05-01,31948565000
2005-06-01,32967426000
2005-07-01,32620077000
2005-08-01,32025283000
2005-09-01,30914826000
2005-10-01,30241532000
2005-11-01,30828069000
2005-12-01,36726743000
2006-01-01,25993203000
2006-02-01,25128165000
2006-03-01,30760061000
2006-04-01,32106585000
2006-05-01,34894460000
2006-06-01,35049112000
2006-07-01,34341547000
2006-08-01,35045180000
2006-09-01,33056559000
2006-10-01,31830349000
2006-11-01,32663281000
2006-12-01,38605976000
2007-01-01,27777968000
2007-02-01,26548520000
2007-03-01,32818504000
2007-04-01,33621240000
2007-05-01,38434319000
2007-06-01,37555708000
2007-07-01,35635889000
2007-08-01,36978090000
2007-09-01,34057842000
2007-10-01,34070363000
2007-11-01,35091406000
2007-12-01,40006665000
2008-01-01,30525699000
2008-02-01,29418898000
2008-03-01,32925876000
2008-04-01,36272111000
2008-05-01,39778972000
2008-06-01,37842321000
2008-07-01,38632038000
2008-08-01,37775417000
2008-09-01,36138751000
2008-10-01,36158245000
2008-11-01,34230901000
2008-12-01,38256712000
2009-01-01,29192654000
2009-02-01,26804723000
2009-03-01,31356949000
2009-04-01,33942769000
2009-05-01,37316515000
2009-06-01,36865690000
2009-07-01,37191480000
2009-08-01,36049418000
2009-09-01,35537357000
2009-10-01,36133694000
2009-11-01,34354756000
2009-12-01,40969765000
2010-01-01,30668321000
2010-02-01,28632551000
2010-03-01,34967182000
2010-04-01,36469949000
2010-05-01,38424455000
2010-06-01,38973462000
2010-07-01,38932294000
2010-08-01,37395330000
2010-09-01,36923390000
2010-10-01,37014326000
2010-11-01,37408825000
2010-12-01,43147947000
2011-01-01,31191594000
2011-02-01,29797949000
2011-03-01,36099866000
2011-04-01,38035760000
2011-05-01,40046516000
2011-06-01,40839556000
2011-07-01,39832282000
2011-08-01,39541248000
2011-09-01,38877263000
2011-10-01,38203872000
2011-11-01,39174736000
2011-12-01,45089701000
2012-01-01,32299560000
2012-02-01,32037162000
2012-03-01,37882518000
2012-04-01,37740840000
2012-05-01,42558147000
2012-06-01,41765337000
2012-07-01,40117110000
2012-08-01,41307128000
2012-09-01,39060675000
2012-10-01,39497273000
2012-11-01,40090004000
2012-12-01,43444637000
2013-01-01,33607336000
2013-02-01,31686766000
2013-03-01,37632780000
2013-04-01,39504016000
2013-05-01,44707357000
2013-06-01,42299543000
2013-07-01,42565931000
2013-08-01,43391178000
2013-09-01,40327899000
2013-10-01,41747250000
2013-11-01,42062766000
2013-12-01,44940706000
2014-01-01,35181491000
2014-02-01,33120378000
2014-03-01,38764006000
2014-04-01,42142874000
2014-05-01,46760489000
2014-06-01,44550964000
2014-07-01,45699406000
2014-08-01,44765234000
2014-09-01,43448141000
2014-10-01,44236013000
2014-11-01,43386732000
2014-12-01,47291686000
2015-01-01,35248015000
2015-02-01,33625076000
2015-03-01,40025924000
2015-04-01,42989382000
2015-05-01,47439687000
2015-06-01,46376329000
2015-07-01,47151990000
2015-08-01,45655167000
2015-09-01,44907164000
2015-10-01,45477857000
2015-11-01,4.463e+10
2015-12-01,49078191000
2016-01-01,37415147000
2016-02-01,36815980000
2016-03-01,42763737000
2016-04-01,46155952000
2016-05-01,48783412000
2016-06-01,48892480000
2016-07-01,47842336000
2016-08-01,47790528000
2016-09-01,47059911000
2016-10-01,46455078000
2016-11-01,48043147000
2016-12-01,51693611000
2017-01-01,39636308000
2017-02-01,38078162000
2017-03-01,46600411000
2017-04-01,48439262000
2017-05-01,54080243000
2017-06-01,52933774000
2017-07-01,51006137000
2017-08-01,52131460000
2017-09-01,50147316000
2017-10-01,50677761000
2017-11-01,51775741000
2017-12-01,53666786000
2018-01-01,41499846000
2018-02-01,39531209000
2018-03-01,48518117000
2018-04-01,48650413000
2018-05-01,57326238000
2018-06-01,55225150000
2018-07-01,52942449000
2018-08-01,54280403000
2018-09-01,51356806000
2018-10-01,52544938000
2018-11-01,52614964000
2018-12-01,53409374000
2019-01-01,42139449000
2019-02-01,40174255000
2019-03-01,49194406000
2019-04-01,50956513000
2019-05-01,57924706000
2019-06-01,54475724000
2019-07-01,54847265000
2019-08-01,54811239000
2019-09-01,51321540000
2019-10-01,52694347000
2019-11-01,53454110000
2019-12-01,54550854000
2020-01-01,43599569000
2020-02-01,43213338000
2020-03-01,43621830000
2020-04-01,34561639000
2020-05-01,47827359000
2020-06-01,57040626000
2020-07-01,57484686000
2020-08-01,54866191000
2020-09-01,55903643000
2020-10-01,57667259000
2020-11-01,56286573000
2020-12-01,56257661000
2021-01-01,43424067000
2021-02-01,44687435000
2021-03-01,56853111000
2021-04-01,55725607000
2021-05-01,58819689000
2021-06-01,61003294000
2021-07-01,60779057000
2021-08-01,59472964000
2021-09-01,58024865000
2021-10-01,59604467000
2021-11-01,60666057000
2021-12-01,61040423000
2022-01-01,48567306000
2022-02-01,48056730000
2022-03-01,59135942000
2022-04-01,60685106000
2022-05-01,67703592000
2022-06-01,67766338000
2022-07-01,64367907000
2022-08-01,64384519000
2022-09-01,61951959000
2022-10-01,62702534000
2022-11-01,64386441000
2022-12-01,65315551000
