"Date","CANSLRTTO01MLSAM"
1970-01-01,11609743431.9827
1970-02-01,11398017110.4992
1970-03-01,11324807255.3044
1970-04-01,11426796157.024
1970-05-01,11507579445.5148
1970-06-01,11591190953.7173
1970-07-01,11822574164.0155
1970-08-01,11690357694.4719
1970-09-01,11892814752.5054
1970-10-01,11831217495.0311
1970-11-01,11855098240.3436
1970-12-01,12266800740.283
1971-01-01,11959082804.8734
1971-02-01,12282948360.7083
1971-03-01,12297740986.0655
1971-04-01,12614304487.1775
1971-05-01,12552101004.8121
1971-06-01,12607889414.3934
1971-07-01,12589087414.9163
1971-08-01,12503414216.9845
1971-09-01,12942647045.9725
1971-10-01,12970255922.8038
1971-11-01,13098838643.1855
1971-12-01,12928590366.9878
1972-01-01,12990931838.3312
1972-02-01,12690026956.3357
1972-03-01,13159652421.187
1972-04-01,13450287835.0739
1972-05-01,13550375449.8816
1972-06-01,13484628682.6496
1972-07-01,13280410868.3261
1972-08-01,13304280678.2985
1972-09-01,13681683679.5623
1972-10-01,13853789008.0543
1972-11-01,13742525362.7184
1972-12-01,13900395148.683
1973-01-01,13733639118.0293
1973-02-01,13717457994.7363
1973-03-01,14248509543.4532
1973-04-01,14272079239.2637
1973-05-01,13630621405.5851
1973-06-01,13719818805.7233
1973-07-01,13862504439.7551
1973-08-01,13505974340.6017
1973-09-01,13792949235.3773
1973-10-01,13976569852.5645
1973-11-01,14173236559.8072
1973-12-01,13998060520.1833
1974-01-01,14409575969.9094
1974-02-01,14653148623.26
1974-03-01,14481018735.3834
1974-04-01,14460969725.5401
1974-05-01,14562349152.2411
1974-06-01,14394223065.6436
1974-07-01,14456603285.3827
1974-08-01,14837717438.3964
1974-09-01,14487528265.3137
1974-10-01,14292539543.594
1974-11-01,14082868285.4241
1974-12-01,14062228492.1877
1975-01-01,14473801701.3571
1975-02-01,14674094235.0633
1975-03-01,14570024348.5288
1975-04-01,14424745785.9973
1975-05-01,14873391413.278
1975-06-01,14739046069.3193
1975-07-01,14890638389.3457
1975-08-01,14961742164.7773
1975-09-01,14745573822.849
1975-10-01,14969720630.3586
1975-11-01,15451367756.4069
1975-12-01,16206070360.1135
1976-01-01,15116670765.2633
1976-02-01,15075702551.954
1976-03-01,15425353023.4055
1976-04-01,15973182920.1382
1976-05-01,15519820074.2612
1976-06-01,15845313349.1337
1976-07-01,15800512274.8437
1976-08-01,15798230093.6567
1976-09-01,15809424696.9309
1976-10-01,16097036729.0988
1976-11-01,15845101852.0978
1976-12-01,16474699329.8113
1977-01-01,16294448416.5433
1977-02-01,16088658197.2053
1977-03-01,16014078926.3667
1977-04-01,15883249093.9405
1977-05-01,15696672981.3261
1977-06-01,15594447710.8973
1977-07-01,15620252059.1222
1977-08-01,15950771980.6279
1977-09-01,15806344549.5668
1977-10-01,15857142053.1927
1977-11-01,16043808853.7341
1977-12-01,15774925663.7414
1978-01-01,15817798009.9908
1978-02-01,16235206451.3651
1978-03-01,16022923366.1075
1978-04-01,16170817859.5603
1978-05-01,16098274448.4959
1978-06-01,16076796058.1839
1978-07-01,15654867341.1287
1978-08-01,15995876760.8527
1978-09-01,16815081790.6945
1978-10-01,16136873580.4117
1978-11-01,16070449306.952
1978-12-01,16204189207.5271
1979-01-01,16100842119.16
1979-02-01,16231356825.1668
1979-03-01,16640608364.8084
1979-04-01,16096192443.4717
1979-05-01,16212782751.612
1979-06-01,16502774436.5709
1979-07-01,16455131296.163
1979-08-01,16564764773.705
1979-09-01,16252327771.9269
1979-10-01,16330996340.1062
1979-11-01,16124288301.8851
1979-12-01,16081599065.8448
1980-01-01,16177868127.3162
1980-02-01,16125675864.4656
1980-03-01,15736706496.9423
1980-04-01,15733842589.6814
1980-05-01,15654065065.0016
1980-06-01,15462823509.4343
1980-07-01,15902806932.8373
1980-08-01,16022172688.9837
1980-09-01,16154099247.37
1980-10-01,16111817472.344
1980-11-01,16126402943.9596
1980-12-01,16056450220.3734
1981-01-01,18004879634.7947
1981-02-01,17861099795.2422
1981-03-01,17538643151.5278
1981-04-01,17654662409.3161
1981-05-01,17443620986.6043
1981-06-01,17276287886.7009
1981-07-01,17184381444.123
1981-08-01,17022732339.7372
1981-09-01,17240690822.6926
1981-10-01,17112579016.5828
1981-11-01,17423619003.3676
1981-12-01,17106350165.7843
1982-01-01,16714274117.6322
1982-02-01,16941937452.8667
1982-03-01,16459925929.6143
1982-04-01,16524681047.8238
1982-05-01,16641815012.9751
1982-06-01,16134614487.4618
1982-07-01,16219412913.0377
1982-08-01,16348876791.4966
1982-09-01,16427901566.5208
1982-10-01,16260463766.1961
1982-11-01,16336449592.917
1982-12-01,16619878422.1473
1983-01-01,16523644029.8569
1983-02-01,16654181747.3021
1983-03-01,16874493683.1884
1983-04-01,16259036957.4914
1983-05-01,16874412231.4466
1983-06-01,17308545154.2042
1983-07-01,17148074079.0643
1983-08-01,17079506199.8075
1983-09-01,17194091376.8301
1983-10-01,17306076991.6914
1983-11-01,17301296225.6123
1983-12-01,17472603980.8341
1984-01-01,17644185348.2647
1984-02-01,17515143064.8361
1984-03-01,17302225316.4265
1984-04-01,17745182038.0282
1984-05-01,17581185981.9446
1984-06-01,17872730950.7699
1984-07-01,17656803485.648
1984-08-01,17683059943.0625
1984-09-01,17834731404.2324
1984-10-01,18163224865.1337
1984-11-01,18099179332.1437
1984-12-01,17964968532.9273
1985-01-01,18376923013.9938
1985-02-01,18499642601.446
1985-03-01,18920882425.8377
1985-04-01,18851021847.3386
1985-05-01,19127737004.1328
1985-06-01,18727263114.066
1985-07-01,18982193650.0821
1985-08-01,19338332785.9084
1985-09-01,19322880895.4264
1985-10-01,19358530801.2389
1985-11-01,19778185229.981
1985-12-01,19621957875.1895
1986-01-01,19623866815.0234
1986-02-01,19636663193.5785
1986-03-01,19808913871.7145
1986-04-01,19703823152.6741
1986-05-01,19865468629.085
1986-06-01,19795693805.3206
1986-07-01,20032386775.2454
1986-08-01,20242447030.2003
1986-09-01,20359289107.8442
1986-10-01,20119310493.0879
1986-11-01,20096899379.5469
1986-12-01,20175403906.1082
1987-01-01,19970600832.7387
1987-02-01,20604316783.4227
1987-03-01,20453849250.2777
1987-04-01,21000477398.4089
1987-05-01,20812867651.6448
1987-06-01,21250427488.6088
1987-07-01,21076179087.0773
1987-08-01,21243938785.4419
1987-09-01,21189210805.4503
1987-10-01,21667227561.3938
1987-11-01,21637661100.3777
1987-12-01,21733862176.9108
1988-01-01,21539862407.4854
1988-02-01,21294433907.2669
1988-03-01,22060071364.432
1988-04-01,21537823837.3475
1988-05-01,21747261522.0263
1988-06-01,21665768192.0191
1988-07-01,22037194688.7566
1988-08-01,21804418260.9294
1988-09-01,21939188447.7138
1988-10-01,22233952896.4913
1988-11-01,22009354350.7791
1988-12-01,22474872902.193
1989-01-01,22247604134.5399
1989-02-01,22025705079.7713
1989-03-01,21963088317.5184
1989-04-01,22044433903.6284
1989-05-01,21884413463.7736
1989-06-01,21811701325.6369
1989-07-01,21609677427.4883
1989-08-01,21777927793.7741
1989-09-01,21922189586.4252
1989-10-01,21647465708.1632
1989-11-01,21563297086.4349
1989-12-01,21681591978.0917
1990-01-01,21863721080.1856
1990-02-01,21801071708.2586
1990-03-01,22032891450.0735
1990-04-01,21654444369.6977
1990-05-01,21265900483.9853
1990-06-01,21214137128.0104
1990-07-01,21189240585.6703
1990-08-01,21332429264.5848
1990-09-01,21222894266.5145
1990-10-01,21009866826.5105
1990-11-01,20769613980.4728
1990-12-01,20968720610.3959
1991-01-01,20564788392.0151
1991-02-01,20244002188.026
1991-03-01,20443800759.2421
1991-04-01,20693075837.2682
1991-05-01,20562355121.1884
1991-06-01,20686857478.4888
1991-07-01,20343631110.2089
1991-08-01,20539779775.1849
1991-09-01,20477190642.2532
1991-10-01,20666445039.8869
1991-11-01,20540050138.6101
1991-12-01,20440826761.565
1992-01-01,20555417707.7145
1992-02-01,20669818186.2574
1992-03-01,20612304004.9482
1992-04-01,20835830735.8004
1992-05-01,20705105271.2964
1992-06-01,20857053217.5498
1992-07-01,20846504765.0826
1992-08-01,20842109576.5547
1992-09-01,21045292863.363
1992-10-01,21161451417.3171
1992-11-01,21068022266.8935
1992-12-01,21118629723.3729
1993-01-01,21412605047.4881
1993-02-01,21263419791.1665
1993-03-01,21311138980.899
1993-04-01,21663256370.3987
1993-05-01,21509801502.3642
1993-06-01,21322440894.2567
1993-07-01,21645298885.8415
1993-08-01,21689125194.3063
1993-09-01,21721147282.1531
1993-10-01,21787954147.7786
1993-11-01,21816083354.3578
1993-12-01,21947813433.3824
1994-01-01,22139066922.7576
1994-02-01,22618519202.7541
1994-03-01,23133886451.8649
1994-04-01,22824214025.8641
1994-05-01,23001277335.1346
1994-06-01,23079386114.1178
1994-07-01,22911364335.5334
1994-08-01,22971013322.699
1994-09-01,23000147143.7989
1994-10-01,23475329812.0824
1994-11-01,23426229277.384
1994-12-01,23642723706.5914
1995-01-01,23312079952.4713
1995-02-01,23191651786.8043
1995-03-01,23080265151.8234
1995-04-01,23064442473.1227
1995-05-01,23093576294.2225
1995-06-01,23222794836.9455
1995-07-01,23245147510.0307
1995-08-01,23584330487.5766
1995-09-01,23353269147.8193
1995-10-01,23143807020.2567
1995-11-01,23266495568.5952
1995-12-01,23385040082.0359
1996-01-01,23342218388.0918
1996-02-01,23490524606.7077
1996-03-01,23469302124.9583
1996-04-01,23267500183.1159
1996-05-01,23181228911.1522
1996-06-01,23485250380.4741
1996-07-01,23433763886.2891
1996-08-01,23559717431.8198
1996-09-01,23589353560.18
1996-10-01,23803587606.7159
1996-11-01,24161607106.5246
1996-12-01,24054866813.702
1997-01-01,24215605137.0114
1997-02-01,24560690224.8663
1997-03-01,24432225143.0339
1997-04-01,24514101226.4696
1997-05-01,24710377788.4482
1997-06-01,24805062707.0227
1997-07-01,25030724243.7313
1997-08-01,24766636201.6065
1997-09-01,24991921007.8699
