"Date","CANXTIMVA01CXMLM"
1960-01-01,419202518.363064
1960-02-01,475735294.117647
1960-03-01,498317560.462671
1960-04-01,495223260.643821
1960-05-01,527607361.96319
1960-06-01,497037793.667007
1960-07-01,433333333.333333
1960-08-01,458247422.680412
1960-09-01,439814814.814815
1960-10-01,456996935.648621
1960-11-01,525486182.190379
1960-12-01,436659877.800407
1961-01-01,432527693.856999
1961-02-01,397474747.474748
1961-03-01,464437689.969605
1961-04-01,442163801.82002
1961-05-01,554959514.170041
1961-06-01,492636815.920398
1961-07-01,444003868.471954
1961-08-01,474975751.697381
1961-09-01,449078564.500485
1961-10-01,537475728.15534
1961-11-01,547972972.972973
1961-12-01,453883029.721956
1962-01-01,471004784.688995
1962-02-01,426692087.702574
1962-03-01,505338417.540515
1962-04-01,474095238.095238
1962-05-01,600746544.460049
1962-06-01,486392588.303416
1962-07-01,517937884.515603
1962-08-01,483740780.256993
1962-09-01,435363917.439626
1962-10-01,528403917.269061
1962-11-01,515589311.247702
1962-12-01,406448915.114064
1963-01-01,468477332.640255
1963-02-01,400055666.372872
1963-03-01,443512859.276022
1963-04-01,514860862.217848
1963-05-01,565305762.573436
1963-06-01,494116774.378993
1963-07-01,541881956.404986
1963-08-01,484614035.249693
1963-09-01,502486042.054387
1963-10-01,575183890.027734
1963-11-01,573554516.440288
1963-12-01,515385612.923544
1964-01-01,523836407.555831
1964-02-01,474537358.476593
1964-03-01,532997742.162342
1964-04-01,650726112.293035
1964-05-01,608367480.968282
1964-06-01,634544765.005689
1964-07-01,589606066.210468
1964-08-01,524808364.307099
1964-09-01,572620507.674583
1964-10-01,592031242.735599
1964-11-01,626751450.037706
1964-12-01,610334753.726205
1965-01-01,520944870.159496
1965-02-01,512115100.424749
1965-03-01,675014565.66572
1965-04-01,646912756.652583
1965-05-01,682567617.636162
1965-06-01,734154295.269153
1965-07-01,675673181.625233
1965-08-01,612373561.779731
1965-09-01,673156413.424116
1965-10-01,710047615.504799
1965-11-01,832806279.995536
1965-12-01,731154214.336831
1966-01-01,657387938.894368
1966-02-01,620262336.504162
1966-03-01,771453256.658708
1966-04-01,763389251.464486
1966-05-01,871422469.030329
1966-06-01,836351815.733259
1966-07-01,737533369.920098
1966-08-01,760768486.832316
1966-09-01,767108270.313458
1966-10-01,867213190.681302
1966-11-01,887948478.660593
1966-12-01,805114475.62777
1967-01-01,809243736.396054
1967-02-01,709236264.041305
1967-03-01,787280053.230815
1967-04-01,872601638.783937
1967-05-01,973804573.804574
1967-06-01,904522613.065326
1967-07-01,849644705.838698
1967-08-01,782249070.63197
1967-09-01,807327506.044263
1967-10-01,861347864.561501
1967-11-01,905861126.095125
1967-12-01,814798359.851535
1968-01-01,869176453.236482
1968-02-01,887143763.621817
1968-03-01,831708665.917009
1968-04-01,1008325542.21552
1968-05-01,1045558183.75771
1968-06-01,914066199.340792
1968-07-01,910584346.044606
1968-08-01,816784892.012565
1968-09-01,961491655.562492
1968-10-01,1129874923.10847
1968-11-01,1082302954.63228
1968-12-01,1015182206.98266
1969-01-01,1039603314.41247
1969-02-01,960069980.829719
1969-03-01,1016511895.69675
1969-04-01,1145946171.92653
1969-05-01,1200662854.17208
1969-06-01,1167879472.76281
1969-07-01,1063012824.0715
1969-08-01,888311616.044517
1969-09-01,1141158960.66322
1969-10-01,1205467380.31409
1969-11-01,1136352060.96938
1969-12-01,1155685044.35405
1970-01-01,995265478.065556
1970-02-01,989534103.615356
1970-03-01,1124971570.2541
1970-04-01,1215670904.4814
1970-05-01,1196069970.7368
1970-06-01,1259821772.63969
1970-07-01,1137711240.31008
1970-08-01,967614103.819785
1970-09-01,1168419291.33858
1970-10-01,1105368266.40548
1970-11-01,1172777450.98039
1970-12-01,1028320550.63913
1971-01-01,1012442687.74704
1971-02-01,1036007936.50794
1971-03-01,1352739562.62425
1971-04-01,1267768849.20635
1971-05-01,1375097125.8672
1971-06-01,1408188050.93046
1971-07-01,1229687561.2145
1971-08-01,1187612043.43534
1971-09-01,1289221125.37019
1971-10-01,1449725099.60159
1971-11-01,1528819721.11554
1971-12-01,1331546546.54655
1972-01-01,1366491053.67793
1972-02-01,1327895522.38806
1972-03-01,1517226452.90581
1972-04-01,1532664658.63454
1972-05-01,1828440849.34277
1972-06-01,1714343207.35444
1972-07-01,1442864837.39837
1972-08-01,1468908350.3055
1972-09-01,1515880976.60224
1972-10-01,1803196337.74161
1972-11-01,1815765957.44681
1972-12-01,1520304914.74423
1973-01-01,1738494377.98387
1973-02-01,1652817857.8429
1973-03-01,1880028665.55703
1973-04-01,1817632153.66419
1973-05-01,2242452224.33911
1973-06-01,1994233072.42924
1973-07-01,1894315648.60646
1973-08-01,1732084382.11863
1973-09-01,1765190757.14865
1973-10-01,2331078589.76837
1973-11-01,2300676620.95377
1973-12-01,1978036810.7347
1974-01-01,2200612534.38482
1974-02-01,2217539274.54488
1974-03-01,2558604438.91277
1974-04-01,2514986145.39781
1974-05-01,3066364032.52345
1974-06-01,2805905537.57377
1974-07-01,2789992424.96734
1974-08-01,2575981809.84021
1974-09-01,2668230089.83055
1974-10-01,3168498730.35566
1974-11-01,3082435830.00509
1974-12-01,2798623952.04409
1975-01-01,2857696994.21147
1975-02-01,2606564053.38891
1975-03-01,2865073711.35754
1975-04-01,2865362617.18153
1975-05-01,3043115848.24787
1975-06-01,3202958195.84228
1975-07-01,2643272560.65549
1975-08-01,2488221529.50328
1975-09-01,2764451574.24102
1975-10-01,3036366105.09332
1975-11-01,2957737501.7324
1975-12-01,2803323322.32404
1976-01-01,2880905365.38426
1976-02-01,3011695509.58111
1976-03-01,3287862826.9448
1976-04-01,3207575871.95573
1976-05-01,3357641708.46718
1976-06-01,3683147572.4059
1976-07-01,3010814161.93817
1976-08-01,2923714066.79544
1976-09-01,3022141934.01029
1976-10-01,3060096165.03726
1976-11-01,3568609971.66203
1976-12-01,3031055129.59008
1977-01-01,2995087552.90428
1977-02-01,3132453454.87434
1977-03-01,3563244040.68283
1977-04-01,3394210909.84599
1977-05-01,3797872265.15288
1977-06-01,3733246052.21617
1977-07-01,3074068260.07473
1977-08-01,3151190009.2655
1977-09-01,3086298488.08024
1977-10-01,3400746808.06287
1977-11-01,3296271636.87569
1977-12-01,3207122227.8472
1978-01-01,2916558165.29486
1978-02-01,3533283629.10852
1978-03-01,3180644852.20491
1978-04-01,4146962391.36702
1978-05-01,3955836403.75962
1978-06-01,3989945537.58835
1978-07-01,3447368082.23301
1978-08-01,3296113148.43339
1978-09-01,3450702743.12214
1978-10-01,4080822872.94555
1978-11-01,4221105189.34027
1978-12-01,3657509652.74088
1979-01-01,4039219022.24312
1979-02-01,3772122827.83625
1979-03-01,4729022441.18754
1979-04-01,4320352902.59019
1979-05-01,4925221478.17713
1979-06-01,4387932922.12339
1979-07-01,4266685854.01189
1979-08-01,4805930036.66543
1979-09-01,4128819137.76341
1979-10-01,5252255842.80719
1979-11-01,4966698919.85219
1979-12-01,4106146260.44453
1980-01-01,4726471790.48625
1980-02-01,4731700959.69408
1980-03-01,5166461695.72008
1980-04-01,5464920785.72866
1980-05-01,4863421993.46922
1980-06-01,4996565460.33423
1980-07-01,4800810424.57215
1980-08-01,4171002115.75922
1980-09-01,4628187434.28434
1980-10-01,5822357198.34568
1980-11-01,5051275068.58247
1980-12-01,4797539320.11866
1981-01-01,5039888316.12428
1981-02-01,5033483665.22422
1981-03-01,5787519698.22801
1981-04-01,6017352291.38358
1981-05-01,5900050377.1648
1981-06-01,6300851258.06894
1981-07-01,5552934013.90412
1981-08-01,4744356856.02951
1981-09-01,5568868549.85094
1981-10-01,5712715069.3297
1981-11-01,5523643342.5785
1981-12-01,5121487435.37091
1982-01-01,4184344794.12853
1982-02-01,4839894308.39934
1982-03-01,5528445285.06991
1982-04-01,5047678793.26076
1982-05-01,4818906642.75679
1982-06-01,4788163823.35449
1982-07-01,4397588838.81429
1982-08-01,4332786314.00844
1982-09-01,4458250120.93832
1982-10-01,4183723554.9914
1982-11-01,4522595370.32659
1982-12-01,3916556452.30165
1983-01-01,4311298666.7253
1983-02-01,4437813926.93432
1983-03-01,5029013105.28265
1983-04-01,5020030157.31223
1983-05-01,5260486081.57696
1983-06-01,5230255078.74948
1983-07-01,4638419025.85247
1983-08-01,5049895183.11762
1983-09-01,5341691644.07815
1983-10-01,5938903346.34875
1983-11-01,5949051931.67008
1983-12-01,5064496009.69139
1984-01-01,5516778375.66935
1984-02-01,5955332257.5119
1984-03-01,6626365158.75379
1984-04-01,6245685296.83275
1984-05-01,6897248197.14485
1984-06-01,6311998382.82158
1984-07-01,5914542455.20288
1984-08-01,6298456632.2295
1984-09-01,5936404680.36606
1984-10-01,6462751303.92079
1984-11-01,6154476586.8145
1984-12-01,5388529842.4565
1985-01-01,5930246119.55759
1985-02-01,5706694602.031
1985-03-01,6213042939.02469
1985-04-01,6691961817.84522
1985-05-01,6755249340.56258
1985-06-01,6477043770.42476
1985-07-01,6537845455.12686
1985-08-01,6174672097.85495
1985-09-01,6324425087.13026
1985-10-01,6921086510.78854
1985-11-01,6813041487.97034
1985-12-01,5844107288.72915
1986-01-01,6657514106.02569
1986-02-01,6783208880.08665
1986-03-01,6280912703.85647
1986-04-01,7455646873.72547
1986-05-01,6972852094.66482
1986-06-01,6976112877.8631
1986-07-01,7063378259.36215
1986-08-01,6166501419.69612
1986-09-01,6465324972.91752
1986-10-01,7017917120.27435
1986-11-01,6893298419.53853
1986-12-01,6249248566.96917
1987-01-01,6446402929.67026
1987-02-01,6726529251.78506
1987-03-01,7605883387.27415
1987-04-01,7125130306.52345
1987-05-01,7076288881.04014
1987-06-01,7977187963.7109
1987-07-01,7170489298.82512
1987-08-01,6459489392.83235
1987-09-01,7407705296.68476
1987-10-01,7740726616.64012
1987-11-01,8067612984.42613
1987-12-01,7883774031.30444
1988-01-01,9660011505.6643
1988-02-01,8269785726.61411
1988-03-01,9834665340.51611
1988-04-01,8622454942.81382
1988-05-01,9419755101.71352
1988-06-01,9257764978.60279
1988-07-01,7367348901.64426
1988-08-01,8750019542.39672
1988-09-01,8903734554.30937
1988-10-01,9059622076.91771
1988-11-01,9206596710.26856
1988-12-01,8197823398.45557
1989-01-01,8884560567.7952
1989-02-01,9261325968.47617
1989-03-01,10167793762.3317
1989-04-01,10020661437.2499
1989-05-01,10568317452.2308
1989-06-01,9946523567.33563
1989-07-01,7997056467.26613
1989-08-01,9418067527.66664
1989-09-01,9184876349.4163
1989-10-01,10440048973.7091
1989-11-01,9800370384.53753
1989-12-01,8462022047.82954
1990-01-01,9237805213.82308
1990-02-01,9515001700.60637
1990-03-01,10976160324.2351
1990-04-01,9968252383.05947
1990-05-01,10545885279.3739
1990-06-01,10116586792.0566
1990-07-01,8713692921.66683
1990-08-01,9559186441.81339
1990-09-01,8916543145.46778
1990-10-01,10597817801.4655
1990-11-01,9898002615.9323
1990-12-01,8646237851.5604
1991-01-01,9518898985.17495
1991-02-01,9057131622.29584
1991-03-01,9688534418.12216
1991-04-01,10315549054.9588
1991-05-01,10245693786.9759
1991-06-01,9834216956.798
1991-07-01,9358811253.36175
1991-08-01,9696721163.60381
1991-09-01,10038125070.4227
1991-10-01,11428424393.9693
1991-11-01,10459818507.6994
1991-12-01,8588210161.03924
1992-01-01,9694336703.12984
1992-02-01,9614475177.90296
1992-03-01,11057470079.633
1992-04-01,10509681676.5479
1992-05-01,10159252858.3047
1992-06-01,11031521366.8475
1992-07-01,9662962568.55313
1992-08-01,9712249177.28229
1992-09-01,10620859894.3483
1992-10-01,10812614752.4273
1992-11-01,10098311930.6624
1992-12-01,9464724176.24556
1993-01-01,9178884557.55105
1993-02-01,10156492174.58
