"Date","COCANZ311"
2012-06-01,100
2012-07-01,97
2012-08-01,98.2
2012-09-01,98.4
2012-10-01,99.2
2012-11-01,103.9
2012-12-01,102.8
2013-01-01,103.6
2013-02-01,100.5
2013-03-01,99.5
2013-04-01,100.2
2013-05-01,100.1
2013-06-01,100.3
2013-07-01,100.3
2013-08-01,99.9
2013-09-01,99.4
2013-10-01,98.9
2013-11-01,97.8
2013-12-01,97.3
2014-01-01,97.3
2014-02-01,97.9
2014-03-01,99.2
2014-04-01,98.8
2014-05-01,97.3
2014-06-01,98.4
2014-07-01,102.1
2014-08-01,103.5
2014-09-01,102.7
2014-10-01,96.8
2014-11-01,96.2
2014-12-01,96.3
2015-01-01,95.4
2015-02-01,98.1
2015-03-01,93.3
2015-04-01,91.6
2015-05-01,93.7
2015-06-01,95.2
2015-07-01,95.7
2015-08-01,95.2
2015-09-01,92.4
2015-10-01,89.6
2015-11-01,89.5
2015-12-01,86.1
2016-01-01,84.9
2016-02-01,89.9
2016-03-01,88.6
2016-04-01,95.9
2016-05-01,101
2016-06-01,103.2
2016-07-01,103.8
2016-08-01,100.1
2016-09-01,98.9
2016-10-01,98.8
2016-11-01,101.7
2016-12-01,100
2017-01-01,98.1
2017-02-01,100.1
2017-03-01,99.8
2017-04-01,98
2017-05-01,99.4
2017-06-01,101.1
2017-07-01,102.1
2017-08-01,103.2
2017-09-01,103
2017-10-01,101.3
2017-11-01,101
2017-12-01,102.4
2018-01-01,99.3
2018-02-01,101.3
2018-03-01,102.8
2018-04-01,103.5
2018-05-01,105.4
2018-06-01,105
2018-07-01,102.7
2018-08-01,102.7
2018-09-01,102.3
2018-10-01,102
2018-11-01,101.8
2018-12-01,102.8
2019-01-01,102.9
2019-02-01,104.9
2019-03-01,105.2
2019-04-01,106.1
2019-05-01,106.5
2019-06-01,106.2
2019-07-01,104.3
2019-08-01,105.6
2019-09-01,104
2019-10-01,104.7
2019-11-01,105.9
2019-12-01,106.9
2020-01-01,108.2
2020-02-01,108.9
2020-03-01,106.4
2020-04-01,100.9
2020-05-01,101.6
2020-06-01,102.4
2020-07-01,101.6
2020-08-01,103.9
2020-09-01,104.3
2020-10-01,105.2
2020-11-01,108.9
2020-12-01,112
2021-01-01,112.6
2021-02-01,114.4
2021-03-01,117.1
2021-04-01,120.5
2021-05-01,123.9
2021-06-01,130.8
2021-07-01,134.3
2021-08-01,134.3
2021-09-01,133.8
2021-10-01,136
2021-11-01,135
2021-12-01,135
2022-01-01,138.8
2022-02-01,141.3
2022-03-01,142.3
2022-04-01,144
2022-05-01,145.5
2022-06-01,148.9
2022-07-01,147.4
2022-08-01,147.8
2022-09-01,149.9
2022-10-01,147.9
2022-11-01,148.2
2022-12-01,146.3
2023-01-01,144.4
2023-02-01,142.7
2023-03-01,139.9
2023-04-01,141.1
2023-05-01,139.6
2023-06-01,139.7
2023-07-01,140.6
2023-08-01,142.8
2023-09-01,136.7
2023-10-01,135.7
2023-11-01,132.7
