"Date","EXP0022"
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,6214.50519
2020-08-01,7114.254265
2020-09-01,7074.370447
2020-10-01,6868.464351
2020-11-01,6231.611983
2020-12-01,6601.382183
2021-01-01,6090.291379
2021-02-01,6734.274236
2021-03-01,8528.222313
2021-04-01,7476.766824
2021-05-01,7512.874646
2021-06-01,7717.446488
2021-07-01,7768.697189
2021-08-01,7826.468135
2021-09-01,7364.19516
2021-10-01,8171.269347
2021-11-01,7757.754217
2021-12-01,8040.016655
2022-01-01,6317.209254
2022-02-01,6899.23184
2022-03-01,9103.550516
2022-04-01,8666.996381
2022-05-01,9121.159832
2022-06-01,9469.056349
2022-07-01,8127.501841
2022-08-01,9297.838115
2022-09-01,8651.029676
2022-10-01,8612.891198
2022-11-01,8505.875815
2022-12-01,7760.830714
2023-01-01,7205.834959
2023-02-01,7401.857603
2023-03-01,8761.77943
2023-04-01,8667.886522
2023-05-01,9187.128549
2023-06-01,9348.346301
2023-07-01,8613.211338
2023-08-01,9505.422939
2023-09-01,9073.478103
2023-10-01,9093.408209
