"Date","IMPCA"
1985-01-01,5319.1
1985-02-01,5548.5
1985-03-01,6075.3
1985-04-01,5976.2
1985-05-01,6041.7
1985-06-01,6291.8
1985-07-01,5073.1
1985-08-01,4813.7
1985-09-01,6153.8
1985-10-01,6077.9
1985-11-01,5695.6
1985-12-01,5939.7
1986-01-01,5680.7
1986-02-01,5659.5
1986-03-01,5922.9
1986-04-01,5821.1
1986-05-01,5922.5
1986-06-01,5711.7
1986-07-01,5475.6
1986-08-01,5224.8
1986-09-01,5571.6
1986-10-01,5719
1986-11-01,6681.4
1986-12-01,4861.9
1987-01-01,5429.9
1987-02-01,5929.3
1987-03-01,5986
1987-04-01,5814.4
1987-05-01,5916
1987-06-01,6100.8
1987-07-01,5321.9
1987-08-01,5069
1987-09-01,6094.7
1987-10-01,6573
1987-11-01,6723.1
1987-12-01,6126.8
1988-01-01,5973.5
1988-02-01,6603.4
1988-03-01,7296.5
1988-04-01,6842.5
1988-05-01,7235.5
1988-06-01,7488
1988-07-01,5736.2
1988-08-01,6308.5
1988-09-01,6976.6
1988-10-01,7338.5
1988-11-01,7122
1988-12-01,6476.8
1989-01-01,7411.2
1989-02-01,7190.5
1989-03-01,7697
1989-04-01,7580.9
1989-05-01,7984.2
1989-06-01,7639.5
1989-07-01,6114.4
1989-08-01,6825.4
1989-09-01,7133.9
1989-10-01,7847.2
1989-11-01,7717.5
1989-12-01,6811.3
1990-01-01,6799
1990-02-01,6877.7
1990-03-01,8275.2
1990-04-01,7463.4
1990-05-01,8214.6
1990-06-01,8299.1
1990-07-01,7046.3
1990-08-01,7162.2
1990-09-01,7722.5
1990-10-01,8701.4
1990-11-01,7995.1
1990-12-01,6823.6
1991-01-01,7220.2
1991-02-01,6868.2
1991-03-01,7523
1991-04-01,7844.5
1991-05-01,8055.9
1991-06-01,7854.6
1991-07-01,6906.3
1991-08-01,7426
1991-09-01,7702.5
1991-10-01,8636.3
1991-11-01,7943.5
1991-12-01,7082.9
1992-01-01,7169.6
1992-02-01,7653.2
1992-03-01,8576.9
1992-04-01,8408.7
1992-05-01,8479.6
1992-06-01,8787.9
1992-07-01,7240.8
1992-08-01,7888.1
1992-09-01,8624.2
1992-10-01,9100.3
1992-11-01,8464.1
1992-12-01,8236.4
1993-01-01,7909.8
1993-02-01,8520.3
1993-03-01,10173.5
1993-04-01,9560
1993-05-01,9616.3
1993-06-01,10094.6
1993-07-01,7845.1
1993-08-01,8780.9
1993-09-01,9717.5
1993-10-01,10249.2
1993-11-01,9971.5
1993-12-01,8777.7
1994-01-01,8612.6
1994-02-01,9074.6
1994-03-01,10929.7
1994-04-01,10356.8
1994-05-01,10662
1994-06-01,11346
1994-07-01,9058.9
1994-08-01,10954.7
1994-09-01,11510.7
1994-10-01,12049.7
1994-11-01,12411.9
1994-12-01,11438.3
1995-01-01,11506.1
1995-02-01,11413.1
1995-03-01,12610.4
1995-04-01,12012.2
1995-05-01,12502.4
1995-06-01,12391.6
1995-07-01,9703.1
1995-08-01,12213.1
1995-09-01,12456.6
1995-10-01,13167.9
1995-11-01,12678.7
1995-12-01,11714.7
1996-01-01,12211.4
1996-02-01,12395.8
1996-03-01,12761.1
1996-04-01,13047.4
1996-05-01,13749.4
1996-06-01,13479.2
1996-07-01,11595.4
1996-08-01,13163
1996-09-01,13488.1
1996-10-01,13500.7
1996-11-01,13772.6
1996-12-01,12728.5
1997-01-01,13686.1
1997-02-01,13477.6
1997-03-01,14067.4
1997-04-01,14146.6
1997-05-01,14333.4
1997-06-01,13814.8
1997-07-01,12374.8
1997-08-01,13556.4
1997-09-01,14473.6
1997-10-01,14964
1997-11-01,14184.3
1997-12-01,14155.1
1998-01-01,13228.5
1998-02-01,13966.8
1998-03-01,15392.1
1998-04-01,14981
1998-05-01,14769.2
1998-06-01,14370.5
1998-07-01,12266
1998-08-01,13753
1998-09-01,15158
1998-10-01,15714.1
1998-11-01,15190.1
1998-12-01,14466.7
1999-01-01,14550.1
1999-02-01,15294.6
1999-03-01,17100.1
1999-04-01,16120.5
1999-05-01,16344.3
1999-06-01,17132
1999-07-01,14632.1
1999-08-01,17236.9
1999-09-01,17324.8
1999-10-01,17787.3
1999-11-01,18176.3
1999-12-01,17012.1
2000-01-01,17578.5
2000-02-01,18092
2000-03-01,20761.5
2000-04-01,18637.9
2000-05-01,19836.1
2000-06-01,20391.2
2000-07-01,16888.5
2000-08-01,19814.8
2000-09-01,19378.5
2000-10-01,20500.4
2000-11-01,19969.2
2000-12-01,18989.7
2001-01-01,20441.9
2001-02-01,18263.4
2001-03-01,19975.8
2001-04-01,18732.9
2001-05-01,19602.9
2001-06-01,18914.8
2001-07-01,15792.5
2001-08-01,18001
2001-09-01,16698.1
2001-10-01,17542.4
2001-11-01,17170.2
2001-12-01,15132
2002-01-01,16335.1
2002-02-01,16179.5
2002-03-01,17481.1
2002-04-01,18185.8
2002-05-01,18793.5
2002-06-01,17436.2
2002-07-01,15910.8
2002-08-01,17943.3
2002-09-01,17861.5
2002-10-01,19044.1
2002-11-01,17684.9
2002-12-01,16231.9
2003-01-01,17735.235108
2003-02-01,17183.4588
2003-03-01,19822.528576
2003-04-01,18454.365079
2003-05-01,18667.882854
2003-06-01,18574.260774
2003-07-01,17079.352003
2003-08-01,17584.301252
2003-09-01,19360.81043
2003-10-01,20137.743913
2003-11-01,18640.493702
2003-12-01,18354.217816
2004-01-01,18925.752966
2004-02-01,19356.616313
2004-03-01,22483.164173
2004-04-01,21498.633661
2004-05-01,21250.073962
2004-06-01,23250.824636
2004-07-01,19776.520224
2004-08-01,22018.283965
2004-09-01,21688.073685
2004-10-01,22410.858565
2004-11-01,22875.484668
2004-12-01,20825.549106
2005-01-01,21839.495234
2005-02-01,21502.547911
2005-03-01,24009.54836
2005-04-01,23457.967483
2005-05-01,23527.721353
2005-06-01,23672.246856
2005-07-01,21087.259288
2005-08-01,25041.270324
2005-09-01,25949.915501
2005-10-01,27725.016027
2005-11-01,26382.724787
2005-12-01,26188.580031
2006-01-01,25965.868063
2006-02-01,23750.043408
2006-03-01,26477.665627
2006-04-01,24836.757199
2006-05-01,26459.01217
2006-06-01,26544.18887
2006-07-01,22926.596456
2006-08-01,26299.179437
2006-09-01,24966.349827
2006-10-01,25080.771902
2006-11-01,25242.014932
2006-12-01,23889.411366
2007-01-01,25114.800993
2007-02-01,23678.810656
2007-03-01,27237.591846
2007-04-01,26083.916916
2007-05-01,26920.072184
2007-06-01,27837.403194
2007-07-01,24609.579092
2007-08-01,26902.750915
2007-09-01,26390.724246
2007-10-01,28714.357812
2007-11-01,28010.52862
2007-12-01,25556.226144
2008-01-01,27359.079726
2008-02-01,27499.002252
2008-03-01,29968.019972
2008-04-01,31232.599736
2008-05-01,30270.778441
2008-06-01,31285.340255
2008-07-01,32208.397116
2008-08-01,29994.422529
2008-09-01,29653.569657
2008-10-01,27707.276789
2008-11-01,22602.90802
2008-12-01,19710.03087
2009-01-01,17552.987776
2009-02-01,17262.059918
2009-03-01,17894.887325
2009-04-01,17211.156464
2009-05-01,16398.797057
2009-06-01,18549.455561
2009-07-01,18763.358402
2009-08-01,19230.281091
2009-09-01,19912.682159
2009-10-01,21229.22711
2009-11-01,20395.458952
2009-12-01,21848.097171
2010-01-01,21653.836333
2010-02-01,21233.211441
2010-03-01,24316.311419
2010-04-01,23656.975053
2010-05-01,23658.132044
2010-06-01,24693.616035
2010-07-01,21299.574779
2010-08-01,23457.003102
2010-09-01,23041.413807
2010-10-01,23444.450833
2010-11-01,22909.191368
2010-12-01,24273.016773
2011-01-01,24793.241244
2011-02-01,23221.381961
2011-03-01,28305.645671
2011-04-01,25936.403247
2011-05-01,26965.168812
2011-06-01,26857.570759
2011-07-01,25446.380384
2011-08-01,27147.93853
2011-09-01,27234.691852
2011-10-01,26681.278004
2011-11-01,26176.959619
2011-12-01,26558.093208
2012-01-01,26786.98551
2012-02-01,26230.561403
2012-03-01,29184.998618
2012-04-01,27802.767047
2012-05-01,27612.779609
2012-06-01,27330.870113
2012-07-01,24973.683714
2012-08-01,27027.583682
2012-09-01,26051.973341
2012-10-01,27661.292052
2012-11-01,27751.808795
2012-12-01,25847.708699
2013-01-01,28055.00607
2013-02-01,25848.367646
2013-03-01,28342.376865
2013-04-01,28527.046617
2013-05-01,28505.949667
2013-06-01,27099.136961
2013-07-01,26192.314683
2013-08-01,27775.113006
2013-09-01,28168.814937
2013-10-01,29634.436835
2013-11-01,27367.598442
2013-12-01,26987.483595
2014-01-01,27705.334454
2014-02-01,26082.94273
2014-03-01,30056.911353
2014-04-01,29284.28598
2014-05-01,30211.782657
2014-06-01,30160.768175
