"Date","LFAC25FECAM647N"
1976-01-01,2202500
1976-02-01,2217400
1976-03-01,2238600
1976-04-01,2251900
1976-05-01,2263100
1976-06-01,2259700
1976-07-01,2239100
1976-08-01,2260100
1976-09-01,2317900
1976-10-01,2331700
1976-11-01,2341400
1976-12-01,2328300
1977-01-01,2314400
1977-02-01,2348500
1977-03-01,2374100
1977-04-01,2375500
1977-05-01,2385100
1977-06-01,2387000
1977-07-01,2325200
1977-08-01,2359600
1977-09-01,2427700
1977-10-01,2436900
1977-11-01,2432200
1977-12-01,2437800
1978-01-01,2422400
1978-02-01,2465200
1978-03-01,2512600
1978-04-01,2512100
1978-05-01,2537900
1978-06-01,2532800
1978-07-01,2510200
1978-08-01,2544900
1978-09-01,2617800
1978-10-01,2625600
1978-11-01,2629400
1978-12-01,2621700
1979-01-01,2603400
1979-02-01,2633600
1979-03-01,2655700
1979-04-01,2654900
1979-05-01,2655800
1979-06-01,2650100
1979-07-01,2633500
1979-08-01,2668200
1979-09-01,2714900
1979-10-01,2757500
1979-11-01,2758000
1979-12-01,2741400
1980-01-01,2756600
1980-02-01,2778000
1980-03-01,2809300
1980-04-01,2832800
1980-05-01,2829000
1980-06-01,2819900
1980-07-01,2780200
1980-08-01,2823700
1980-09-01,2906200
1980-10-01,2918800
1980-11-01,2908000
1980-12-01,2888400
1981-01-01,2909000
1981-02-01,2958400
1981-03-01,2986600
1981-04-01,2987300
1981-05-01,3018800
1981-06-01,3030600
1981-07-01,2972400
1981-08-01,3007900
1981-09-01,3125300
1981-10-01,3145200
1981-11-01,3131000
1981-12-01,3089900
1982-01-01,3068000
1982-02-01,3100400
1982-03-01,3138600
1982-04-01,3128400
1982-05-01,3158200
1982-06-01,3154900
1982-07-01,3108100
1982-08-01,3143000
1982-09-01,3202000
1982-10-01,3209100
1982-11-01,3209100
1982-12-01,3199000
1983-01-01,3193800
1983-02-01,3227400
1983-03-01,3280700
1983-04-01,3302900
1983-05-01,3321400
1983-06-01,3332600
1983-07-01,3279100
1983-08-01,3315100
1983-09-01,3384900
1983-10-01,3377000
1983-11-01,3374900
1983-12-01,3363000
1984-01-01,3343400
1984-02-01,3390700
1984-03-01,3430200
1984-04-01,3430300
1984-05-01,3470700
1984-06-01,3474500
1984-07-01,3420100
1984-08-01,3465600
1984-09-01,3569100
1984-10-01,3564300
1984-11-01,3567300
1984-12-01,3543700
1985-01-01,3543700
1985-02-01,3570400
1985-03-01,3623700
1985-04-01,3630500
1985-05-01,3652800
1985-06-01,3646400
1985-07-01,3597100
1985-08-01,3643000
1985-09-01,3733400
1985-10-01,3729300
1985-11-01,3737800
1985-12-01,3727300
1986-01-01,3739700
1986-02-01,3764300
1986-03-01,3810200
1986-04-01,3817300
1986-05-01,3801000
1986-06-01,3803800
1986-07-01,3756400
1986-08-01,3800900
1986-09-01,3879700
1986-10-01,3899000
1986-11-01,3886700
1986-12-01,3870900
1987-01-01,3882600
1987-02-01,3902900
1987-03-01,3957800
1987-04-01,3961400
1987-05-01,3974400
1987-06-01,3995300
1987-07-01,3931400
1987-08-01,3958800
1987-09-01,4056400
1987-10-01,4062400
1987-11-01,4059700
1987-12-01,4062000
1988-01-01,4057200
1988-02-01,4109800
1988-03-01,4146200
1988-04-01,4153500
1988-05-01,4159900
1988-06-01,4205400
1988-07-01,4134500
1988-08-01,4193900
1988-09-01,4240700
1988-10-01,4271300
1988-11-01,4270700
1988-12-01,4247500
1989-01-01,4268700
1989-02-01,4287900
1989-03-01,4348100
1989-04-01,4346300
1989-05-01,4360800
1989-06-01,4346300
1989-07-01,4300800
1989-08-01,4361100
1989-09-01,4435900
1989-10-01,4452500
1989-11-01,4455300
1989-12-01,4458200
1990-01-01,4460800
1990-02-01,4490700
1990-03-01,4493900
1990-04-01,4512800
1990-05-01,4534300
1990-06-01,4546300
1990-07-01,4486800
1990-08-01,4532500
1990-09-01,4600100
1990-10-01,4623900
1990-11-01,4612000
1990-12-01,4577200
1991-01-01,4584900
1991-02-01,4602000
1991-03-01,4656800
1991-04-01,4652000
1991-05-01,4661500
1991-06-01,4683100
1991-07-01,4630200
1991-08-01,4676100
1991-09-01,4701600
1991-10-01,4718200
1991-11-01,4690400
1991-12-01,4661500
1992-01-01,4639000
1992-02-01,4674000
1992-03-01,4697500
1992-04-01,4681700
1992-05-01,4702900
1992-06-01,4715800
1992-07-01,4669500
1992-08-01,4684000
1992-09-01,4731700
1992-10-01,4737000
1992-11-01,4774300
1992-12-01,4743000
1993-01-01,4721000
1993-02-01,4732300
1993-03-01,4767300
1993-04-01,4771000
1993-05-01,4821500
1993-06-01,4835300
1993-07-01,4777900
1993-08-01,4829000
1993-09-01,4870900
1993-10-01,4862200
1993-11-01,4848000
1993-12-01,4833100
1994-01-01,4801100
1994-02-01,4798700
1994-03-01,4805900
1994-04-01,4817000
1994-05-01,4852700
1994-06-01,4859300
1994-07-01,4818700
1994-08-01,4881300
1994-09-01,4926300
1994-10-01,4937000
1994-11-01,4922000
1994-12-01,4921100
1995-01-01,4914900
1995-02-01,4935700
1995-03-01,4971000
1995-04-01,4925800
1995-05-01,4954600
1995-06-01,4960100
1995-07-01,4904000
1995-08-01,4954300
1995-09-01,4996600
1995-10-01,4991000
1995-11-01,4966600
1995-12-01,4965200
1996-01-01,4974100
1996-02-01,4995300
1996-03-01,5015200
1996-04-01,4998500
1996-05-01,5021400
1996-06-01,5050500
1996-07-01,5007400
1996-08-01,5046700
1996-09-01,5117900
1996-10-01,5110500
1996-11-01,5089300
1996-12-01,5087800
1997-01-01,5084600
1997-02-01,5084700
1997-03-01,5106600
1997-04-01,5135300
1997-05-01,5164700
1997-06-01,5176300
1997-07-01,5111300
1997-08-01,5166000
1997-09-01,5208700
1997-10-01,5229300
1997-11-01,5215300
1997-12-01,5180600
1998-01-01,5188600
1998-02-01,5205600
1998-03-01,5217800
1998-04-01,5232500
1998-05-01,5253400
1998-06-01,5250200
1998-07-01,5186600
1998-08-01,5234100
1998-09-01,5281900
1998-10-01,5268800
1998-11-01,5269300
1998-12-01,5269900
1999-01-01,5261300
1999-02-01,5276200
1999-03-01,5281500
1999-04-01,5314200
1999-05-01,5341400
1999-06-01,5346100
1999-07-01,5285700
1999-08-01,5351100
1999-09-01,5352200
1999-10-01,5351500
1999-11-01,5336500
1999-12-01,5312600
2000-01-01,5297700
2000-02-01,5334800
2000-03-01,5360900
2000-04-01,5370900
2000-05-01,5390800
2000-06-01,5406200
2000-07-01,5326100
2000-08-01,5382900
2000-09-01,5416800
