"Date","LFAC25TTCAM647N"
1976-01-01,6251800
1976-02-01,6284000
1976-03-01,6313900
1976-04-01,6358200
1976-05-01,6408500
1976-06-01,6434400
1976-07-01,6423800
1976-08-01,6450000
1976-09-01,6502400
1976-10-01,6514000
1976-11-01,6509300
1976-12-01,6477700
1977-01-01,6435300
1977-02-01,6494400
1977-03-01,6542300
1977-04-01,6563100
1977-05-01,6620000
1977-06-01,6634500
1977-07-01,6577000
1977-08-01,6626200
1977-09-01,6699900
1977-10-01,6704800
1977-11-01,6689600
1977-12-01,6681700
1978-01-01,6642900
1978-02-01,6705500
1978-03-01,6785500
1978-04-01,6801100
1978-05-01,6870800
1978-06-01,6902700
1978-07-01,6869700
1978-08-01,6926100
1978-09-01,6995200
1978-10-01,7001700
1978-11-01,6993400
1978-12-01,6958700
1979-01-01,6934000
1979-02-01,6958300
1979-03-01,7021400
1979-04-01,7028700
1979-05-01,7082600
1979-06-01,7102600
1979-07-01,7098300
1979-08-01,7141800
1979-09-01,7193200
1979-10-01,7231000
1979-11-01,7220500
1979-12-01,7168600
1980-01-01,7175700
1980-02-01,7214100
1980-03-01,7256300
1980-04-01,7301400
1980-05-01,7337300
1980-06-01,7368000
1980-07-01,7324400
1980-08-01,7388500
1980-09-01,7479300
1980-10-01,7479200
1980-11-01,7481200
1980-12-01,7433100
1981-01-01,7441100
1981-02-01,7507400
1981-03-01,7568000
1981-04-01,7587800
1981-05-01,7655900
1981-06-01,7711800
1981-07-01,7647900
1981-08-01,7689500
1981-09-01,7806800
1981-10-01,7816900
1981-11-01,7774700
1981-12-01,7709900
1982-01-01,7657900
1982-02-01,7700100
1982-03-01,7787800
1982-04-01,7781500
1982-05-01,7858100
1982-06-01,7891000
1982-07-01,7849400
1982-08-01,7879800
1982-09-01,7929700
1982-10-01,7944900
1982-11-01,7919200
1982-12-01,7886000
1983-01-01,7859100
1983-02-01,7913200
1983-03-01,8020600
1983-04-01,8045500
1983-05-01,8126800
1983-06-01,8177900
1983-07-01,8123700
1983-08-01,8168200
1983-09-01,8225000
1983-10-01,8206000
1983-11-01,8181900
1983-12-01,8141500
1984-01-01,8087100
1984-02-01,8158400
1984-03-01,8235900
1984-04-01,8254300
1984-05-01,8354300
1984-06-01,8393300
1984-07-01,8348800
1984-08-01,8416200
1984-09-01,8522900
1984-10-01,8504200
1984-11-01,8488800
1984-12-01,8432300
1985-01-01,8434200
