"Date","LFAC25TTCAM647S"
1976-01-01,6332800
1976-02-01,6350400
1976-03-01,6348000
1976-04-01,6380500
1976-05-01,6386900
1976-06-01,6392800
1976-07-01,6431800
1976-08-01,6432300
1976-09-01,6431600
1976-10-01,6464800
1976-11-01,6492500
1976-12-01,6508500
1977-01-01,6521200
1977-02-01,6552300
1977-03-01,6560400
1977-04-01,6576100
1977-05-01,6589400
1977-06-01,6600400
1977-07-01,6590900
1977-08-01,6613900
1977-09-01,6636700
1977-10-01,6658400
1977-11-01,6675300
1977-12-01,6719000
1978-01-01,6729600
1978-02-01,6760000
1978-03-01,6797100
1978-04-01,6811900
1978-05-01,6842700
1978-06-01,6872600
1978-07-01,6889700
1978-08-01,6916800
1978-09-01,6933000
1978-10-01,6958900
1978-11-01,6978900
1978-12-01,7000500
1979-01-01,7028200
1979-02-01,7018400
1979-03-01,7037900
1979-04-01,7041400
1979-05-01,7055000
1979-06-01,7064900
1979-07-01,7101400
1979-08-01,7127500
1979-09-01,7122400
1979-10-01,7168500
1979-11-01,7192100
1979-12-01,7208700
1980-01-01,7244700
1980-02-01,7276600
1980-03-01,7277000
1980-04-01,7319800
1980-05-01,7310800
1980-06-01,7318500
1980-07-01,7332700
1980-08-01,7376900
1980-09-01,7400300
1980-10-01,7420500
1980-11-01,7453800
1980-12-01,7478700
1981-01-01,7531600
1981-02-01,7585300
1981-03-01,7593400
1981-04-01,7614900
1981-05-01,7627700
1981-06-01,7655200
1981-07-01,7650800
1981-08-01,7671800
1981-09-01,7727000
1981-10-01,7763700
1981-11-01,7750900
1981-12-01,7762900
1982-01-01,7754800
1982-02-01,7772400
1982-03-01,7799600
1982-04-01,7795200
1982-05-01,7828900
1982-06-01,7847800
1982-07-01,7875700
1982-08-01,7858200
1982-09-01,7878900
1982-10-01,7921400
1982-11-01,7916600
1982-12-01,7944500
1983-01-01,7939600
1983-02-01,7966800
1983-03-01,8006300
1983-04-01,8044600
1983-05-01,8088400
1983-06-01,8135300
1983-07-01,8146100
1983-08-01,8144200
1983-09-01,8169100
1983-10-01,8169700
