"Date","LFAC55FECAM647S"
1976-01-01,301500
1976-02-01,306300
1976-03-01,303600
1976-04-01,309300
1976-05-01,311100
1976-06-01,313900
1976-07-01,317500
1976-08-01,314000
1976-09-01,322900
1976-10-01,316500
1976-11-01,318600
1976-12-01,328800
1977-01-01,320900
1977-02-01,318800
1977-03-01,317600
1977-04-01,319600
1977-05-01,319600
1977-06-01,318900
1977-07-01,323900
1977-08-01,317600
1977-09-01,324500
1977-10-01,323800
1977-11-01,330400
1977-12-01,325700
1978-01-01,316700
1978-02-01,321700
1978-03-01,318300
1978-04-01,324200
1978-05-01,321800
1978-06-01,330600
1978-07-01,332700
1978-08-01,333300
1978-09-01,333000
1978-10-01,329100
1978-11-01,341200
1978-12-01,338600
1979-01-01,344000
1979-02-01,358400
1979-03-01,359800
1979-04-01,355200
1979-05-01,354200
1979-06-01,365500
1979-07-01,357800
1979-08-01,346600
1979-09-01,352800
1979-10-01,347500
1979-11-01,350300
1979-12-01,355600
1980-01-01,360900
1980-02-01,365200
1980-03-01,358100
1980-04-01,351500
1980-05-01,364500
1980-06-01,357100
1980-07-01,361200
1980-08-01,349300
1980-09-01,348900
1980-10-01,357100
1980-11-01,355700
1980-12-01,364000
1981-01-01,348500
1981-02-01,358600
1981-03-01,362700
1981-04-01,354100
1981-05-01,364000
1981-06-01,361900
1981-07-01,362900
1981-08-01,368100
1981-09-01,383200
1981-10-01,368400
1981-11-01,370900
1981-12-01,377400
1982-01-01,374500
1982-02-01,376800
1982-03-01,375200
1982-04-01,370500
1982-05-01,381600
1982-06-01,371800
1982-07-01,375600
1982-08-01,375900
1982-09-01,382700
1982-10-01,377400
1982-11-01,382400
1982-12-01,374500
1983-01-01,379700
1983-02-01,378600
1983-03-01,388000
1983-04-01,377900
1983-05-01,387200
1983-06-01,381500
1983-07-01,374000
1983-08-01,379600
1983-09-01,392000
1983-10-01,392100
1983-11-01,387000
1983-12-01,394200
1984-01-01,392700
1984-02-01,383400
1984-03-01,395300
1984-04-01,375700
1984-05-01,386500
1984-06-01,377800
1984-07-01,379200
1984-08-01,379100
1984-09-01,391100
1984-10-01,387600
1984-11-01,375900
1984-12-01,385000
1985-01-01,394700
1985-02-01,404400
1985-03-01,403800
1985-04-01,401100
1985-05-01,404700
1985-06-01,400300
1985-07-01,396100
1985-08-01,397100
1985-09-01,402700
1985-10-01,397900
1985-11-01,395500
1985-12-01,405000
1986-01-01,392400
1986-02-01,396200
1986-03-01,397900
1986-04-01,386100
1986-05-01,407800
1986-06-01,391700
1986-07-01,395000
1986-08-01,396500
1986-09-01,400400
1986-10-01,396700
1986-11-01,391800
1986-12-01,404400
1987-01-01,401800
1987-02-01,399900
1987-03-01,417400
1987-04-01,418500
1987-05-01,419700
1987-06-01,403800
1987-07-01,409900
1987-08-01,411000
1987-09-01,423300
1987-10-01,421700
1987-11-01,410500
1987-12-01,436700
1988-01-01,422300
1988-02-01,418800
1988-03-01,422900
1988-04-01,420200
1988-05-01,424000
1988-06-01,407600
1988-07-01,409600
1988-08-01,412800
1988-09-01,430400
1988-10-01,420100
1988-11-01,411500
1988-12-01,432700
1989-01-01,411600
1989-02-01,417800
1989-03-01,418500
1989-04-01,418500
1989-05-01,402700
1989-06-01,406900
1989-07-01,393600
1989-08-01,388400
1989-09-01,408300
1989-10-01,413100
1989-11-01,410800
1989-12-01,425700
1990-01-01,420100
1990-02-01,412100
1990-03-01,419400
1990-04-01,422200
1990-05-01,419300
1990-06-01,418400
1990-07-01,421000
1990-08-01,419000
1990-09-01,422400
1990-10-01,427000
1990-11-01,418700
1990-12-01,428600
1991-01-01,418600
1991-02-01,428300
1991-03-01,437200
1991-04-01,426400
1991-05-01,419700
1991-06-01,427100
1991-07-01,429300
1991-08-01,429100
1991-09-01,431300
1991-10-01,431900
1991-11-01,426200
1991-12-01,426000
1992-01-01,433600
1992-02-01,428200
1992-03-01,423800
1992-04-01,422300
1992-05-01,420000
1992-06-01,417300
1992-07-01,431400
1992-08-01,440200
1992-09-01,433100
1992-10-01,446500
1992-11-01,456100
1992-12-01,441500
1993-01-01,439800
1993-02-01,450500
1993-03-01,444100
1993-04-01,452400
1993-05-01,437600
1993-06-01,427000
1993-07-01,443000
1993-08-01,433200
1993-09-01,422300
1993-10-01,434300
1993-11-01,446400
1993-12-01,427900
1994-01-01,434600
1994-02-01,444600
1994-03-01,452500
1994-04-01,469400
1994-05-01,464800
1994-06-01,468700
1994-07-01,455600
1994-08-01,466800
1994-09-01,450500
1994-10-01,457800
1994-11-01,462100
1994-12-01,457100
1995-01-01,462200
1995-02-01,455300
1995-03-01,441800
1995-04-01,448100
1995-05-01,440300
1995-06-01,453900
1995-07-01,450500
1995-08-01,456000
1995-09-01,452400
1995-10-01,462600
1995-11-01,465600
1995-12-01,456900
1996-01-01,449000
1996-02-01,456800
1996-03-01,444900
1996-04-01,458700
1996-05-01,461900
1996-06-01,482700
1996-07-01,472700
1996-08-01,479100
1996-09-01,456400
1996-10-01,462100
1996-11-01,453800
1996-12-01,441000
1997-01-01,447200
1997-02-01,466500
1997-03-01,457600
1997-04-01,473100
1997-05-01,479300
1997-06-01,490000
1997-07-01,488200
1997-08-01,484400
1997-09-01,470800
1997-10-01,483900
1997-11-01,492000
1997-12-01,489600
1998-01-01,480400
1998-02-01,505700
1998-03-01,503200
1998-04-01,511200
1998-05-01,498900
1998-06-01,521000
1998-07-01,515100
1998-08-01,515000
1998-09-01,517700
1998-10-01,527100
1998-11-01,529100
1998-12-01,519000
1999-01-01,512400
1999-02-01,517500
1999-03-01,524100
1999-04-01,549600
1999-05-01,540100
1999-06-01,534600
1999-07-01,539100
1999-08-01,536300
1999-09-01,539100
1999-10-01,537500
1999-11-01,547700
1999-12-01,565600
2000-01-01,565300
2000-02-01,567800
2000-03-01,554600
2000-04-01,587700
2000-05-01,577600
2000-06-01,580400
2000-07-01,579200
2000-08-01,592700
2000-09-01,577100
2000-10-01,598000
2000-11-01,597700
2000-12-01,594400
2001-01-01,591700
2001-02-01,586200
2001-03-01,603600
2001-04-01,604600
