"Date","LFAC55MACAM647N"
1976-01-01,683000
1976-02-01,682800
1976-03-01,696400
1976-04-01,703200
1976-05-01,697700
1976-06-01,706200
1976-07-01,710000
1976-08-01,708500
1976-09-01,715200
1976-10-01,713900
1976-11-01,708900
1976-12-01,705900
1977-01-01,700100
1977-02-01,7e+05
1977-03-01,705400
1977-04-01,703700
1977-05-01,713200
1977-06-01,711100
1977-07-01,713200
1977-08-01,713900
1977-09-01,712500
1977-10-01,716200
1977-11-01,715800
1977-12-01,711000
1978-01-01,698900
1978-02-01,711000
1978-03-01,723300
1978-04-01,719000
1978-05-01,729100
1978-06-01,728600
1978-07-01,727000
1978-08-01,731000
1978-09-01,739900
1978-10-01,735800
1978-11-01,726300
1978-12-01,724500
1979-01-01,724200
1979-02-01,724900
1979-03-01,734400
1979-04-01,742900
1979-05-01,746700
1979-06-01,746300
1979-07-01,736100
1979-08-01,740400
1979-09-01,735700
1979-10-01,734500
1979-11-01,732000
1979-12-01,725500
1980-01-01,733300
1980-02-01,737600
1980-03-01,741900
1980-04-01,740200
1980-05-01,747900
1980-06-01,744000
1980-07-01,749900
1980-08-01,755700
1980-09-01,752500
1980-10-01,754900
1980-11-01,746100
1980-12-01,741800
1981-01-01,737900
1981-02-01,748800
1981-03-01,749500
1981-04-01,746000
1981-05-01,752000
1981-06-01,752900
1981-07-01,754300
1981-08-01,760400
1981-09-01,769900
1981-10-01,769900
1981-11-01,764400
1981-12-01,758500
1982-01-01,746000
1982-02-01,743500
1982-03-01,750700
1982-04-01,749300
1982-05-01,756900
1982-06-01,765900
1982-07-01,761800
1982-08-01,759400
1982-09-01,766700
1982-10-01,762700
1982-11-01,755900
1982-12-01,756300
1983-01-01,749500
1983-02-01,756100
1983-03-01,759900
1983-04-01,771800
1983-05-01,777100
1983-06-01,772100
1983-07-01,765800
1983-08-01,767000
1983-09-01,769000
1983-10-01,767200
1983-11-01,754900
1983-12-01,758500
1984-01-01,753200
1984-02-01,765500
1984-03-01,771700
1984-04-01,770400
1984-05-01,780000
1984-06-01,788300
1984-07-01,770100
1984-08-01,764400
1984-09-01,774900
1984-10-01,776200
1984-11-01,766500
1984-12-01,753700
1985-01-01,757800
1985-02-01,755100
1985-03-01,766400
1985-04-01,762300
1985-05-01,765300
1985-06-01,765700
1985-07-01,769500
1985-08-01,766400
1985-09-01,766100
1985-10-01,774400
1985-11-01,775500
1985-12-01,767100
1986-01-01,760700
1986-02-01,765500
1986-03-01,771200
1986-04-01,771100
1986-05-01,769100
1986-06-01,768600
1986-07-01,760300
1986-08-01,754100
1986-09-01,753800
1986-10-01,749800
1986-11-01,744900
1986-12-01,740900
1987-01-01,738400
1987-02-01,747300
1987-03-01,755300
1987-04-01,749800
1987-05-01,747900
1987-06-01,737100
1987-07-01,742200
1987-08-01,740200
1987-09-01,748300
1987-10-01,743800
1987-11-01,744700
1987-12-01,748600
1988-01-01,733400
1988-02-01,739800
1988-03-01,747700
1988-04-01,746900
1988-05-01,753700
1988-06-01,758600
1988-07-01,758000
1988-08-01,762000
1988-09-01,762000
1988-10-01,759300
1988-11-01,748600
1988-12-01,746700
1989-01-01,750800
1989-02-01,757900
1989-03-01,765400
1989-04-01,762700
1989-05-01,756400
1989-06-01,766600
1989-07-01,741900
1989-08-01,744700
1989-09-01,761800
1989-10-01,755200
1989-11-01,750400
1989-12-01,744900
1990-01-01,749500
1990-02-01,752900
1990-03-01,744400
1990-04-01,744900
1990-05-01,742000
1990-06-01,749700
1990-07-01,741100
1990-08-01,745600
1990-09-01,759600
1990-10-01,749000
1990-11-01,746800
1990-12-01,738500
1991-01-01,732000
1991-02-01,729800
1991-03-01,738300
1991-04-01,737300
1991-05-01,738500
1991-06-01,744100
1991-07-01,732100
1991-08-01,733100
1991-09-01,729400
1991-10-01,732900
1991-11-01,722600
1991-12-01,708700
1992-01-01,700300
1992-02-01,710600
1992-03-01,720500
1992-04-01,712700
1992-05-01,726900
1992-06-01,733900
1992-07-01,724000
1992-08-01,719500
1992-09-01,731800
1992-10-01,738900
1992-11-01,734600
1992-12-01,724200
1993-01-01,717100
1993-02-01,721400
1993-03-01,728600
1993-04-01,716600
1993-05-01,714600
1993-06-01,722000
1993-07-01,716100
1993-08-01,717500
1993-09-01,716500
1993-10-01,707000
1993-11-01,707300
1993-12-01,699300
1994-01-01,687200
1994-02-01,708800
1994-03-01,713000
1994-04-01,724500
1994-05-01,725700
1994-06-01,726100
1994-07-01,712800
1994-08-01,714500
1994-09-01,722700
1994-10-01,721200
1994-11-01,718100
1994-12-01,714600
1995-01-01,712800
1995-02-01,717900
1995-03-01,721100
1995-04-01,709900
1995-05-01,706900
1995-06-01,709100
1995-07-01,706200
1995-08-01,705200
1995-09-01,699500
1995-10-01,708400
1995-11-01,704300
1995-12-01,698000
1996-01-01,695000
1996-02-01,705700
1996-03-01,709200
1996-04-01,705000
1996-05-01,707600
1996-06-01,722100
1996-07-01,723300
1996-08-01,719400
1996-09-01,720300
1996-10-01,728500
1996-11-01,735000
1996-12-01,733600
1997-01-01,722600
1997-02-01,738900
1997-03-01,739900
1997-04-01,739700
1997-05-01,750900
1997-06-01,758600
1997-07-01,748400.000000001
1997-08-01,756700
1997-09-01,757300
1997-10-01,759400
1997-11-01,752600
1997-12-01,738300
1998-01-01,736300
1998-02-01,741100
1998-03-01,739500
1998-04-01,730800
1998-05-01,743800.000000001
1998-06-01,756600
1998-07-01,760600
1998-08-01,771700
1998-09-01,778399.999999999
1998-10-01,773200
1998-11-01,771100
1998-12-01,763800
1999-01-01,772100
1999-02-01,768500
1999-03-01,773200
1999-04-01,793100
1999-05-01,794300.000000001
1999-06-01,806800
1999-07-01,796100
1999-08-01,813500
1999-09-01,817800
1999-10-01,821099.999999999
1999-11-01,813100
1999-12-01,807400
2000-01-01,806500
2000-02-01,810600
2000-03-01,812600
2000-04-01,819899.999999999
2000-05-01,829900
2000-06-01,839600
2000-07-01,819800
2000-08-01,838500
2000-09-01,838600
2000-10-01,831500
2000-11-01,835100
2000-12-01,842500
2001-01-01,826500
2001-02-01,832899.999999999
2001-03-01,854700
2001-04-01,851800
2001-05-01,863100
2001-06-01,873100
2001-07-01,863700
2001-08-01,880700
2001-09-01,879900
2001-10-01,876600
2001-11-01,871900
2001-12-01,884200
2002-01-01,901200
2002-02-01,910100
2002-03-01,916500
2002-04-01,932100
2002-05-01,945000
2002-06-01,949300
2002-07-01,941000
2002-08-01,950200
2002-09-01,971700
2002-10-01,972100
2002-11-01,987000
2002-12-01,982400
2003-01-01,989200
2003-02-01,1000400
2003-03-01,998800
2003-04-01,1021300
2003-05-01,1022500
2003-06-01,1033200
2003-07-01,1021000
2003-08-01,1041500
2003-09-01,1060200
2003-10-01,1067000
2003-11-01,1057700
2003-12-01,1055800
2004-01-01,1050900
2004-02-01,1072600
2004-03-01,1064900
2004-04-01,1071300
2004-05-01,1084800
2004-06-01,1094200
2004-07-01,1073600
2004-08-01,1087100
2004-09-01,1098900
2004-10-01,1110500
2004-11-01,1119100
2004-12-01,1113500
2005-01-01,1122300
2005-02-01,1121200
2005-03-01,1124100
2005-04-01,1134900
2005-05-01,1149500
2005-06-01,1150200
2005-07-01,1147600
2005-08-01,1157800
2005-09-01,1169500
2005-10-01,1170700
2005-11-01,1160900
2005-12-01,1149500
2006-01-01,1151700
2006-02-01,1146100
2006-03-01,1165400
2006-04-01,1168500
2006-05-01,1185300
2006-06-01,1191100
2006-07-01,1191000
2006-08-01,1198100
2006-09-01,1206700
2006-10-01,1216200
2006-11-01,1214400
2006-12-01,1215100
2007-01-01,1200300
2007-02-01,1214000
2007-03-01,1220600
2007-04-01,1239900
2007-05-01,1242200
2007-06-01,1245600
2007-07-01,1238200
2007-08-01,1252600
2007-09-01,1259400
2007-10-01,1275600
2007-11-01,1257600
2007-12-01,1263200
2008-01-01,1263000
2008-02-01,1257700
2008-03-01,1274600
2008-04-01,1265900
2008-05-01,1282500
2008-06-01,1288100
2008-07-01,1278700
2008-08-01,1287600
2008-09-01,1312900
2008-10-01,1325500
2008-11-01,1305600
2008-12-01,1308400
2009-01-01,1314600
2009-02-01,1311100
2009-03-01,1327700
2009-04-01,1343400
2009-05-01,1346500
2009-06-01,1352600
2009-07-01,1366000
2009-08-01,1369200
2009-09-01,1369800
2009-10-01,1371100
2009-11-01,1371700
2009-12-01,1372800
2010-01-01,1360300
2010-02-01,1376400
2010-03-01,1384900
2010-04-01,1399300
2010-05-01,1411200
2010-06-01,1415500
2010-07-01,1416800
2010-08-01,1425200
2010-09-01,1461000
2010-10-01,1458900
2010-11-01,1460500
2010-12-01,1457100
2011-01-01,1434000
2011-02-01,1448900
2011-03-01,1464300
2011-04-01,1477400
2011-05-01,1476700
2011-06-01,1474300
2011-07-01,1464100
2011-08-01,1476100
2011-09-01,1489400
2011-10-01,1480600
2011-11-01,1473900
2011-12-01,1493000
2012-01-01,1476100
2012-02-01,1480400
2012-03-01,1495100
2012-04-01,1508500
2012-05-01,1520100
2012-06-01,1516200
2012-07-01,1506800
2012-08-01,1540100
2012-09-01,1550800
2012-10-01,1563100
2012-11-01,1544400
2012-12-01,1550300
2013-01-01,1548000
2013-02-01,1550600
2013-03-01,1560100
2013-04-01,1579900
2013-05-01,1588800
2013-06-01,1584000
2013-07-01,1574200
2013-08-01,1587600
2013-09-01,1588200
2013-10-01,1595500
2013-11-01,1580500
2013-12-01,1570600
2014-01-01,1562300
2014-02-01,1586900
2014-03-01,1605600
2014-04-01,1618000
2014-05-01,1635000
2014-06-01,1651700
2014-07-01,1635800
2014-08-01,1614300
2014-09-01,1628700
2014-10-01,1638000
2014-11-01,1608900
2014-12-01,1601600
2015-01-01,1614700
2015-02-01,1643000
2015-03-01,1646400
2015-04-01,1663000
2015-05-01,1682500
2015-06-01,1693700
2015-07-01,1695900
2015-08-01,1691200
2015-09-01,1697700
2015-10-01,1678900
