"Date","LFAC55MACAM647S"
1976-01-01,701300
1976-02-01,685300
1976-03-01,671300
1976-04-01,699800
1976-05-01,690100
1976-06-01,702800
1976-07-01,704700
1976-08-01,706200
1976-09-01,735100
1976-10-01,701300
1976-11-01,714100
1976-12-01,715300
1977-01-01,721000
1977-02-01,705300
1977-03-01,696500
1977-04-01,708900
1977-05-01,709500
1977-06-01,702600
1977-07-01,707800
1977-08-01,704200
1977-09-01,711700
1977-10-01,699700
1977-11-01,718400
1977-12-01,719900
1978-01-01,729800
1978-02-01,718300
1978-03-01,723400
1978-04-01,726500
1978-05-01,725000
1978-06-01,717000
1978-07-01,729000
1978-08-01,725200
1978-09-01,738400
1978-10-01,722900
1978-11-01,732000
1978-12-01,729200
1979-01-01,743500
1979-02-01,720200
1979-03-01,725500
1979-04-01,740500
1979-05-01,741700
1979-06-01,740800
1979-07-01,756500
1979-08-01,759800
1979-09-01,749900
1979-10-01,733300
1979-11-01,733100
1979-12-01,730400
1980-01-01,734300
1980-02-01,720900
1980-03-01,726500
1980-04-01,728600
1980-05-01,740200
1980-06-01,749400
1980-07-01,764300
1980-08-01,773300
1980-09-01,761200
1980-10-01,756200
1980-11-01,755500
1980-12-01,746000
1981-01-01,729100
1981-02-01,730400
1981-03-01,723000
1981-04-01,720400
1981-05-01,743100
1981-06-01,759800
1981-07-01,779900
1981-08-01,794900
1981-09-01,772000
1981-10-01,768000
1981-11-01,777600
1981-12-01,767400
1982-01-01,753400
1982-02-01,745900
1982-03-01,753400
1982-04-01,748300
1982-05-01,749700
1982-06-01,739700
1982-07-01,739400
1982-08-01,725800
1982-09-01,721900
1982-10-01,722400
1982-11-01,755300
1982-12-01,776300
1983-01-01,797800
1983-02-01,795900
1983-03-01,802700
1983-04-01,792600
1983-05-01,768600
1983-06-01,738900
1983-07-01,748100
1983-08-01,746400
1983-09-01,745000
1983-10-01,750600
1983-11-01,760100
1983-12-01,774300
1984-01-01,776000
1984-02-01,786500
1984-03-01,786700
1984-04-01,776700
1984-05-01,771900
1984-06-01,766100
1984-07-01,762100
1984-08-01,753700
1984-09-01,751200
1984-10-01,764900
1984-11-01,774300
1984-12-01,767300
1985-01-01,780100
1985-02-01,767700
1985-03-01,771600
1985-04-01,764600
1985-05-01,759100
