"Date","LFACTTTTCAM647N"
1960-01-01,6215000
1960-02-01,6228000
1960-03-01,6244000
1960-04-01,6269000
1960-05-01,6399000
1960-06-01,6462000
1960-07-01,6600000
1960-08-01,6630000
1960-09-01,6481000
1960-10-01,6506000
1960-11-01,6463000
1960-12-01,6435000
1961-01-01,6401000
1961-02-01,6367000
1961-03-01,6357000
1961-04-01,6444000
1961-05-01,6544000
1961-06-01,6594000
1961-07-01,6745000
1961-08-01,6707000
1961-09-01,6546000
1961-10-01,6541000
1961-11-01,6509000
1961-12-01,6500000
1962-01-01,6414000
1962-02-01,6429000
1962-03-01,6460000
1962-04-01,6498000
1962-05-01,6597000
1962-06-01,6759000
1962-07-01,6884000
1962-08-01,6870000
1962-09-01,6653000
1962-10-01,6617000
1962-11-01,6621000
1962-12-01,6583000
1963-01-01,6506000
1963-02-01,6507000
1963-03-01,6523000
1963-04-01,6570000
1963-05-01,6670000
1963-06-01,6851000
1963-07-01,7047000
1963-08-01,7028000
1963-09-01,6827000
1963-10-01,6853000
1963-11-01,6811000
1963-12-01,6786000
1964-01-01,6709000
1964-02-01,6703000
1964-03-01,6742000
1964-04-01,6776000
1964-05-01,6914000
1964-06-01,7055000
1964-07-01,7245000
1964-08-01,7217000
1964-09-01,6985000
1964-10-01,6975000
1964-11-01,6965000
1964-12-01,6912000
1965-01-01,6868000
1965-02-01,6857000
1965-03-01,6908000
1965-04-01,6968000
1965-05-01,7123000
1965-06-01,7306000
1965-07-01,7495000
1965-08-01,7490000
1965-09-01,7159000
1965-10-01,7179000
1965-11-01,7159000
1965-12-01,7185000
1966-01-01,7114000
1966-02-01,7159000
1966-03-01,7191000
1966-04-01,7285000
1966-05-01,7436000
1966-06-01,7620000
1966-07-01,7847000
1966-08-01,7874000
1966-09-01,7641000
1966-10-01,7637000
1966-11-01,7564000
1966-12-01,7554000
1967-01-01,7372000
1967-02-01,7406000
1967-03-01,7496000
1967-04-01,7504000
1967-05-01,7740000
1967-06-01,7928000
1967-07-01,8158000
1967-08-01,8140000
1967-09-01,7834000
1967-10-01,7789000
1967-11-01,7811000
1967-12-01,7784000
1968-01-01,7539000
1968-02-01,7580000
1968-03-01,7584000
1968-04-01,7693000
1968-05-01,7876000
1968-06-01,8199000
1968-07-01,8354000
1968-08-01,8322000
1968-09-01,8064000
1968-10-01,8080000
1968-11-01,8110000
1968-12-01,8013000
1969-01-01,7864000
1969-02-01,7906000
1969-03-01,7900000
1969-04-01,8044000
1969-05-01,8247000
1969-06-01,8440000
1969-07-01,8582000
1969-08-01,8523000
1969-09-01,8212000
1969-10-01,8226000
1969-11-01,8213000
1969-12-01,8169000
1970-01-01,7948000
1970-02-01,8009000
1970-03-01,8024000
1970-04-01,8156000
1970-05-01,8440000
1970-06-01,8701000
1970-07-01,8855000
1970-08-01,8756000
1970-09-01,8467000
1970-10-01,8490000
1970-11-01,8500000
1970-12-01,8394000
1971-01-01,8282000
1971-02-01,8309000
1971-03-01,8274000
1971-04-01,8334000
1971-05-01,8595000
1971-06-01,8869000
1971-07-01,9096000
1971-08-01,8989000
1971-09-01,8690000
1971-10-01,8778000
1971-11-01,8743000
1971-12-01,8705000
1972-01-01,8519000
1972-02-01,8516000
1972-03-01,8591000
1972-04-01,8614000
1972-05-01,8855000
1972-06-01,9153000
1972-07-01,9377000
1972-08-01,9292000
1972-09-01,8921000
1972-10-01,8955000
1972-11-01,8990000
1972-12-01,8985000
1973-01-01,8814000
1973-02-01,8889000
1973-03-01,8928000
1973-04-01,9033000
1973-05-01,9290000
1973-06-01,9617000
1973-07-01,9689000
1973-08-01,9667000
1973-09-01,9281000
1973-10-01,9381000
1973-11-01,9381000
1973-12-01,9345000
1974-01-01,9200000
1974-02-01,9241000
1974-03-01,9253000
1974-04-01,9368000
1974-05-01,9615000
1974-06-01,9859000
1974-07-01,10125000
1974-08-01,10134000
1974-09-01,9693000
1974-10-01,9728000
1974-11-01,9731000
1974-12-01,9726000
1975-01-01,9523000
1975-02-01,9552000
1975-03-01,9601000
1975-04-01,9664000
1975-05-01,10004000
1975-06-01,10284000
1975-07-01,10454000
1975-08-01,10419000
1975-09-01,10049000
1975-10-01,10071000
1975-11-01,10065000
1975-12-01,1e+07
1976-01-01,10087100
1976-02-01,10132700
1976-03-01,10205100
1976-04-01,10276200
1976-05-01,10481300
1976-06-01,10739300
1976-07-01,11007600
1976-08-01,10921700
1976-09-01,10532500
1976-10-01,10527100
1976-11-01,10507500
1976-12-01,10477500
1977-01-01,10380000
1977-02-01,10466100
1977-03-01,10530200
1977-04-01,10571100
1977-05-01,10828900
1977-06-01,11005000
1977-07-01,11256500
1977-08-01,11214800
1977-09-01,10817100
1977-10-01,10824400
1977-11-01,10788400
1977-12-01,10739900
1978-01-01,10615500
1978-02-01,10736600
1978-03-01,10884900
1978-04-01,10890400
1978-05-01,11173800
1978-06-01,11395000
1978-07-01,11665200
1978-08-01,11639700
1978-09-01,11228900
1978-10-01,11243400
1978-11-01,11217800
1978-12-01,11163600
1979-01-01,11091800
1979-02-01,11146800
1979-03-01,11276100
1979-04-01,11320100
1979-05-01,11554800
1979-06-01,11752900
1979-07-01,12010300
1979-08-01,11994500
1979-09-01,11560700
1979-10-01,11635900
1979-11-01,11589900
1979-12-01,11506800
1980-01-01,11480300
1980-02-01,11520200
1980-03-01,11628000
1980-04-01,11672100
1980-05-01,11879700
1980-06-01,12189900
1980-07-01,12314100
1980-08-01,12309800
1980-09-01,11922600
1980-10-01,11936600
1980-11-01,11892100
1980-12-01,11807000
1981-01-01,11779200
1981-02-01,11888700
1981-03-01,12002200
1981-04-01,11991100
1981-05-01,12288900
1981-06-01,12597900
1981-07-01,12700100
1981-08-01,12660700
1981-09-01,12321300
1981-10-01,12293300
1981-11-01,12210000
1981-12-01,12096400
1982-01-01,11944800
1982-02-01,11984900
1982-03-01,12137300
1982-04-01,12111700
1982-05-01,12364400
1982-06-01,12604300
1982-07-01,12801900
1982-08-01,12674500
1982-09-01,12270000
1982-10-01,12309000
1982-11-01,12234000
1982-12-01,12185100
1983-01-01,12080300
1983-02-01,12154700
1983-03-01,12338200
1983-04-01,12341600
1983-05-01,12629900
1983-06-01,12863200
1983-07-01,13017300
1983-08-01,12968400
1983-09-01,12559200
1983-10-01,12522000
1983-11-01,12450800
1983-12-01,12405800
1984-01-01,12257400
1984-02-01,12374100
1984-03-01,12509400
1984-04-01,12519300
1984-05-01,12852900
1984-06-01,13027500
1984-07-01,13220900
1984-08-01,13168400
1984-09-01,12843300
1984-10-01,12802400
1984-11-01,12749900
1984-12-01,12649100
1985-01-01,12577900
1985-02-01,12638300
1985-03-01,12825600
1985-04-01,12836100
1985-05-01,13097300
1985-06-01,13277300
1985-07-01,13483100
1985-08-01,13446300
1985-09-01,13028200
1985-10-01,13063700
1985-11-01,13059300
1985-12-01,12979800
1986-01-01,12914600
1986-02-01,12968300
1986-03-01,13083800
1986-04-01,13140900
1986-05-01,13347400
1986-06-01,13615900
1986-07-01,13735900
1986-08-01,13689600
1986-09-01,13267300
1986-10-01,13267700
1986-11-01,13217400
1986-12-01,13143900
1987-01-01,13076800
1987-02-01,13151700
1987-03-01,13301200
1987-04-01,13310800
1987-05-01,13590500
1987-06-01,13834300
1987-07-01,13976500
1987-08-01,13941400
1987-09-01,13545000
1987-10-01,13582300
1987-11-01,13518100
1987-12-01,13483500
1988-01-01,13377500
1988-02-01,13445600
1988-03-01,13559000
1988-04-01,13551100
1988-05-01,13880200
1988-06-01,14030600
1988-07-01,14241200
1988-08-01,14204200
1988-09-01,13798000
1988-10-01,13815900
1988-11-01,13753200
1988-12-01,13692800
1989-01-01,13692800
1989-02-01,13734900
1989-03-01,13864400
1989-04-01,13856200
1989-05-01,14156700
1989-06-01,14312200
1989-07-01,14490900
1989-08-01,14475600
1989-09-01,14052300
1989-10-01,14059800
1989-11-01,14024200
1989-12-01,13963600
1990-01-01,13925300
1990-02-01,13961000
1990-03-01,13968400
1990-04-01,14036300
1990-05-01,14314300
1990-06-01,14490200
1990-07-01,14696900
1990-08-01,14671100
1990-09-01,14281100
1990-10-01,14297600
1990-11-01,14196300
1990-12-01,14097200
1991-01-01,14005800
1991-02-01,14062400
1991-03-01,14167700
1991-04-01,14152400
1991-05-01,14451600
1991-06-01,14649500
1991-07-01,14837300
1991-08-01,14780600
1991-09-01,14302400
1991-10-01,14320700
1991-11-01,14209700
1991-12-01,14095500
1992-01-01,13981300
1992-02-01,14032600
1992-03-01,14158400
1992-04-01,14078000
1992-05-01,14397000
1992-06-01,14657800
1992-07-01,14815900
1992-08-01,14750300
1992-09-01,14308700
1992-10-01,14302500
1992-11-01,14342100
1992-12-01,14209200
1993-01-01,14039900
1993-02-01,14088800
1993-03-01,14244600
1993-04-01,14222400
1993-05-01,14522000
1993-06-01,14772900
1993-07-01,14944300
1993-08-01,14833000
1993-09-01,14446400
1993-10-01,14406900
1993-11-01,14394700
1993-12-01,14304100
1994-01-01,14178700
1994-02-01,14248500
1994-03-01,14294700
1994-04-01,14329000
1994-05-01,14692900
1994-06-01,14846600
1994-07-01,15041300
1994-08-01,15009900
1994-09-01,14623500
1994-10-01,14586200
1994-11-01,14565100
1994-12-01,14468300
1995-01-01,14403800
1995-02-01,14404300
1995-03-01,14530100
1995-04-01,14444600
1995-05-01,14784500
1995-06-01,14970200
1995-07-01,15177700
1995-08-01,15106300
1995-09-01,14665300
1995-10-01,14675800
1995-11-01,14557600
1995-12-01,14550300
1996-01-01,14496300
1996-02-01,14559700
1996-03-01,14594100
1996-04-01,14593300
1996-05-01,14911100
1996-06-01,15138000
1996-07-01,15339000
1996-08-01,15263400
1996-09-01,14875900
1996-10-01,14861100
1996-11-01,14814100
1996-12-01,14736100
1997-01-01,14659800
1997-02-01,14725700
1997-03-01,14763000
1997-04-01,14811200
1997-05-01,15168200
1997-06-01,15398000
1997-07-01,15525100
1997-08-01,15541100
1997-09-01,15145900
1997-10-01,15149500
1997-11-01,15102800
1997-12-01,14976500
1998-01-01,14895100
1998-02-01,14967200
1998-03-01,15003300
1998-04-01,15069800
1998-05-01,15385000
1998-06-01,15592700
1998-07-01,15771500
1998-08-01,15733800
1998-09-01,15386800
1998-10-01,15357600
1998-11-01,15338200
1998-12-01,15277100
1999-01-01,15182700
1999-02-01,15240800
1999-03-01,15274100
1999-04-01,15426300
1999-05-01,15724700
1999-06-01,15844400
1999-07-01,16052400
1999-08-01,15998600
1999-09-01,15620500
1999-10-01,15602200
1999-11-01,15538800
1999-12-01,15498900
2000-01-01,15385900
2000-02-01,15496500
2000-03-01,15548400
2000-04-01,15604100
2000-05-01,15949600
2000-06-01,16075200
2000-07-01,16256800
2000-08-01,16275500
2000-09-01,15888500
2000-10-01,15910500
2000-11-01,15882900
2000-12-01,15829300
2001-01-01,15707700
2001-02-01,15747900
2001-03-01,15819700
2001-04-01,15905000
2001-05-01,16228100
2001-06-01,16332500
2001-07-01,16494400
2001-08-01,16509000
2001-09-01,16092900
2001-10-01,16105000
2001-11-01,16101700
2001-12-01,16084900
2002-01-01,16062700
2002-02-01,16092700
2002-03-01,16201100
2002-04-01,16273300
2002-05-01,16663600
2002-06-01,16788800
2002-07-01,17009800
2002-08-01,17052600
2002-09-01,16652300
2002-10-01,16646500
2002-11-01,16652600
2002-12-01,16632100
2003-01-01,16515000
2003-02-01,16607500
2003-03-01,16640300
2003-04-01,16706000
2003-05-01,17062500
2003-06-01,17210300
2003-07-01,17363800
2003-08-01,17380200
2003-09-01,16982800
2003-10-01,16975100
2003-11-01,16971300
2003-12-01,16914900
2004-01-01,16780100
2004-02-01,16819000
2004-03-01,16857800
2004-04-01,16931100
2004-05-01,17283300
2004-06-01,17446400
2004-07-01,17565100
2004-08-01,17534700
2004-09-01,17131500
2004-10-01,17159700
2004-11-01,17166800
2004-12-01,17089700
2005-01-01,16922400
2005-02-01,17003500
2005-03-01,17004400
2005-04-01,17049000
2005-05-01,17456500
2005-06-01,17554200
2005-07-01,17708500
2005-08-01,17728100
2005-09-01,17282500
2005-10-01,17326600
2005-11-01,17258800
2005-12-01,17211000
2006-01-01,17174100
2006-02-01,17185800
2006-03-01,17251800
2006-04-01,17319400
2006-05-01,17726500
2006-06-01,17813300
2006-07-01,18006500
2006-08-01,17967400
2006-09-01,17551400
2006-10-01,17556000
2006-11-01,17558700
2006-12-01,17509400
2007-01-01,17464300
2007-02-01,17492400
2007-03-01,17564100
2007-04-01,17608200
2007-05-01,17967700
2007-06-01,18096100
2007-07-01,18268500
2007-08-01,18272100
2007-09-01,17856000
2007-10-01,17914500
2007-11-01,17922100
2007-12-01,17847600
2008-01-01,17755200
2008-02-01,17810100
2008-03-01,17876000
2008-04-01,17923200
2008-05-01,18295000
2008-06-01,18421700
2008-07-01,18482900
2008-08-01,18517600
2008-09-01,18146600
2008-10-01,18199100
2008-11-01,18133300
2008-12-01,18077600
