"Date","LFEAICTTCAM647S"
1970-01-01,2510239.4134637
1970-02-01,2491519.01921213
1970-03-01,2451239.29930875
1970-04-01,2457857.25348139
1970-05-01,2457318.93976494
1970-06-01,2446000.47869748
1970-07-01,2436241.71802194
1970-08-01,2429824.67565926
1970-09-01,2465607.84126687
1970-10-01,2428481.5099048
1970-11-01,2420088.83609191
1970-12-01,2429314.31380611
1971-01-01,2432546.39275717
1971-02-01,2437294.80572453
1971-03-01,2427235.57768818
1971-04-01,2427274.88125862
1971-05-01,2450730.54327091
1971-06-01,2453160.80539687
1971-07-01,2473959.39227835
1971-08-01,2503454.8072765
1971-09-01,2517984.53937979
1971-10-01,2532203.22431061
1971-11-01,2528211.34216409
1971-12-01,2527381.92910711
1972-01-01,2542676.56389676
1972-02-01,2545810.78262146
1972-03-01,2553287.5620891
1972-04-01,2538514.80452579
1972-05-01,2541046.0947941
1972-06-01,2558866.7554029
1972-07-01,2550402.53460604
1972-08-01,2515117.72793403
1972-09-01,2510236.76233963
1972-10-01,2502158.39660605
1972-11-01,2543287.14922513
1972-12-01,2557732.63641733
1973-01-01,2574229.83802725
1973-02-01,2601066.55542341
1973-03-01,2656384.57051333
1973-04-01,2691823.2314493
1973-05-01,2706743.12573576
1973-06-01,2732765.86776646
1973-07-01,2720286.76440853
1973-08-01,2745284.452341
1973-09-01,2725638.72614274
1973-10-01,2744838.19268274
1973-11-01,2757370.25587002
1973-12-01,2777019.48905812
1974-01-01,2805119.65557225
1974-02-01,2807492.79015942
1974-03-01,2797078.66544126
1974-04-01,2797541.5283626
1974-05-01,2782768.50347193
1974-06-01,2793010.08971572
1974-07-01,2832927.38674782
1974-08-01,2842387.55330272
1974-09-01,2846860.86008471
1974-10-01,2841512.18464446
1974-11-01,2811766.96978245
1974-12-01,2811530.94861254
1975-01-01,2751407.07169861
1975-02-01,2716765.02887882
1975-03-01,2707375.83716331
1975-04-01,2742064.70867694
1975-05-01,2739209.84701637
1975-06-01,2738470.98882793
1975-07-01,2743693.1596997
1975-08-01,2742251.07753833
1975-09-01,2761978.53758752
1975-10-01,2760617.31347982
1975-11-01,2778783.76136652
1975-12-01,2787374.5907039
1976-01-01,2765061.28143965
1976-02-01,2769644.47506745
1976-03-01,2782968.72419537
1976-04-01,2807501.58396218
1976-05-01,2801475.93994161
1976-06-01,2818171.10443864
1976-07-01,2842230.04916684
1976-08-01,2831121.31045456
1976-09-01,2837567.21190192
1976-10-01,2817144.63121005
1976-11-01,2831294.46290113
