"Date","LFEAMNTTCAM647S"
1987-01-01,2002800
1987-02-01,2002100
1987-03-01,2017800
1987-04-01,2020600
1987-05-01,2049500
1987-06-01,2046200
1987-07-01,2049400
1987-08-01,2042500
1987-09-01,2042600
1987-10-01,2060800
1987-11-01,2068700
1987-12-01,2073000
1988-01-01,2076100
1988-02-01,2084000
1988-03-01,2083200
1988-04-01,2099300
1988-05-01,2101900
1988-06-01,2090200
1988-07-01,2105200
1988-08-01,2108500
1988-09-01,2109200
1988-10-01,2113200
1988-11-01,2115500
1988-12-01,2121000
1989-01-01,2145900
1989-02-01,2141700
1989-03-01,2135800
1989-04-01,2135900
1989-05-01,2130000
1989-06-01,2140300
1989-07-01,2136700
1989-08-01,2140900
1989-09-01,2112000
1989-10-01,2108900
1989-11-01,2114400
1989-12-01,2110200
1990-01-01,2094500
1990-02-01,2107200
1990-03-01,2098900
1990-04-01,2084400
1990-05-01,2062900
1990-06-01,2076200
1990-07-01,2054600
1990-08-01,2063000
1990-09-01,2034600
1990-10-01,1998200
1990-11-01,1974700
1990-12-01,1953900
1991-01-01,1953600
1991-02-01,1904700
1991-03-01,1892000
1991-04-01,1888600
1991-05-01,1901700
1991-06-01,1894000
1991-07-01,1873500
1991-08-01,1877000
1991-09-01,1889400
1991-10-01,1879900
1991-11-01,1864500
1991-12-01,1858200
1992-01-01,1856100
1992-02-01,1846700
1992-03-01,1820800
1992-04-01,1831900
1992-05-01,1823300
1992-06-01,1810800
1992-07-01,1819000
1992-08-01,1802900
1992-09-01,1796300
1992-10-01,1787600
1992-11-01,1785200
1992-12-01,1785300
1993-01-01,1781300
1993-02-01,1786000
1993-03-01,1792900
1993-04-01,1785500
1993-05-01,1767900
1993-06-01,1768900
1993-07-01,1779300
1993-08-01,1774400
1993-09-01,1771200
1993-10-01,1774600
1993-11-01,1793300
1993-12-01,1781200
1994-01-01,1771700
1994-02-01,1775900
1994-03-01,1796600
1994-04-01,1800200
1994-05-01,1806000
1994-06-01,1822300
1994-07-01,1833800
1994-08-01,1834900
1994-09-01,1839500
1994-10-01,1853500
1994-11-01,1872300
1994-12-01,1878100
1995-01-01,1894000
1995-02-01,1896800
1995-03-01,1895700
1995-04-01,1894100
1995-05-01,1920700
1995-06-01,1906000
1995-07-01,1898100
1995-08-01,1902600
1995-09-01,1918500
1995-10-01,1910700
1995-11-01,1914800
1995-12-01,1909400
1996-01-01,1905900
1996-02-01,1906400
