"Date","LFEM24FECAM647S"
1976-01-01,1147900
1976-02-01,1150900
1976-03-01,1155800
1976-04-01,1160500
1976-05-01,1168800
1976-06-01,1173100
1976-07-01,1157300
1976-08-01,1171000
1976-09-01,1168000
1976-10-01,1159900
1976-11-01,1163100
1976-12-01,1172200
1977-01-01,1183100
1977-02-01,1175800
1977-03-01,1173400
1977-04-01,1176500
1977-05-01,1178200
1977-06-01,1176900
1977-07-01,1181800
1977-08-01,1183400
1977-09-01,1186900
1977-10-01,1187400
1977-11-01,1195500
1977-12-01,1197100
1978-01-01,1202900
1978-02-01,1206200
1978-03-01,1204300
1978-04-01,1206100
1978-05-01,1194000
1978-06-01,1204800
1978-07-01,1215200
1978-08-01,1217000
1978-09-01,1224600
1978-10-01,1236100
1978-11-01,1235500
1978-12-01,1239400
1979-01-01,1243900
1979-02-01,1245800
1979-03-01,1257800
1979-04-01,1256800
1979-05-01,1261100
1979-06-01,1265100
1979-07-01,1275000
1979-08-01,1290200
1979-09-01,1297100
1979-10-01,1314600
1979-11-01,1308100
1979-12-01,1309700
1980-01-01,1307000
1980-02-01,1298800
1980-03-01,1309000
1980-04-01,1316100
1980-05-01,1307000
1980-06-01,1321700
1980-07-01,1312500
1980-08-01,1315000
1980-09-01,1336500
1980-10-01,1325500
1980-11-01,1328100
1980-12-01,1323100
1981-01-01,1337900
1981-02-01,1348300
1981-03-01,1332800
1981-04-01,1340300
1981-05-01,1364700
1981-06-01,1382000
1981-07-01,1366800
1981-08-01,1352500
1981-09-01,1339500
1981-10-01,1326400
1981-11-01,1317700
1981-12-01,1307700
1982-01-01,1302400
1982-02-01,1291500
1982-03-01,1283700
1982-04-01,1283900
1982-05-01,1258700
1982-06-01,1247300
1982-07-01,1228500
1982-08-01,1221300
1982-09-01,1221600
1982-10-01,1220000
1982-11-01,1219300
1982-12-01,1223700
1983-01-01,1227100
1983-02-01,1221700
1983-03-01,1220800
1983-04-01,1213800
1983-05-01,1205900
1983-06-01,1225100
1983-07-01,1229500
1983-08-01,1241400
1983-09-01,1232100
1983-10-01,1232600
1983-11-01,1225600
1983-12-01,1228200
1984-01-01,1220500
1984-02-01,1228000
1984-03-01,1222400
1984-04-01,1224200
1984-05-01,1227800
1984-06-01,1227400
1984-07-01,1223800
1984-08-01,1218500
1984-09-01,1217600
1984-10-01,1214600
1984-11-01,1222400
1984-12-01,1218800
1985-01-01,1219000
1985-02-01,1219000
1985-03-01,1223700
1985-04-01,1220400
1985-05-01,1220500
1985-06-01,1222100
1985-07-01,1226400
1985-08-01,1236500
1985-09-01,1240200
1985-10-01,1253100
1985-11-01,1247500
1985-12-01,1246000
1986-01-01,1240900
1986-02-01,1232700
1986-03-01,1221500
1986-04-01,1248500
1986-05-01,1237500
1986-06-01,1284200
1986-07-01,1266500
1986-08-01,1252800
1986-09-01,1234600
1986-10-01,1220700
1986-11-01,1215200
1986-12-01,1206900
1987-01-01,1219400
1987-02-01,1225900
1987-03-01,1224700
1987-04-01,1229200
1987-05-01,1229900
1987-06-01,1228400
1987-07-01,1229400
1987-08-01,1233300
1987-09-01,1232100
1987-10-01,1236900
1987-11-01,1236400
1987-12-01,1241100
1988-01-01,1233400
1988-02-01,1227600
1988-03-01,1225900
1988-04-01,1226800
1988-05-01,1230300
1988-06-01,1219800
