"Date","LFEM24MACAM647N"
1976-01-01,1215800
1976-02-01,1224500
1976-03-01,1251200
1976-04-01,1277600
1976-05-01,1376200
1976-06-01,1506600
1976-07-01,1636300
1976-08-01,1620000
1976-09-01,1367200
1976-10-01,1355300
1976-11-01,1334700
1976-12-01,1311200
1977-01-01,1255500
1977-02-01,1255700
1977-03-01,1274800
1977-04-01,1296700
1977-05-01,1429400
1977-06-01,1519000
1977-07-01,1643700
1977-08-01,1642800
1977-09-01,1363500
1977-10-01,1362700
1977-11-01,1331800
1977-12-01,1300400
1978-01-01,1231700
1978-02-01,1254700
1978-03-01,1285900
1978-04-01,1296400
1978-05-01,1446000
1978-06-01,1552600
1978-07-01,1704400
1978-08-01,1697100
1978-09-01,1409500
1978-10-01,1423100
1978-11-01,1394900
1978-12-01,1366200
1979-01-01,1312700
1979-02-01,1309900
1979-03-01,1345700
1979-04-01,1379400
1979-05-01,1521800
1979-06-01,1632000
1979-07-01,1786800
1979-08-01,1782600
1979-09-01,1503700
1979-10-01,1497600
1979-11-01,1468900
1979-12-01,1439400
1980-01-01,1377100
1980-02-01,1384600
1980-03-01,1390700
1980-04-01,1413000
1980-05-01,1514900
1980-06-01,1662300
1980-07-01,1770500
1980-08-01,1770600
1980-09-01,1510300
1980-10-01,1501400
1980-11-01,1475400
1980-12-01,1438100
1981-01-01,1392700
1981-02-01,1406300
1981-03-01,1412900
1981-04-01,1441000
1981-05-01,1560600
1981-06-01,1694900
1981-07-01,1813000
1981-08-01,1797700
1981-09-01,1490000
1981-10-01,1459600
1981-11-01,1414200
1981-12-01,1372200
1982-01-01,1281300
1982-02-01,1281300
1982-03-01,1277100
1982-04-01,1272500
1982-05-01,1365600
1982-06-01,1461300
1982-07-01,1556200
1982-08-01,1510100
1982-09-01,1277400
1982-10-01,1262500
1982-11-01,1226100
1982-12-01,1190400
1983-01-01,1136900
1983-02-01,1144800
1983-03-01,1154700
1983-04-01,1162300
1983-05-01,1304200
1983-06-01,1421900
1983-07-01,1553200
1983-08-01,1532800
1983-09-01,1309800
1983-10-01,1283700
1983-11-01,1249100
1983-12-01,1219200
1984-01-01,1159000
1984-02-01,1175100
1984-03-01,1186700
1984-04-01,1203200
1984-05-01,1335900
1984-06-01,1457800
1984-07-01,1601600
1984-08-01,1560900
1984-09-01,1309000
1984-10-01,1303200
1984-11-01,1249200
1984-12-01,1240500
1985-01-01,1188900
1985-02-01,1191400
1985-03-01,1209700
1985-04-01,1230500
1985-05-01,1367700
1985-06-01,1464900
1985-07-01,1598700
1985-08-01,1581800
1985-09-01,1297000
1985-10-01,1290800
1985-11-01,1267600
1985-12-01,1249800
1986-01-01,1199500
1986-02-01,1195100
1986-03-01,1220800
1986-04-01,1274300
1986-05-01,1380600
1986-06-01,1502300
1986-07-01,1597300
1986-08-01,1576900
1986-09-01,1311000
1986-10-01,1313000
1986-11-01,1288000
1986-12-01,1254200
1987-01-01,1198400
1987-02-01,1204800
1987-03-01,1209500
1987-04-01,1242000
1987-05-01,1367400
1987-06-01,1499200
1987-07-01,1599600
1987-08-01,1579200
1987-09-01,1323100
1987-10-01,1328000
1987-11-01,1294300
1987-12-01,1280700
1988-01-01,1228100
1988-02-01,1236900
1988-03-01,1247600
1988-04-01,1246900
1988-05-01,1387600
1988-06-01,1466600
1988-07-01,1586800
1988-08-01,1552900
1988-09-01,1287100
1988-10-01,1277200
1988-11-01,1257100
1988-12-01,1234200
1989-01-01,1204000
1989-02-01,1201800
1989-03-01,1223400
1989-04-01,1218900
1989-05-01,1361000
1989-06-01,1438200
1989-07-01,1565100
1989-08-01,1544800
1989-09-01,1282300
1989-10-01,1265700
1989-11-01,1241500
1989-12-01,1218300
1990-01-01,1173400
1990-02-01,1173900
1990-03-01,1199000
1990-04-01,1194100
1990-05-01,1292900
1990-06-01,1374500
1990-07-01,1475900
1990-08-01,1442600
1990-09-01,1206000
1990-10-01,1191400
1990-11-01,1149400
1990-12-01,1120600
1991-01-01,1045400
1991-02-01,1035900
1991-03-01,1041100
1991-04-01,1052800
1991-05-01,1160800
1991-06-01,1239400
1991-07-01,1347100
1991-08-01,1331200
1991-09-01,1106600
1991-10-01,1106900
1991-11-01,1065400
1991-12-01,1053700
1992-01-01,996400
1992-02-01,980900
1992-03-01,997100
1992-04-01,995800
1992-05-01,1098800
1992-06-01,1189200
1992-07-01,1279600
1992-08-01,1260700
1992-09-01,1059700
1992-10-01,1050200
1992-11-01,1010700
1992-12-01,1001700
1993-01-01,955400
1993-02-01,965400
1993-03-01,972100
1993-04-01,972500
1993-05-01,1073200
1993-06-01,1165200
1993-07-01,1266900
1993-08-01,1246500
1993-09-01,1046500
1993-10-01,1024400
1993-11-01,1002000
1993-12-01,1000300
1994-01-01,936400
1994-02-01,951300
1994-03-01,962600
1994-04-01,960300
1994-05-01,1103000
1994-06-01,1188200
1994-07-01,1291800
1994-08-01,1276500
1994-09-01,1074600
1994-10-01,1051300
1994-11-01,1052700
1994-12-01,1016000
1995-01-01,985600
1995-02-01,993200
1995-03-01,1005300
1995-04-01,994400
1995-05-01,1115100
1995-06-01,1201000
1995-07-01,1282700
1995-08-01,1267000
1995-09-01,1033100
1995-10-01,1045900
1995-11-01,1010300
1995-12-01,1019100
1996-01-01,956300
1996-02-01,971600
1996-03-01,975100
1996-04-01,992700
1996-05-01,1090700
1996-06-01,1171100
1996-07-01,1275100
