"Date","LFEM24TTCAM647N"
1976-01-01,2290200
1976-02-01,2306700
1976-03-01,2353800
1976-04-01,2385800
1976-05-01,2540600
1976-06-01,2740600
1976-07-01,2957800
1976-08-01,2927300
1976-09-01,2499300
1976-10-01,2485100
1976-11-01,2463200
1976-12-01,2452600
1977-01-01,2361700
1977-02-01,2365000
1977-03-01,2395900
1977-04-01,2421600
1977-05-01,2610100
1977-06-01,2754400
1977-07-01,2989100
1977-08-01,2966400
1977-09-01,2514100
1977-10-01,2520400
1977-11-01,2492000
1977-12-01,2464700
1978-01-01,2355600
1978-02-01,2395300
1978-03-01,2438900
1978-04-01,2451600
1978-05-01,2641400
1978-06-01,2814400
1978-07-01,3083300
1978-08-01,3058100
1978-09-01,2596700
1978-10-01,2629700
1978-11-01,2594200
1978-12-01,2569900
1979-01-01,2475600
1979-02-01,2490800
1979-03-01,2553000
1979-04-01,2584800
1979-05-01,2783800
1979-06-01,2953800
1979-07-01,3229400
1979-08-01,3219900
1979-09-01,2761800
1979-10-01,2782200
1979-11-01,2744100
1979-12-01,2720100
1980-01-01,2611900
1980-02-01,2619600
1980-03-01,2651000
1980-04-01,2677700
1980-05-01,2822000
1980-06-01,3061700
1980-07-01,3250700
1980-08-01,3240500
1980-09-01,2806500
1980-10-01,2796100
1980-11-01,2767800
1980-12-01,2729200
1981-01-01,2654800
1981-02-01,2683800
1981-03-01,2692100
1981-04-01,2729200
1981-05-01,2926600
1981-06-01,3154900
1981-07-01,3348200
1981-08-01,3308600
1981-09-01,2786900
1981-10-01,2753200
1981-11-01,2694300
1981-12-01,2647400
1982-01-01,2505900
1982-02-01,2503900
1982-03-01,2507500
1982-04-01,2502900
1982-05-01,2627100
1982-06-01,2785400
1982-07-01,2954100
1982-08-01,2864800
1982-09-01,2454200
1982-10-01,2447600
1982-11-01,2406200
1982-12-01,2381900
1983-01-01,2284000
1983-02-01,2299300
1983-03-01,2322400
1983-04-01,2321600
1983-05-01,2522500
1983-06-01,2721300
1983-07-01,2952800
1983-08-01,2912500
1983-09-01,2494900
1983-10-01,2479400
1983-11-01,2434100
1983-12-01,2415700
1984-01-01,2297600
1984-02-01,2337500
1984-03-01,2357100
1984-04-01,2371100
1984-05-01,2575400
1984-06-01,2751700
1984-07-01,2999300
1984-08-01,2927700
1984-09-01,2477600
1984-10-01,2479300
1984-11-01,2434000
1984-12-01,2436400
1985-01-01,2333000
1985-02-01,2347300
1985-03-01,2381400
1985-04-01,2394700
1985-05-01,2600100
1985-06-01,2748800
1985-07-01,2999500
1985-08-01,2971800
1985-09-01,2487100
1985-10-01,2504500
1985-11-01,2476700
1985-12-01,2472500
1986-01-01,2364100
1986-02-01,2366200
1986-03-01,2390900
1986-04-01,2467400
1986-05-01,2629400
1986-06-01,2867200
1986-07-01,3038800
1986-08-01,2988000
1986-09-01,2494200
1986-10-01,2494100
1986-11-01,2464000
1986-12-01,2436900
1987-01-01,2340400
1987-02-01,2361200
1987-03-01,2377800
1987-04-01,2416500
1987-05-01,2607400
1987-06-01,2803500
1987-07-01,3004200
1987-08-01,2975200
1987-09-01,2503100
1987-10-01,2525400
1987-11-01,2490400
1987-12-01,2496100
1988-01-01,2383700
1988-02-01,2398200
1988-03-01,2418100
1988-04-01,2419400
1988-05-01,2633400
1988-06-01,2754500
1988-07-01,2987100
1988-08-01,2914100
1988-09-01,2459100
1988-10-01,2467000
1988-11-01,2445300
1988-12-01,2429800
1989-01-01,2377700
1989-02-01,2366800
1989-03-01,2400300
1989-04-01,2390700
1989-05-01,2584900
1989-06-01,2716400
1989-07-01,2952000
1989-08-01,2908900
1989-09-01,2433100
1989-10-01,2424100
1989-11-01,2396500
