"Date","LFEM24TTCAM647S"
1976-01-01,2499600
1976-02-01,2509100
1976-03-01,2523200
1976-04-01,2535900
1976-05-01,2539500
1976-06-01,2547600
1976-07-01,2534400
1976-08-01,2546300
1976-09-01,2549100
1976-10-01,2538300
1976-11-01,2549700
1976-12-01,2565600
1977-01-01,2581000
1977-02-01,2571900
1977-03-01,2565900
1977-04-01,2575500
1977-05-01,2571300
1977-06-01,2565700
1977-07-01,2565400
1977-08-01,2577200
1977-09-01,2565200
1977-10-01,2571800
1977-11-01,2577900
1977-12-01,2579300
1978-01-01,2574500
1978-02-01,2601800
1978-03-01,2609100
1978-04-01,2608500
1978-05-01,2607900
1978-06-01,2627400
1978-07-01,2650500
1978-08-01,2656200
1978-09-01,2650100
1978-10-01,2680000
1978-11-01,2682200
1978-12-01,2692100
1979-01-01,2707400
1979-02-01,2702900
1979-03-01,2727400
1979-04-01,2731400
1979-05-01,2753500
1979-06-01,2763200
1979-07-01,2780200
1979-08-01,2802100
1979-09-01,2818300
1979-10-01,2839600
1979-11-01,2837300
1979-12-01,2842900
1980-01-01,2835400
1980-02-01,2839500
1980-03-01,2827400
1980-04-01,2835100
1980-05-01,2802400
1980-06-01,2827600
1980-07-01,2803200
1980-08-01,2813900
1980-09-01,2855700
1980-10-01,2851600
1980-11-01,2862100
1980-12-01,2854400
1981-01-01,2888100
1981-02-01,2901300
1981-03-01,2881500
1981-04-01,2895400
1981-05-01,2910400
1981-06-01,2917800
1981-07-01,2891500
1981-08-01,2873500
1981-09-01,2839400
1981-10-01,2808500
1981-11-01,2787700
1981-12-01,2769200
1982-01-01,2731100
1982-02-01,2707800
1982-03-01,2684700
1982-04-01,2663200
1982-05-01,2615200
1982-06-01,2571200
1982-07-01,2534700
1982-08-01,2509600
1982-09-01,2510500
1982-10-01,2501900
1982-11-01,2494300
1982-12-01,2491500
1983-01-01,2497300
1983-02-01,2489200
1983-03-01,2487800
1983-04-01,2478400
1983-05-01,2471700
1983-06-01,2512800
1983-07-01,2530800
1983-08-01,2546900
1983-09-01,2558300
1983-10-01,2536300
1983-11-01,2524600
1983-12-01,2526400
1984-01-01,2516600
1984-02-01,2531800
1984-03-01,2524300
1984-04-01,2520700
1984-05-01,2530500
1984-06-01,2550600
1984-07-01,2564100
1984-08-01,2544000
1984-09-01,2550200
1984-10-01,2544900
1984-11-01,2527800
1984-12-01,2541100
1985-01-01,2542600
1985-02-01,2544500
1985-03-01,2549900
1985-04-01,2547900
1985-05-01,2556100
1985-06-01,2552900
1985-07-01,2563900
1985-08-01,2578800
1985-09-01,2556400
1985-10-01,2571700
1985-11-01,2572600
1985-12-01,2578200
1986-01-01,2575400
1986-02-01,2563200
1986-03-01,2557600
1986-04-01,2623600
1986-05-01,2588400
1986-06-01,2629900
1986-07-01,2603400
1986-08-01,2589200
1986-09-01,2569500
1986-10-01,2563700
1986-11-01,2562200
1986-12-01,2543300
1987-01-01,2551600
1987-02-01,2554300
1987-03-01,2549400
1987-04-01,2569300
1987-05-01,2572100
1987-06-01,2577400
1987-07-01,2570200
1987-08-01,2570900
1987-09-01,2581600
1987-10-01,2595500
1987-11-01,2589000
1987-12-01,2604500
1988-01-01,2598200
1988-02-01,2591500
1988-03-01,2588400
1988-04-01,2576500
1988-05-01,2569100
1988-06-01,2548800
1988-07-01,2558400
1988-08-01,2545700
1988-09-01,2538900
1988-10-01,2532800
1988-11-01,2542500
1988-12-01,2534800
1989-01-01,2575700
1989-02-01,2554500
1989-03-01,2565700
1989-04-01,2549500
1989-05-01,2530100
1989-06-01,2522300
1989-07-01,2529700
1989-08-01,2537400
1989-09-01,2510700
1989-10-01,2492000
1989-11-01,2494300
1989-12-01,2481000
1990-01-01,2480100
1990-02-01,2486800
1990-03-01,2475000
1990-04-01,2447800
1990-05-01,2416400
1990-06-01,2429000
1990-07-01,2397500
1990-08-01,2383900
1990-09-01,2372000
1990-10-01,2349100
1990-11-01,2329300
1990-12-01,2304500
1991-01-01,2277100
1991-02-01,2267800
1991-03-01,2240800
1991-04-01,2235100
1991-05-01,2252400
1991-06-01,2246100
1991-07-01,2235500
1991-08-01,2232400
1991-09-01,2210800
1991-10-01,2224100
1991-11-01,2200700
1991-12-01,2199600
1992-01-01,2181600
1992-02-01,2158800
1992-03-01,2159900
1992-04-01,2143500
1992-05-01,2134000
1992-06-01,2120500
1992-07-01,2112900
1992-08-01,2100800
1992-09-01,2106500
1992-10-01,2113000
1992-11-01,2092300
1992-12-01,2085700
1993-01-01,2093500
1993-02-01,2089200
1993-03-01,2096000
1993-04-01,2076400
1993-05-01,2061900
1993-06-01,2058100
1993-07-01,2065000
1993-08-01,2069500
1993-09-01,2080400
1993-10-01,2059000
1993-11-01,2076500
1993-12-01,2078400
1994-01-01,2063800
1994-02-01,2066600
1994-03-01,2083600
1994-04-01,2056400
1994-05-01,2082800
1994-06-01,2087300
1994-07-01,2099800
1994-08-01,2098600
1994-09-01,2126100
1994-10-01,2085000
1994-11-01,2132200
1994-12-01,2097500
1995-01-01,2128700
1995-02-01,2111900
