"Date","LFEM25MACAM647S"
1976-01-01,3929100
1976-02-01,3944200
1976-03-01,3956300
1976-04-01,3963200
1976-05-01,3965400
1976-06-01,3951400
1976-07-01,3961000
1976-08-01,3964900
1976-09-01,3966400
1976-10-01,3947600
1976-11-01,3967500
1976-12-01,3976500
1977-01-01,3979900
1977-02-01,3983500
1977-03-01,3978700
1977-04-01,3992200
1977-05-01,3995600
1977-06-01,3996400
1977-07-01,4003600
1977-08-01,4013100
1977-09-01,4019900
1977-10-01,4029800
1977-11-01,4038000
1977-12-01,4042600
1978-01-01,4051300
1978-02-01,4059900
1978-03-01,4061800
1978-04-01,4068000
1978-05-01,4068400
1978-06-01,4097700
1978-07-01,4099700
1978-08-01,4103500
1978-09-01,4108800
1978-10-01,4121800
1978-11-01,4127100
1978-12-01,4140200
1979-01-01,4154600
1979-02-01,4154200
1979-03-01,4172700
1979-04-01,4172800
1979-05-01,4195600
1979-06-01,4204800
1979-07-01,4219300
1979-08-01,4221400
1979-09-01,4238600
1979-10-01,4242800
1979-11-01,4249700
1979-12-01,4249800
1980-01-01,4250800
1980-02-01,4255200
1980-03-01,4258900
1980-04-01,4263000
1980-05-01,4258900
1980-06-01,4267700
1980-07-01,4268000
1980-08-01,4285100
1980-09-01,4302800
1980-10-01,4309200
1980-11-01,4337400
1980-12-01,4353200
1981-01-01,4370500
1981-02-01,4386400
1981-03-01,4389500
1981-04-01,4411700
1981-05-01,4397200
1981-06-01,4399700
1981-07-01,4396300
1981-08-01,4401800
1981-09-01,4385200
1981-10-01,4377700
1981-11-01,4382600
1981-12-01,4357500
1982-01-01,4362200
1982-02-01,4353700
1982-03-01,4353600
1982-04-01,4323800
1982-05-01,4321300
1982-06-01,4284500
1982-07-01,4268300
1982-08-01,4237600
1982-09-01,4226600
1982-10-01,4220500
1982-11-01,4201800
1982-12-01,4200800
1983-01-01,4220600
1983-02-01,4231400
1983-03-01,4263800
1983-04-01,4274000
1983-05-01,4291900
1983-06-01,4305500
1983-07-01,4325000
1983-08-01,4345000
1983-09-01,4358000
1983-10-01,4363300
1983-11-01,4369300
1983-12-01,4377000
1984-01-01,4367100
1984-02-01,4370300
1984-03-01,4364300
1984-04-01,4371200
1984-05-01,4386000
1984-06-01,4411500
1984-07-01,4434600
1984-08-01,4436700
1984-09-01,4441700
1984-10-01,4458400
1984-11-01,4463000
1984-12-01,4474200
1985-01-01,4484100
1985-02-01,4499400
1985-03-01,4511900
1985-04-01,4535000
1985-05-01,4557300
1985-06-01,4550600
1985-07-01,4565600
1985-08-01,4571600
1985-09-01,4589400
1985-10-01,4583500
1985-11-01,4617200
1985-12-01,4631400
1986-01-01,4661500
1986-02-01,4672200
