"Date","LFESEETTCAM647S"
1960-01-01,4813000
1960-02-01,4821000
1960-03-01,4830000
1960-04-01,4827000
1960-05-01,4885000
1960-06-01,4850000
1960-07-01,4809000
1960-08-01,4833000
1960-09-01,4845000
1960-10-01,4872000
1960-11-01,4873000
1960-12-01,4858000
1961-01-01,4859000
1961-02-01,4819000
1961-03-01,4827000
1961-04-01,4860000
1961-05-01,4917000
1961-06-01,4884000
1961-07-01,4905000
1961-08-01,4926000
1961-09-01,4964000
1961-10-01,4974000
1961-11-01,4990000
1961-12-01,5005000
1962-01-01,4993000
1962-02-01,4994000
1962-03-01,5053000
1962-04-01,5070000
1962-05-01,5101000
1962-06-01,5152000
1962-07-01,5116000
1962-08-01,5116000
1962-09-01,5101000
1962-10-01,5106000
1962-11-01,5139000
1962-12-01,5130000
1963-01-01,5158000
1963-02-01,5175000
1963-03-01,5158000
1963-04-01,5171000
1963-05-01,5175000
1963-06-01,5211000
1963-07-01,5240000
1963-08-01,5282000
1963-09-01,5302000
1963-10-01,5331000
1963-11-01,5332000
1963-12-01,5360000
1964-01-01,5360000
1964-02-01,5366000
1964-03-01,5438000
1964-04-01,5428000
1964-05-01,5434000
1964-06-01,5438000
1964-07-01,5481000
1964-08-01,5487000
1964-09-01,5514000
1964-10-01,5491000
1964-11-01,5572000
1964-12-01,5599000
1965-01-01,5641000
1965-02-01,5658000
1965-03-01,5694000
1965-04-01,5701000
1965-05-01,5731000
1965-06-01,5756000
1965-07-01,5775000
1965-08-01,5794000
1965-09-01,5791000
1965-10-01,5814000
1965-11-01,5857000
1965-12-01,5922000
1966-01-01,5939000
1966-02-01,5982000
1966-03-01,6027000
1966-04-01,6082000
1966-05-01,6048000
1966-06-01,6057000
1966-07-01,6099000
1966-08-01,6148000
1966-09-01,6169000
1966-10-01,6196000
1966-11-01,6198000
1966-12-01,6218000
1967-01-01,6251000
1967-02-01,6266000
1967-03-01,6348000
1967-04-01,6283000
1967-05-01,6293000
1967-06-01,6270000
1967-07-01,6339000
1967-08-01,6333000
1967-09-01,6318000
1967-10-01,6270000
1967-11-01,6337000
1967-12-01,6371000
1968-01-01,6357000
1968-02-01,6390000
1968-03-01,6364000
1968-04-01,6406000
1968-05-01,6386000
1968-06-01,6517000
1968-07-01,6491000
1968-08-01,6524000
1968-09-01,6588000
1968-10-01,6593000
1968-11-01,6636000
1968-12-01,6622000
1969-01-01,6684000
1969-02-01,6682000
1969-03-01,6731000
1969-04-01,6749000
1969-05-01,6732000
1969-06-01,6707000
1969-07-01,6708000
1969-08-01,6722000
1969-09-01,6716000
1969-10-01,6707000
1969-11-01,6730000
1969-12-01,6791000
1970-01-01,6905000
1970-02-01,6910000
1970-03-01,6940000
1970-04-01,6979000
1970-05-01,7012000
1970-06-01,7017000
1970-07-01,6988000
1970-08-01,7016000
1970-09-01,7059000
1970-10-01,7062000
1970-11-01,7085000
1970-12-01,7058000
1971-01-01,7093000
1971-02-01,7093000
1971-03-01,7066000
1971-04-01,7013000
1971-05-01,7125000
1971-06-01,7157000
1971-07-01,7194000
1971-08-01,7206000
1971-09-01,7260000
1971-10-01,7320000
1971-11-01,7285000
1971-12-01,7346000
1972-01-01,7341000
1972-02-01,7354000
1972-03-01,7433000
1972-04-01,7390000
1972-05-01,7406000
1972-06-01,7418000
1972-07-01,7468000
1972-08-01,7473000
1972-09-01,7472000
1972-10-01,7483000
1972-11-01,7564000
1972-12-01,7604000
1973-01-01,7637000
1973-02-01,7735000
1973-03-01,7812000
1973-04-01,7856000
1973-05-01,7866000
1973-06-01,7961000
1973-07-01,7870000
1973-08-01,7917000
1973-09-01,7911000
1973-10-01,7998000
1973-11-01,8028000
1973-12-01,8068000
1974-01-01,8109000
1974-02-01,8114000
1974-03-01,8128000
1974-04-01,8199000
1974-05-01,8169000
1974-06-01,8195000
1974-07-01,8245000
1974-08-01,8310000
1974-09-01,8264000
1974-10-01,8282000
1974-11-01,8317000
1974-12-01,8346000
1975-01-01,8289000
1975-02-01,8301000
1975-03-01,8282000
1975-04-01,8328000
1975-05-01,8356000
1975-06-01,8398000
1975-07-01,8376000
1975-08-01,8344000
1975-09-01,8390000
1975-10-01,8441000
1975-11-01,8479000
1975-12-01,8511000
1976-01-01,8466400
1976-02-01,8498500
1976-03-01,8537600
1976-04-01,8558400
1976-05-01,8545100
1976-06-01,8561200
1976-07-01,8547600
1976-08-01,8580700
1976-09-01,8601700
1976-10-01,8595900
1976-11-01,8638100
1976-12-01,8672900
1977-01-01,8675600
1977-02-01,8674300
1977-03-01,8661000
1977-04-01,8683900
1977-05-01,8704100
1977-06-01,8692300
1977-07-01,8700100
1977-08-01,8729300
1977-09-01,8718600
1977-10-01,8742100
1977-11-01,8757500
1977-12-01,8787700
1978-01-01,8801000
1978-02-01,8840900
1978-03-01,8871000
1978-04-01,8901700
1978-05-01,8898000
1978-06-01,8942100
1978-07-01,8964500
1978-08-01,8997800
1978-09-01,9022800
1978-10-01,9067600
1978-11-01,9100800
1978-12-01,9134900
1979-01-01,9181200
1979-02-01,9189900
1979-03-01,9226800
1979-04-01,9254300
1979-05-01,9294500
1979-06-01,9328500
1979-07-01,9380200
1979-08-01,9409900
1979-09-01,9423100
1979-10-01,9465900
1979-11-01,9492700
1979-12-01,9491800
1980-01-01,9515400
1980-02-01,9547900
1980-03-01,9547500
1980-04-01,9576600
1980-05-01,9546900
1980-06-01,9588900
1980-07-01,9578300
1980-08-01,9603000
1980-09-01,9679000
1980-10-01,9714400
1980-11-01,9741300
1980-12-01,9748700
1981-01-01,9810300
1981-02-01,9880800
1981-03-01,9873900
1981-04-01,9908600
1981-05-01,9921300
1981-06-01,9958600
1981-07-01,9926200
1981-08-01,9924700
1981-09-01,9864200
1981-10-01,9841600
1981-11-01,9839800
1981-12-01,9787500
1982-01-01,9747700
1982-02-01,9714200
1982-03-01,9671400
1982-04-01,9602400
1982-05-01,9532400
1982-06-01,9457900
1982-07-01,9399200
1982-08-01,9351700
1982-09-01,9310100
1982-10-01,9292600
1982-11-01,9265600
1982-12-01,9260600
