"Date","LFHU24FECAM647N"
1976-01-01,141800
1976-02-01,147000
1976-03-01,143500
1976-04-01,134800
1976-05-01,147000
1976-06-01,164200
1976-07-01,185300
1976-08-01,159300
1976-09-01,153700
1976-10-01,147400
1976-11-01,156100
1976-12-01,150400
1977-01-01,156800
1977-02-01,176400
1977-03-01,170000
1977-04-01,170100
1977-05-01,174200
1977-06-01,185100
1977-07-01,214000
1977-08-01,188200
1977-09-01,178500
1977-10-01,177300
1977-11-01,169700
1977-12-01,155200
1978-01-01,169300
1978-02-01,174500
1978-03-01,183500
1978-04-01,167700
1978-05-01,194700
1978-06-01,208400
1978-07-01,216500
1978-08-01,194500
1978-09-01,188500
1978-10-01,174300
1978-11-01,184200
1978-12-01,177400
1979-01-01,186700
1979-02-01,185000
1979-03-01,181100
1979-04-01,178500
1979-05-01,180300
1979-06-01,204500
1979-07-01,200700
1979-08-01,187400
1979-09-01,171200
1979-10-01,168900
1979-11-01,168800
1979-12-01,152800
1980-01-01,181300
1980-02-01,175900
1980-03-01,182400
1980-04-01,174200
1980-05-01,190100
1980-06-01,216900
1980-07-01,212200
1980-08-01,191200
1980-09-01,174700
1980-10-01,178900
1980-11-01,160800
1980-12-01,154400
1981-01-01,171500
1981-02-01,172900
1981-03-01,185900
1981-04-01,163800
1981-05-01,180700
1981-06-01,197300
1981-07-01,186900
1981-08-01,169600
1981-09-01,183100
1981-10-01,176000
1981-11-01,182700
1981-12-01,165600
1982-01-01,188200
1982-02-01,188000
1982-03-01,208400
1982-04-01,196200
1982-05-01,221900
1982-06-01,252500
1982-07-01,282400
1982-08-01,256500
1982-09-01,239300
1982-10-01,246600
1982-11-01,239700
1982-12-01,228100
1983-01-01,243900
1983-02-01,241000
1983-03-01,256400
1983-04-01,235500
1983-05-01,262300
1983-06-01,270000
1983-07-01,264800
1983-08-01,239500
1983-09-01,230300
1983-10-01,222400
1983-11-01,211600
1983-12-01,201000
1984-01-01,215900
1984-02-01,220500
1984-03-01,222400
1984-04-01,211900
1984-05-01,242600
1984-06-01,236300
1984-07-01,240600
1984-08-01,224100
1984-09-01,235900
1984-10-01,220900
1984-11-01,211300
1984-12-01,189600
1985-01-01,193200
1985-02-01,202100
1985-03-01,205800
1985-04-01,204400
1985-05-01,212800
1985-06-01,228100
1985-07-01,222600
1985-08-01,199900
1985-09-01,200900
1985-10-01,190400
1985-11-01,185200
1985-12-01,163900
1986-01-01,199100
1986-02-01,198500
1986-03-01,204900
1986-04-01,186000
1986-05-01,204700
1986-06-01,203300
1986-07-01,201900
1986-08-01,178500
1986-09-01,179900
1986-10-01,174500
1986-11-01,168800
1986-12-01,154700
1987-01-01,173100
1987-02-01,176200
1987-03-01,185200
1987-04-01,157600
1987-05-01,182700
1987-06-01,196600
1987-07-01,191600
1987-08-01,167100
1987-09-01,145800
1987-10-01,150500
1987-11-01,154100
1987-12-01,124300
1988-01-01,142600
1988-02-01,136400
1988-03-01,150400
1988-04-01,129800
1988-05-01,161500
1988-06-01,151100
1988-07-01,178700
1988-08-01,156700
1988-09-01,141800
1988-10-01,132700
1988-11-01,129100
1988-12-01,112200
1989-01-01,135500
1989-02-01,129200
1989-03-01,122000
1989-04-01,116100
1989-05-01,147400
1989-06-01,148300
1989-07-01,151300
1989-08-01,137400
1989-09-01,116500
1989-10-01,120000
1989-11-01,114300
1989-12-01,104900
1990-01-01,127400
1990-02-01,127800
1990-03-01,129400
1990-04-01,129500
1990-05-01,155100
1990-06-01,152100
1990-07-01,174100
1990-08-01,149100
1990-09-01,143700
1990-10-01,152200
1990-11-01,146100
1990-12-01,132700
1991-01-01,157700
1991-02-01,147300
1991-03-01,167200
1991-04-01,156000
1991-05-01,186100
1991-06-01,190800
1991-07-01,203300
1991-08-01,169400
1991-09-01,154800
1991-10-01,150200
1991-11-01,151400
1991-12-01,125900
1992-01-01,162400
1992-02-01,162100
1992-03-01,171100
1992-04-01,161300
1992-05-01,192200
1992-06-01,204700
1992-07-01,225500
1992-08-01,202800
1992-09-01,179600
1992-10-01,153500
1992-11-01,169200
1992-12-01,150600
1993-01-01,152600
1993-02-01,146700
1993-03-01,168300
1993-04-01,161300
1993-05-01,194600
1993-06-01,199800
1993-07-01,217100
1993-08-01,190800
1993-09-01,159300
1993-10-01,156800
1993-11-01,162700
1993-12-01,141700
1994-01-01,173100
1994-02-01,162700
1994-03-01,155200
1994-04-01,157200
1994-05-01,184500
1994-06-01,181800
1994-07-01,194200
1994-08-01,167000
1994-09-01,143500
1994-10-01,152800
1994-11-01,139000
1994-12-01,124700
1995-01-01,145100
1995-02-01,142900
1995-03-01,152600
1995-04-01,140300
1995-05-01,171000
1995-06-01,174900
1995-07-01,208900
1995-08-01,167000
1995-09-01,147900
1995-10-01,135700
1995-11-01,141300
1995-12-01,126700
1996-01-01,150300
1996-02-01,146900
1996-03-01,138200
1996-04-01,134500
1996-05-01,161600
1996-06-01,189800
1996-07-01,211100
1996-08-01,177600
1996-09-01,171200
1996-10-01,154900
1996-11-01,154800
1996-12-01,125000
1997-01-01,157600
1997-02-01,159200
1997-03-01,158600
1997-04-01,159300
1997-05-01,194900
1997-06-01,228600
1997-07-01,229500
1997-08-01,197800
1997-09-01,176600
1997-10-01,157600
1997-11-01,156000
1997-12-01,121700
1998-01-01,162300
1998-02-01,149900
1998-03-01,152300
1998-04-01,145600
1998-05-01,194400
1998-06-01,193300
1998-07-01,195000
1998-08-01,162800
1998-09-01,154200
1998-10-01,138300
1998-11-01,139000
1998-12-01,120500
1999-01-01,138000
1999-02-01,138400
1999-03-01,139400
1999-04-01,160600
1999-05-01,191800
1999-06-01,181800
1999-07-01,201000
1999-08-01,156300
1999-09-01,155300
1999-10-01,142400
1999-11-01,129900
1999-12-01,104900
2000-01-01,120500
2000-02-01,132400
2000-03-01,137900
2000-04-01,132700
2000-05-01,165100
2000-06-01,150700
2000-07-01,187700
2000-08-01,162800
2000-09-01,145600
2000-10-01,132900
2000-11-01,130800
2000-12-01,108800
2001-01-01,127600
2001-02-01,129800
2001-03-01,121800
2001-04-01,136000
2001-05-01,151400
2001-06-01,152800
2001-07-01,179400
2001-08-01,154300
2001-09-01,151300
2001-10-01,127400
2001-11-01,143400
2001-12-01,120300
2002-01-01,135500
2002-02-01,140500
2002-03-01,140200
2002-04-01,142800
2002-05-01,194100
2002-06-01,167300
2002-07-01,204000
2002-08-01,178300
2002-09-01,162600
2002-10-01,148300
2002-11-01,139300
2002-12-01,113900
2003-01-01,143200
2003-02-01,136800
2003-03-01,133800
2003-04-01,155800
2003-05-01,191100
2003-06-01,169200
2003-07-01,213000
2003-08-01,192200
2003-09-01,184000
2003-10-01,153600
2003-11-01,140700
2003-12-01,119300
2004-01-01,149800
2004-02-01,156100
2004-03-01,153600
2004-04-01,163600
2004-05-01,194900
2004-06-01,166300
2004-07-01,204900
2004-08-01,180400
2004-09-01,163600
2004-10-01,153100
2004-11-01,144500
2004-12-01,114900
2005-01-01,140600
2005-02-01,125400
2005-03-01,130500
2005-04-01,136600
2005-05-01,185300
2005-06-01,151900
2005-07-01,181000
2005-08-01,156000
2005-09-01,156100
2005-10-01,150600
2005-11-01,124600
2005-12-01,117500
2006-01-01,138800
2006-02-01,135400
2006-03-01,138400
2006-04-01,142200
2006-05-01,170900
2006-06-01,141800
2006-07-01,194900
2006-08-01,169800
2006-09-01,160300
2006-10-01,136900
2006-11-01,132400
2006-12-01,107300
2007-01-01,133400
2007-02-01,122400
2007-03-01,121900
2007-04-01,134600
2007-05-01,174200
2007-06-01,151500
2007-07-01,172800
2007-08-01,150100
2007-09-01,161300
2007-10-01,138000
2007-11-01,138700
2007-12-01,115900
2008-01-01,142300
2008-02-01,137500
2008-03-01,120800
2008-04-01,140300
2008-05-01,167700
2008-06-01,147500
2008-07-01,165100
2008-08-01,146000
2008-09-01,145600
2008-10-01,147800
2008-11-01,144200
2008-12-01,128900
2009-01-01,141600
2009-02-01,146600
2009-03-01,152000
2009-04-01,157600
2009-05-01,210200
2009-06-01,187000
2009-07-01,236800
2009-08-01,210900
2009-09-01,175600
2009-10-01,162200
2009-11-01,169500
2009-12-01,144500
2010-01-01,165700
2010-02-01,150600
2010-03-01,160900
2010-04-01,174500
2010-05-01,221200
2010-06-01,187300
2010-07-01,202900
2010-08-01,201300
2010-09-01,195200
2010-10-01,172000
2010-11-01,144200
2010-12-01,126700
2011-01-01,160000
2011-02-01,150200
2011-03-01,159400
2011-04-01,175400
2011-05-01,215700
2011-06-01,186600
2011-07-01,219400
2011-08-01,187400
2011-09-01,180000
2011-10-01,163300
2011-11-01,156200
2011-12-01,128100
2012-01-01,163000
2012-02-01,158500
2012-03-01,156700
2012-04-01,163300
2012-05-01,210800
2012-06-01,200100
2012-07-01,207700
2012-08-01,217400
2012-09-01,186000
2012-10-01,158400
2012-11-01,155800
2012-12-01,128100
2013-01-01,147600
2013-02-01,152400
2013-03-01,158700
2013-04-01,165600
2013-05-01,195300
2013-06-01,184900
2013-07-01,203700
2013-08-01,189000
2013-09-01,155300
2013-10-01,157300
2013-11-01,139100
2013-12-01,125000
2014-01-01,149300
2014-02-01,153000
2014-03-01,140600
2014-04-01,156000
2014-05-01,202900
2014-06-01,180100
2014-07-01,185800
2014-08-01,185100
2014-09-01,168900
2014-10-01,142200
