"Date","LFHUADMACAM647S"
1976-01-01,213600
1976-02-01,215500
1976-03-01,199500
1976-04-01,203500
1976-05-01,200700
1976-06-01,203600
1976-07-01,214900
1976-08-01,207000
1976-09-01,207400
1976-10-01,244200
1976-11-01,234600
1976-12-01,237900
1977-01-01,239200
1977-02-01,253300
1977-03-01,259200
1977-04-01,254300
1977-05-01,252100
1977-06-01,250300
1977-07-01,251200
1977-08-01,251100
1977-09-01,258200
1977-10-01,256400
1977-11-01,265600
1977-12-01,275700
1978-01-01,266100
1978-02-01,274300
1978-03-01,285900
1978-04-01,282300
1978-05-01,284300
1978-06-01,280600
1978-07-01,270200
1978-08-01,282300
1978-09-01,280700
1978-10-01,280100
1978-11-01,278700
1978-12-01,271600
1979-01-01,277300
1979-02-01,264100
1979-03-01,268800
1979-04-01,265200
1979-05-01,253500
1979-06-01,244100
1979-07-01,233400
1979-08-01,237200
1979-09-01,230100
1979-10-01,232000
1979-11-01,238600
1979-12-01,247200
1980-01-01,258800
1980-02-01,275200
1980-03-01,263200
1980-04-01,270100
1980-05-01,276100
1980-06-01,260900
1980-07-01,266600
1980-08-01,267400
1980-09-01,260500
1980-10-01,262900
1980-11-01,261800
1980-12-01,260900
1981-01-01,264900
1981-02-01,269400
1981-03-01,267900
1981-04-01,259300
1981-05-01,265400
1981-06-01,265500
1981-07-01,265400
1981-08-01,258800
1981-09-01,293100
1981-10-01,304600
1981-11-01,292400
1981-12-01,346000
1982-01-01,338900
1982-02-01,350000
1982-03-01,370300
1982-04-01,395700
1982-05-01,423900
1982-06-01,473300
1982-07-01,502300
1982-08-01,524300
1982-09-01,562700
1982-10-01,594800
1982-11-01,596300
1982-12-01,595100
1983-01-01,566900
1983-02-01,565000
1983-03-01,550200
1983-04-01,548400
1983-05-01,563700
1983-06-01,578400
1983-07-01,550800
1983-08-01,530000
1983-09-01,520600
1983-10-01,513100
1983-11-01,508300
1983-12-01,511300
1984-01-01,508500
1984-02-01,511100
1984-03-01,519200
1984-04-01,527200
1984-05-01,544700
1984-06-01,527600
1984-07-01,516700
1984-08-01,540100
1984-09-01,577700
1984-10-01,542000
1984-11-01,538800
1984-12-01,531100
1985-01-01,526900
1985-02-01,522900
1985-03-01,527400
1985-04-01,512200
1985-05-01,502800
1985-06-01,500800
1985-07-01,498400
1985-08-01,497200
1985-09-01,472300
1985-10-01,503300
1985-11-01,481500
1985-12-01,475600
1986-01-01,464800
1986-02-01,456300
1986-03-01,462200
1986-04-01,461900
1986-05-01,457800
1986-06-01,467600
1986-07-01,462100
1986-08-01,474200
1986-09-01,472400
1986-10-01,460600
1986-11-01,466500
1986-12-01,471000
1987-01-01,465400
1987-02-01,459400
1987-03-01,446500
1987-04-01,445400
1987-05-01,432300
1987-06-01,435500
1987-07-01,422200
1987-08-01,423100
1987-09-01,419200
1987-10-01,404000
1987-11-01,394000
1987-12-01,398600
1988-01-01,397000
1988-02-01,393300
1988-03-01,390700
1988-04-01,384900
1988-05-01,385000
1988-06-01,380600
1988-07-01,388200
1988-08-01,377300
1988-09-01,387600
1988-10-01,389600
1988-11-01,383400
1988-12-01,383400
1989-01-01,387000
1989-02-01,392800
1989-03-01,400800
1989-04-01,403100
1989-05-01,399600
1989-06-01,399900
1989-07-01,399400
1989-08-01,387500
1989-09-01,389000
1989-10-01,372700
1989-11-01,397000
1989-12-01,409700
1990-01-01,423700
1990-02-01,412300
1990-03-01,408200
1990-04-01,415900
1990-05-01,425500
1990-06-01,423500
1990-07-01,441000
1990-08-01,452300
1990-09-01,474700
1990-10-01,490700
1990-11-01,522800
1990-12-01,543800
1991-01-01,554300
1991-02-01,586100
1991-03-01,610200
1991-04-01,596700
1991-05-01,596200
1991-06-01,602300
1991-07-01,596500
1991-08-01,615300
1991-09-01,599800
1991-10-01,610300
1991-11-01,612300
1991-12-01,612000
1992-01-01,623500
1992-02-01,632400
1992-03-01,657800
1992-04-01,650300
1992-05-01,667900
1992-06-01,700300
1992-07-01,694400
1992-08-01,723000
1992-09-01,734400
1992-10-01,729600
1992-11-01,753300
1992-12-01,709700
1993-01-01,679800
1993-02-01,664100
1993-03-01,668400
1993-04-01,680700
1993-05-01,694700
1993-06-01,701100
1993-07-01,704400
1993-08-01,689500
1993-09-01,731500
1993-10-01,689800
1993-11-01,685400
1993-12-01,696800
1994-01-01,703800
1994-02-01,677400
1994-03-01,641200
1994-04-01,671000
1994-05-01,638400
1994-06-01,628900
1994-07-01,616900
1994-08-01,617700
1994-09-01,640400
1994-10-01,596900
1994-11-01,607900
1994-12-01,597500
1995-01-01,588300
1995-02-01,583000
1995-03-01,594600
1995-04-01,579100
1995-05-01,593300
1995-06-01,580200
1995-07-01,588700
1995-08-01,577700
1995-09-01,546100
1995-10-01,563700
1995-11-01,552300
1995-12-01,564600
1996-01-01,580800
1996-02-01,579100
1996-03-01,582300
1996-04-01,574000
1996-05-01,570500
1996-06-01,595800
1996-07-01,600200
1996-08-01,576500
1996-09-01,597000
1996-10-01,604900
1996-11-01,592300
1996-12-01,596500
1997-01-01,568500
1997-02-01,587800
1997-03-01,565900
1997-04-01,578200
1997-05-01,567900
1997-06-01,523400
1997-07-01,523900
1997-08-01,526900
1997-09-01,529200
1997-10-01,519500
1997-11-01,516000
1997-12-01,496200
1998-01-01,510200
1998-02-01,502800
1998-03-01,489700
1998-04-01,488600
1998-05-01,500900
1998-06-01,492700
1998-07-01,507400
1998-08-01,486200
1998-09-01,493000
1998-10-01,501000
1998-11-01,495800
1998-12-01,499800
1999-01-01,471300
1999-02-01,476700
1999-03-01,476100
1999-04-01,485200
1999-05-01,463600
1999-06-01,458900
1999-07-01,451500
1999-08-01,463000
1999-09-01,458900
1999-10-01,438500
1999-11-01,420500
1999-12-01,397200
2000-01-01,409700
2000-02-01,399900
2000-03-01,400100
2000-04-01,397400
2000-05-01,393000
2000-06-01,413900
2000-07-01,394100
2000-08-01,418300
2000-09-01,412000
2000-10-01,405300
2000-11-01,421300
2000-12-01,405400
2001-01-01,424500
2001-02-01,425800
2001-03-01,444400
2001-04-01,445500
2001-05-01,447600
2001-06-01,456500
2001-07-01,427700
2001-08-01,449000
2001-09-01,449600
2001-10-01,460600
2001-11-01,470900
2001-12-01,542200
2002-01-01,547900
2002-02-01,525400
2002-03-01,506200
2002-04-01,497300
2002-05-01,504800
2002-06-01,481700
2002-07-01,497600
2002-08-01,476200
2002-09-01,494800
2002-10-01,488900
2002-11-01,473600
2002-12-01,499800
2003-01-01,480400
2003-02-01,487100
2003-03-01,481700
2003-04-01,489000
2003-05-01,509700
2003-06-01,501300
2003-07-01,512500
2003-08-01,534200
2003-09-01,513400
2003-10-01,502500
2003-11-01,484800
2003-12-01,464700
2004-01-01,467000
2004-02-01,478900
2004-03-01,483100
2004-04-01,471700
2004-05-01,456300
2004-06-01,483000
2004-07-01,446500
2004-08-01,431000
2004-09-01,443600
2004-10-01,444400
2004-11-01,462800
2004-12-01,474000
2005-01-01,453000
2005-02-01,455700
2005-03-01,451000
2005-04-01,458000
2005-05-01,452600
2005-06-01,433100
2005-07-01,439900
2005-08-01,444400
2005-09-01,430700
2005-10-01,431800
2005-11-01,432500
2005-12-01,423000
2006-01-01,448700
2006-02-01,444100
2006-03-01,431700
2006-04-01,421200
2006-05-01,424100
2006-06-01,414500
2006-07-01,437200
2006-08-01,438300
2006-09-01,450400
2006-10-01,438000
2006-11-01,453900
2006-12-01,449000
2007-01-01,436500
2007-02-01,439200
2007-03-01,439100
2007-04-01,441500
2007-05-01,430400
2007-06-01,432200
2007-07-01,413000
2007-08-01,415600
2007-09-01,401700
2007-10-01,428700
2007-11-01,422100
2007-12-01,438200
2008-01-01,437000
2008-02-01,421900
2008-03-01,443300
2008-04-01,434100
2008-05-01,423300
2008-06-01,441900
2008-07-01,449500
2008-08-01,440100
2008-09-01,462000
2008-10-01,465100
2008-11-01,492400
2008-12-01,512100
2009-01-01,577200
2009-02-01,638800
2009-03-01,653700
2009-04-01,668300
2009-05-01,680300
2009-06-01,693900
2009-07-01,687100
2009-08-01,692700
2009-09-01,687700
2009-10-01,673900
2009-11-01,661500
2009-12-01,665400
2010-01-01,640300
2010-02-01,641300
2010-03-01,623000
2010-04-01,614900
2010-05-01,637700
2010-06-01,615600
2010-07-01,631100
2010-08-01,624200
2010-09-01,613400
2010-10-01,587100
