"Date","LFIN24TTCAM647S"
1995-01-01,1409850.61123348
1995-02-01,1425655.05289287
1995-03-01,1413875.32572251
1995-04-01,1423838.36960576
1995-05-01,1423999.61530414
1995-06-01,1424010.08064774
1995-07-01,1418299.23141957
1995-08-01,1445929.02931225
1995-09-01,1468789.56119855
1995-10-01,1445894.03491443
1995-11-01,1481672.37607696
1995-12-01,1452021.44706601
1996-01-01,1467614.15183689
1996-02-01,1441459.37262505
1996-03-01,1465719.1608505
1996-04-01,1464340.36837359
1996-05-01,1471903.14884449
1996-06-01,1484589.12880277
1996-07-01,1493536.63677041
1996-08-01,1493803.9978483
1996-09-01,1489018.81877427
1996-10-01,1492284.39823988
1996-11-01,1483539.42359175
1996-12-01,1505627.51938466
1997-01-01,1485385.83660583
1997-02-01,1497580.52842516
1997-03-01,1518053.82488119
1997-04-01,1524499.38721602
1997-05-01,1543261.96408339
1997-06-01,1483349.85818404
1997-07-01,1546694.70820736
1997-08-01,1510531.18037955
1997-09-01,1525093.5981005
1997-10-01,1529804.4366336
1997-11-01,1529120.6585959
1997-12-01,1545280.7733701
1998-01-01,1538773.90201219
1998-02-01,1547006.20256085
1998-03-01,1546551.56787478
1998-04-01,1530817.51362055
1998-05-01,1540274.1436887
1998-06-01,1513995.39463442
1998-07-01,1529055.91700712
1998-08-01,1508118.1379747
1998-09-01,1496947.31124033
1998-10-01,1511056.21323223
1998-11-01,1488763.0750475
1998-12-01,1480033.22198689
1999-01-01,1470087.68428987
1999-02-01,1479805.14799513
1999-03-01,1477191.2783736
1999-04-01,1450389.40041892
1999-05-01,1461844.50544715
1999-06-01,1472907.83190095
1999-07-01,1463891.49399823
1999-08-01,1515367.85005076
1999-09-01,1453911.7434462
1999-10-01,1457966.8570903
1999-11-01,1470932.79624963
1999-12-01,1459248.4602414
2000-01-01,1478811.54294523
2000-02-01,1464363.33814762
2000-03-01,1461886.26940633
2000-04-01,1458666.85669276
2000-05-01,1455709.36692969
2000-06-01,1484230.76847717
2000-07-01,1461008.50617029
2000-08-01,1449713.12468215
2000-09-01,1419537.1826927
2000-10-01,1410167.54898138
2000-11-01,1427929.59136214
2000-12-01,1411539.32814549
2001-01-01,1437854.6929664
2001-02-01,1443432.80296837
2001-03-01,1444160.64872171
2001-04-01,1430642.8246062
2001-05-01,1464402.10641502
2001-06-01,1486962.40909994
2001-07-01,1478812.36518433
2001-08-01,1474217.83480039
2001-09-01,1456768.33823119
2001-10-01,1463536.36371356
2001-11-01,1448152.89056247
2001-12-01,1446730.77421505
