"Date","LFIN55FECAM647S"
1995-01-01,778856.871498292
1995-02-01,793265.949370608
1995-03-01,795429.014201116
1995-04-01,805388.203179589
1995-05-01,804953.54673296
1995-06-01,795344.829666368
1995-07-01,796127.435860865
1995-08-01,793496.016796782
1995-09-01,790868.33837267
1995-10-01,796381.843097174
1995-11-01,802760.367971692
1995-12-01,808784.320723173
1996-01-01,803881.942924998
1996-02-01,806154.412671458
1996-03-01,807449.545681885
1996-04-01,806442.772048479
1996-05-01,801161.262949023
1996-06-01,792201.070993982
1996-07-01,797243.644661664
1996-08-01,796878.027223227
1996-09-01,807872.710545945
1996-10-01,814380.501243316
1996-11-01,819808.645334604
1996-12-01,828992.891019866
1997-01-01,823359.446186012
1997-02-01,815345.98905615
1997-03-01,812020.877237808
1997-04-01,813812.286402429
1997-05-01,810307.845734358
1997-06-01,812762.152235622
1997-07-01,807865.81550314
1997-08-01,814082.358552633
1997-09-01,818590.66758246
1997-10-01,814964.41103582
1997-11-01,807002.667438084
1997-12-01,810963.865491057
1998-01-01,816368.785095187
1998-02-01,798496.946748532
1998-03-01,801778.712008567
1998-04-01,812635.627706937
1998-05-01,824735.300006264
1998-06-01,811529.390226868
1998-07-01,806702.103314366
1998-08-01,814230.196964426
1998-09-01,806119.830200148
1998-10-01,807654.021701482
1998-11-01,808779.926956391
1998-12-01,817001.147996095
1999-01-01,823868.540334925
1999-02-01,824953.515724731
1999-03-01,820900.505884466
1999-04-01,815506.577997255
1999-05-01,823688.693624521
1999-06-01,836423.015066763
1999-07-01,824990.470771206
1999-08-01,827146.234846488
1999-09-01,826814.082246599
1999-10-01,836845.603465356
1999-11-01,832747.353370496
1999-12-01,819111.67927547
2000-01-01,813406.693731498
2000-02-01,814225.097873425
2000-03-01,829779.696666131
2000-04-01,822781.122816876
2000-05-01,825728.425462669
2000-06-01,829619.49015067
2000-07-01,821141.063936305
2000-08-01,808879.891531785
2000-09-01,828721.643354332
2000-10-01,818245.35760641
2000-11-01,826476.817214956
2000-12-01,832381.355072696
2001-01-01,838229.723951592
2001-02-01,842798.297524689
2001-03-01,835309.924145682
2001-04-01,844210.081425216
2001-05-01,853875.020627194
2001-06-01,847184.608849971
2001-07-01,851327.079967344
2001-08-01,863022.595749966
2001-09-01,859040.627604422
2001-10-01,861657.215854244
2001-11-01,859199.457736877
2001-12-01,843880.482983668
2002-01-01,850067.97356313
2002-02-01,869061.672342111
2002-03-01,873299.537469237
2002-04-01,882786.373004886
2002-05-01,885132.34367446
2002-06-01,880826.682938726
2002-07-01,881091.005519726
2002-08-01,861447.795965629
2002-09-01,869041.882589398
2002-10-01,852540.850280819
2002-11-01,845628.111822288
2002-12-01,830185.943599538
2003-01-01,832977.962102778
2003-02-01,832686.306998308
2003-03-01,829403.43578131
2003-04-01,842888.597426516
2003-05-01,842221.239251799
2003-06-01,848458.643885601
2003-07-01,850804.805733944
2003-08-01,850759.382994758
2003-09-01,851215.706074942
2003-10-01,858120.591566595
2003-11-01,841119.530006094
2003-12-01,835285.316208366
2004-01-01,843275.515091961
2004-02-01,857904.707782529
2004-03-01,874991.842225795
2004-04-01,865644.783762599
2004-05-01,858914.070572917
2004-06-01,875373.87062156
2004-07-01,875442.030627669
2004-08-01,875276.264493587
2004-09-01,867972.032387869
2004-10-01,869786.07753497
2004-11-01,864567.651988924
