"Date","LFIN64FECAM647N"
1976-01-01,3781800
1976-02-01,3768800
1976-03-01,3749400
1976-04-01,3749900
1976-05-01,3684800
1976-06-01,3619200
1976-07-01,3543100
1976-08-01,3567800
1976-09-01,3697600
1976-10-01,3709200
1976-11-01,3711100
1976-12-01,3724400
1977-01-01,3782800
1977-02-01,3744700
1977-03-01,3723800
1977-04-01,3728000
1977-05-01,3674200
1977-06-01,3622900
1977-07-01,3554400
1977-08-01,3577000
1977-09-01,3695400
1977-10-01,3687700
1977-11-01,3714200
1977-12-01,3736700
1978-01-01,3798800
1978-02-01,3746700
1978-03-01,3688500
1978-04-01,3707200
1978-05-01,3627500
1978-06-01,3560100
1978-07-01,3464000
1978-08-01,3478300
1978-09-01,3591700
1978-10-01,3589900
1978-11-01,3592600
1978-12-01,3615000
1979-01-01,3670900
1979-02-01,3627400
1979-03-01,3586000
1979-04-01,3603600
1979-05-01,3557800
1979-06-01,3484200
1979-07-01,3405700
1979-08-01,3406300
1979-09-01,3557400
1979-10-01,3504800
1979-11-01,3525900
1979-12-01,3567900
1980-01-01,3577500
1980-02-01,3576400
1980-03-01,3521300
1980-04-01,3520700
1980-05-01,3467000
1980-06-01,3381400
1980-07-01,3358000
1980-08-01,3365200
1980-09-01,3483100
1980-10-01,3468200
1980-11-01,3513900
1980-12-01,3552700
1981-01-01,3565700
1981-02-01,3502700
1981-03-01,3466200
1981-04-01,3487700
1981-05-01,3365600
1981-06-01,3255800
1981-07-01,3263500
1981-08-01,3272900
1981-09-01,3351400
1981-10-01,3362600
1981-11-01,3389600
1981-12-01,3462800
1982-01-01,3522100
1982-02-01,3501100
1982-03-01,3444000
1982-04-01,3469800
1982-05-01,3387700
1982-06-01,3319000
1982-07-01,3276900
1982-08-01,3315600
1982-09-01,3454900
1982-10-01,3437500
1982-11-01,3449800
1982-12-01,3476400
1983-01-01,3520800
1983-02-01,3491800
1983-03-01,3410400
1983-04-01,3421800
1983-05-01,3330800
1983-06-01,3239900
1983-07-01,3217400
1983-08-01,3227200
1983-09-01,3358200
1983-10-01,3363700
1983-11-01,3399500
1983-12-01,3415900
1984-01-01,3486000
1984-02-01,3424700
1984-03-01,3368100
1984-04-01,3398200
1984-05-01,3268100
1984-06-01,3226600
1984-07-01,3184800
1984-08-01,3195800
1984-09-01,3273500
1984-10-01,3290300
1984-11-01,3293400
1984-12-01,3334000
1985-01-01,3386100
1985-02-01,3332300
1985-03-01,3262800
1985-04-01,3266200
1985-05-01,3184000
1985-06-01,3131700
1985-07-01,3083400
1985-08-01,3080900
1985-09-01,3192400
1985-10-01,3186300
1985-11-01,3187900
1985-12-01,3215800
1986-01-01,3246000
1986-02-01,3216300
1986-03-01,3166300
1986-04-01,3167500
1986-05-01,3106700
1986-06-01,3006400
1986-07-01,2987600
1986-08-01,3004900
1986-09-01,3153100
1986-10-01,3144900
1986-11-01,3172600
1986-12-01,3201700
1987-01-01,3219200
1987-02-01,3183500
1987-03-01,3109700
1987-04-01,3118400
1987-05-01,3026600
1987-06-01,2949800
1987-07-01,2925300
1987-08-01,2939200
1987-09-01,3071400
1987-10-01,3049900
1987-11-01,3064600
1987-12-01,3070100
1988-01-01,3127500
1988-02-01,3082900
1988-03-01,3033500
1988-04-01,3047800
1988-05-01,2940400
1988-06-01,2884200
1988-07-01,2828200
1988-08-01,2835300
1988-09-01,2979100
1988-10-01,2960600
1988-11-01,2983100
1988-12-01,3018100
1989-01-01,3007200
1989-02-01,3007700
1989-03-01,2955700
1989-04-01,2972900
1989-05-01,2892400
1989-06-01,2857400
1989-07-01,2813500
1989-08-01,2803700
1989-09-01,2952200
1989-10-01,2932600
1989-11-01,2945000
1989-12-01,2948500
1990-01-01,2986300
1990-02-01,2956500
1990-03-01,2966500
1990-04-01,2955600
1990-05-01,2859000
1990-06-01,2794100
1990-07-01,2754400
1990-08-01,2763900
1990-09-01,2915600
1990-10-01,2891700
1990-11-01,2934300
1990-12-01,2977600
1991-01-01,3020800
1991-02-01,2999100
1991-03-01,2936000
1991-04-01,2975800
1991-05-01,2866500
1991-06-01,2797200
1991-07-01,2753200
1991-08-01,2762200
1991-09-01,2952400
1991-10-01,2932900
1991-11-01,2988800
1991-12-01,3039200
1992-01-01,3094200
1992-02-01,3060500
1992-03-01,3040900
1992-04-01,3078700
1992-05-01,2977900
1992-06-01,2893400
1992-07-01,2853300
1992-08-01,2866900
1992-09-01,3047500
1992-10-01,3050000
1992-11-01,3015200
1992-12-01,3072900
1993-01-01,3172100
1993-02-01,3153600
1993-03-01,3093500
1993-04-01,3114200
1993-05-01,3000300
1993-06-01,2927200
1993-07-01,2895300
1993-08-01,2916500
1993-09-01,3062600
1993-10-01,3072500
1993-11-01,3078700
1993-12-01,3124600
1994-01-01,3194500
1994-02-01,3191000
1994-03-01,3163400
1994-04-01,3174900
1994-05-01,3042600
1994-06-01,2989300
1994-07-01,2957100
1994-08-01,2951600
1994-09-01,3089200
1994-10-01,3094600
1994-11-01,3125500
1994-12-01,3139400
1995-01-01,3166000
1995-02-01,3173900
1995-03-01,3134000
1995-04-01,3200400
1995-05-01,3082000
1995-06-01,3011000
1995-07-01,2974500
1995-08-01,2990000
