"Date","LFIN64MACAM647N"
1976-01-01,1330700
1976-02-01,1330400
1976-03-01,1304600
1976-04-01,1266400
1976-05-01,1151200
1976-06-01,987700
1976-07-01,824700
1976-08-01,918000
1976-09-01,1212600
1976-10-01,1223400
1976-11-01,1260700
1976-12-01,1295700
1977-01-01,1361000
1977-02-01,1345000
1977-03-01,1318800
1977-04-01,1302600
1977-05-01,1132400
1977-06-01,1033400
1977-07-01,871300
1977-08-01,920500
1977-09-01,1224500
1977-10-01,1240500
1977-11-01,1270500
1977-12-01,1315000
1978-01-01,1406100
1978-02-01,1365900
1978-03-01,1298700
1978-04-01,1296100
1978-05-01,1121800
1978-06-01,992700
1978-07-01,830300
1978-08-01,874400
1978-09-01,1192400
1978-10-01,1204200
1978-11-01,1238100
1978-12-01,1289600
1979-01-01,1333800
1979-02-01,1345700
1979-03-01,1282400
1979-04-01,1250300
1979-05-01,1083900
1979-06-01,981800
1979-07-01,828600
1979-08-01,865700
1979-09-01,1170100
1979-10-01,1174400
1979-11-01,1219300
1979-12-01,1289600
1980-01-01,1327400
1980-02-01,1319900
1980-03-01,1289400
1980-04-01,1274900
1980-05-01,1142900
1980-06-01,948900
1980-07-01,863700
1980-08-01,882300
1980-09-01,1187300
1980-10-01,1206800
1980-11-01,1230600
1980-12-01,1291500
1981-01-01,1332200
1981-02-01,1310600
1981-03-01,1255900
1981-04-01,1262700
1981-05-01,1111700
1981-06-01,937300
1981-07-01,834100
1981-08-01,884400
1981-09-01,1176600
1981-10-01,1211600
1981-11-01,1285600
1981-12-01,1346400
1982-01-01,1452700
1982-02-01,1457900
1982-03-01,1381700
1982-04-01,1401300
1982-05-01,1250500
1982-06-01,1100300
1982-07-01,962000
1982-08-01,1076400
1982-09-01,1350900
1982-10-01,1346000
1982-11-01,1421600
1982-12-01,1458700
1983-01-01,1533500
1983-02-01,1507700
1983-03-01,1421300
1983-04-01,1425400
1983-05-01,1242200
1983-06-01,1109200
1983-07-01,984300
1983-08-01,1046700
1983-09-01,1343900
1983-10-01,1391600
1983-11-01,1437100
1983-12-01,1486800
1984-01-01,1578500
1984-02-01,1539800
1984-03-01,1475300
1984-04-01,1457100
1984-05-01,1265300
1984-06-01,1143100
1984-07-01,1007000
1984-08-01,1070800
1984-09-01,1336400
1984-10-01,1366900
1984-11-01,1430000
1984-12-01,1502000
1985-01-01,1531200
1985-02-01,1531500
1985-03-01,1427000
1985-04-01,1434800
1985-05-01,1265200
1985-06-01,1156100
1985-07-01,1014300
1985-08-01,1066900
1985-09-01,1400100
1985-10-01,1392100
1985-11-01,1410600
1985-12-01,1466500
1986-01-01,1505900
1986-02-01,1495300
1986-03-01,1433200
1986-04-01,1390500
1986-05-01,1262000
1986-06-01,1107600
1986-07-01,1008500
1986-08-01,1057800
1986-09-01,1363100
1986-10-01,1383700
1986-11-01,1415100
1986-12-01,1467900
1987-01-01,1529800
1987-02-01,1498800
1987-03-01,1426400
1987-04-01,1423600
1987-05-01,1262100
1987-06-01,1119700
1987-07-01,1014300
1987-08-01,1054400
1987-09-01,1343700
1987-10-01,1342600
1987-11-01,1400200
1987-12-01,1431700
1988-01-01,1503700
1988-02-01,1491900
1988-03-01,1439500
1988-04-01,1446400
1988-05-01,1234200
1988-06-01,1161400
1988-07-01,1022200
1988-08-01,1069200
1988-09-01,1361700
1988-10-01,1370000
1988-11-01,1434500
1988-12-01,1473100
1989-01-01,1501000
1989-02-01,1479700
1989-03-01,1416300
1989-04-01,1422300
1989-05-01,1225500
1989-06-01,1120500
1989-07-01,998200
1989-08-01,1038800
1989-09-01,1327200
1989-10-01,1360900
1989-11-01,1403200
1989-12-01,1485100
1990-01-01,1512400
1990-02-01,1526400
1990-03-01,1522200
1990-04-01,1489000
1990-05-01,1331000
1990-06-01,1229800
1990-07-01,1075900
1990-08-01,1115400
1990-09-01,1379300
1990-10-01,1408300
1990-11-01,1486000
1990-12-01,1557100
1991-01-01,1630400
1991-02-01,1605800
1991-03-01,1583600
1991-04-01,1583800
1991-05-01,1415500
1991-06-01,1308100
1991-07-01,1172800
1991-08-01,1237700
1991-09-01,1545900
1991-10-01,1559700
1991-11-01,1637600
1991-12-01,1728800
1992-01-01,1806900
1992-02-01,1798600
1992-03-01,1718400
1992-04-01,1777000
1992-05-01,1574400
1992-06-01,1410300
1992-07-01,1314100
1992-08-01,1380700
1992-09-01,1659100
1992-10-01,1673400
1992-11-01,1677600
1992-12-01,1769500
1993-01-01,1860600
1993-02-01,1836800
1993-03-01,1765600
1993-04-01,1788900
1993-05-01,1621800
1993-06-01,1449500
1993-07-01,1328800
1993-08-01,1439200
1993-09-01,1700900
1993-10-01,1756700
1993-11-01,1779600
1993-12-01,1841400
1994-01-01,1922000
1994-02-01,1878900
1994-03-01,1877800
1994-04-01,1845400
1994-05-01,1632800
1994-06-01,1550200
1994-07-01,1393800
1994-08-01,1454100
1994-09-01,1723000
1994-10-01,1765500
1994-11-01,1780300
1994-12-01,1874900
1995-01-01,1934600
1995-02-01,1941500
1995-03-01,1873800
1995-04-01,1909900
1995-05-01,1714700
1995-06-01,1611200
1995-07-01,1463400
1995-08-01,1540100
1995-09-01,1840900
1995-10-01,1843300
1995-11-01,1926600
1995-12-01,1934200
1996-01-01,1979800
1996-02-01,1977000
1996-03-01,1962800
1996-04-01,1955700
1996-05-01,1785100
1996-06-01,1670700
1996-07-01,1519800
1996-08-01,1587900
1996-09-01,1869700
1996-10-01,1873200
1996-11-01,1908800
1996-12-01,1959100
1997-01-01,2020600
1997-02-01,1997700
1997-03-01,1999200
1997-04-01,1990700
1997-05-01,1780200
1997-06-01,1671800
1997-07-01,1551100
1997-08-01,1572500
1997-09-01,1818000
1997-10-01,1836400
1997-11-01,1880500
1997-12-01,1959500
1998-01-01,2036500
1998-02-01,2025200
1998-03-01,2021900
1998-04-01,1991400
1998-05-01,1821700
1998-06-01,1691100
1998-07-01,1553300
1998-08-01,1617100
1998-09-01,1866700
1998-10-01,1898200
1998-11-01,1922900
1998-12-01,1974300
1999-01-01,2033700
1999-02-01,2013500
1999-03-01,1992900
1999-04-01,1910000
1999-05-01,1758500
1999-06-01,1693700
1999-07-01,1547800
1999-08-01,1614200
1999-09-01,1839700
1999-10-01,1852100
1999-11-01,1899800
1999-12-01,1943900
