"Date","LFINTTMACAM647S"
1995-01-01,2992924.75538811
1995-02-01,3025830.23377419
1995-03-01,3000165.02486093
1995-04-01,3040349.13744278
1995-05-01,3042675.86958236
1995-06-01,3063654.23961483
1995-07-01,3060584.41081004
1995-08-01,3075400.00891101
1995-09-01,3098769.53057179
1995-10-01,3089861.40198393
1995-11-01,3130430.87602254
1995-12-01,3090923.13861866
1996-01-01,3080189.13580366
1996-02-01,3091171.54755801
1996-03-01,3110550.7659091
1996-04-01,3116033.52158309
1996-05-01,3139862.55081195
1996-06-01,3136063.27712345
1996-07-01,3138018.45735258
1996-08-01,3156463.2477879
1996-09-01,3165654.22040664
1996-10-01,3163464.04647198
1996-11-01,3160412.70605151
1996-12-01,3162150.90885781
1997-01-01,3167135.99309838
1997-02-01,3160010.37988769
1997-03-01,3179922.06835829
1997-04-01,3186231.65805104
1997-05-01,3170129.09529316
1997-06-01,3170204.03720025
1997-07-01,3191672.26357711
1997-08-01,3157891.63311006
1997-09-01,3151444.68800974
1997-10-01,3149321.66293844
1997-11-01,3162875.78240816
1997-12-01,3180529.42117067
1998-01-01,3196462.0315505
1998-02-01,3203253.78698318
1998-03-01,3217857.34670815
1998-04-01,3216090.0101216
1998-05-01,3230449.48584185
1998-06-01,3206011.09602482
1998-07-01,3213006.48562054
1998-08-01,3227021.335083
1998-09-01,3225553.86479567
1998-10-01,3234756.2359318
1998-11-01,3227959.29507511
1998-12-01,3233919.45298998
1999-01-01,3229857.50366876
1999-02-01,3226604.17400343
1999-03-01,3228855.60285412
1999-04-01,3194078.12194847
1999-05-01,3218802.20299842
1999-06-01,3231698.41485228
1999-07-01,3224429.87548094
1999-08-01,3241088.74089958
1999-09-01,3222632.09428656
1999-10-01,3224760.25379557
1999-11-01,3241387.37495563
1999-12-01,3237395.60694316
2000-01-01,3254757.3434956
2000-02-01,3256008.34662223
2000-03-01,3261952.83664781
2000-04-01,3266735.0783721
2000-05-01,3267646.91711992
2000-06-01,3288786.87305625
2000-07-01,3291505.6502381
2000-08-01,3282735.55083464
2000-09-01,3285783.38571588
2000-10-01,3284878.14912399
2000-11-01,3284069.24957763
2000-12-01,3285629.71564929
2001-01-01,3303074.52197903
2001-02-01,3300887.99072109
2001-03-01,3307117.00893817
2001-04-01,3308309.03587554
2001-05-01,3326145.37300557
2001-06-01,3332064.55929185
2001-07-01,3361033.40971608
2001-08-01,3346621.13960786
2001-09-01,3360896.46771113
2001-10-01,3348897.20271722
2001-11-01,3355693.94674969
2001-12-01,3339760.47828922
2002-01-01,3308900.30982254
2002-02-01,3316063.89025034
2002-03-01,3297693.22039548
2002-04-01,3311302.67517869
2002-05-01,3288189.79405839
2002-06-01,3304598.71544044
2002-07-01,3280369.89398767
2002-08-01,3273199.06205113
2002-09-01,3277779.54279624
2002-10-01,3291724.65627219
2002-11-01,3281403.52415174
2002-12-01,3269429.86554986
2003-01-01,3277657.24892958
2003-02-01,3260322.02671277
2003-03-01,3277521.02785931
2003-04-01,3272303.75357295
2003-05-01,3277398.13543385
2003-06-01,3268916.10435467
2003-07-01,3275529.33358534
2003-08-01,3282657.04623184
2003-09-01,3290071.90797564
2003-10-01,3300582.55469892
2003-11-01,3300632.04884052
2003-12-01,3326234.75853616
2004-01-01,3325888.13416198
2004-02-01,3340611.03764823
2004-03-01,3340450.11412157
2004-04-01,3338255.10204981
2004-05-01,3361291.41952403
2004-06-01,3352101.79325331
2004-07-01,3368321.23259155
2004-08-01,3380620.84765828
2004-09-01,3372243.52957745
2004-10-01,3365865.625968
2004-11-01,3374055.96521254
2004-12-01,3377011.15696185
2005-01-01,3412921.14433877
2005-02-01,3409928.93794621
2005-03-01,3424523.18609011
2005-04-01,3443896.29386195
2005-05-01,3426645.98585291
2005-06-01,3446279.62902755
2005-07-01,3432238.68866813
2005-08-01,3444274.84274988
2005-09-01,3469800.12698419
2005-10-01,3473103.48499448
2005-11-01,3496544.32858198
2005-12-01,3503748.44427895
2006-01-01,3491683.17090366
2006-02-01,3503525.14285234
2006-03-01,3500203.34803763
2006-04-01,3517611.00729745
2006-05-01,3502507.58557129
2006-06-01,3524729.36801769
2006-07-01,3509835.19705607
2006-08-01,3513980.68705693
2006-09-01,3509371.6184563
2006-10-01,3539998.89901655
2006-11-01,3532367.78468253
2006-12-01,3540142.87958407
2007-01-01,3527453.89556187
2007-02-01,3542428.72428204
2007-03-01,3557338.05826622
2007-04-01,3553122.19638511
2007-05-01,3555953.2413267
2007-06-01,3554454.90131245
2007-07-01,3553181.05672495
2007-08-01,3567031.75138715
2007-09-01,3584882.39484508
2007-10-01,3561388.57091161
2007-11-01,3547727.07984384
2007-12-01,3546519.61128344
2008-01-01,3544918.60685748
2008-02-01,3566582.37755718
2008-03-01,3545027.49462108
2008-04-01,3559755.58850381
2008-05-01,3585127.77948494
2008-06-01,3563186.78210686
2008-07-01,3599559.97834384
2008-08-01,3595387.73945876
2008-09-01,3567735.472779
2008-10-01,3578634.50206116
2008-11-01,3610645.45530157
2008-12-01,3635062.90399181
2009-01-01,3645254.60897544
2009-02-01,3635501.37950853
2009-03-01,3658551.94211963
2009-04-01,3680149.60316046
2009-05-01,3682530.31005364
2009-06-01,3708311.1648306
2009-07-01,3723015.75204654
2009-08-01,3758077.66591633
2009-09-01,3782608.78855104
2009-10-01,3766709.07250228
2009-11-01,3751801.10178868
