"Date","LFUN25FECAM647N"
1976-01-01,159000
1976-02-01,154100
1976-03-01,146000
1976-04-01,158700
1976-05-01,148300
1976-06-01,136800
1976-07-01,154800
1976-08-01,183100
1976-09-01,173700
1976-10-01,153000
1976-11-01,154700
1976-12-01,146900
1977-01-01,184900
1977-02-01,174300
1977-03-01,180900
1977-04-01,181400
1977-05-01,162700
1977-06-01,164500
1977-07-01,164800
1977-08-01,203100
1977-09-01,198500
1977-10-01,191700
1977-11-01,193000
1977-12-01,186100
1978-01-01,207200
1978-02-01,210900
1978-03-01,219500
1978-04-01,205800
1978-05-01,199500
1978-06-01,194900
1978-07-01,2e+05
1978-08-01,229800
1978-09-01,218900
1978-10-01,196600
1978-11-01,203300
1978-12-01,192900
1979-01-01,212700
1979-02-01,209400
1979-03-01,217000
1979-04-01,206100
1979-05-01,186700
1979-06-01,181500
1979-07-01,182700
1979-08-01,198100
1979-09-01,195900
1979-10-01,2e+05
1979-11-01,181700
1979-12-01,172900
1980-01-01,200600
1980-02-01,203000
1980-03-01,205900
1980-04-01,204200
1980-05-01,196000
1980-06-01,183600
1980-07-01,178600
1980-08-01,207900
1980-09-01,204200
1980-10-01,182000
1980-11-01,181200
1980-12-01,172500
1981-01-01,208800
1981-02-01,205200
1981-03-01,209100
1981-04-01,199700
1981-05-01,190700
1981-06-01,191900
1981-07-01,192600
1981-08-01,217200
1981-09-01,248600
1981-10-01,247200
1981-11-01,239900
1981-12-01,229000
1982-01-01,227100
1982-02-01,243600
1982-03-01,263100
1982-04-01,271500
1982-05-01,274200
1982-06-01,276500
1982-07-01,283200
1982-08-01,323400
1982-09-01,317600
1982-10-01,318300
1982-11-01,328600
1982-12-01,328300
1983-01-01,354600
1983-02-01,352500
1983-03-01,364300
1983-04-01,350400
1983-05-01,326100
1983-06-01,321300
1983-07-01,307700
1983-08-01,342700
1983-09-01,320000
1983-10-01,308500
1983-11-01,306000
1983-12-01,307700
1984-01-01,333900
1984-02-01,340100
1984-03-01,359500
1984-04-01,350300
1984-05-01,346700
1984-06-01,341500
1984-07-01,335500
1984-08-01,373900
1984-09-01,381900
1984-10-01,370800
1984-11-01,361000
1984-12-01,342300
1985-01-01,344500
1985-02-01,350800
1985-03-01,377500
1985-04-01,362200
1985-05-01,348300
1985-06-01,342500
1985-07-01,343800
1985-08-01,378900
1985-09-01,359100
1985-10-01,343800
1985-11-01,354300
1985-12-01,327800
1986-01-01,345300
1986-02-01,336100
1986-03-01,356800
1986-04-01,346500
1986-05-01,312700
1986-06-01,327300
1986-07-01,339800
1986-08-01,367000
1986-09-01,336800
1986-10-01,330700
1986-11-01,326800
1986-12-01,322000
1987-01-01,363500
1987-02-01,352000
1987-03-01,376000
1987-04-01,356100
1987-05-01,324900
1987-06-01,324700
1987-07-01,334100
1987-08-01,356200
1987-09-01,342500
1987-10-01,315000
1987-11-01,305600
1987-12-01,298600
1988-01-01,334600
1988-02-01,324200
1988-03-01,336000
1988-04-01,316000
1988-05-01,299100
1988-06-01,307300
1988-07-01,328400
1988-08-01,376000
1988-09-01,333100
1988-10-01,308300
1988-11-01,323600
1988-12-01,286200
1989-01-01,328600
1989-02-01,320900
1989-03-01,354700
1989-04-01,338900
1989-05-01,322500
1989-06-01,303300
1989-07-01,330200
1989-08-01,361500
1989-09-01,324200
1989-10-01,306800
1989-11-01,310500
1989-12-01,307700
1990-01-01,346200
1990-02-01,338100
1990-03-01,328900
1990-04-01,313100
1990-05-01,317200
1990-06-01,310100
1990-07-01,331500
1990-08-01,385100
1990-09-01,353600
1990-10-01,364100
1990-11-01,369200
1990-12-01,359800
1991-01-01,410000
