"Date","LFUNTTFECAM647S"
1960-01-01,52676.551395497
1960-02-01,55052.2111050895
1960-03-01,54804.5984276015
1960-04-01,57988.868261576
1960-05-01,58762.9222705475
1960-06-01,58543.34895437
1960-07-01,53792.0084313634
1960-08-01,62595.6125210804
1960-09-01,66494.5696464518
1960-10-01,65694.9061354697
1960-11-01,68436.6493799038
1960-12-01,66178.3366670361
1961-01-01,69965.3439794112
1961-02-01,66533.562875195
1961-03-01,69470.816942128
1961-04-01,71493.7850143434
1961-05-01,67166.740137124
1961-06-01,62674.7677925947
1961-07-01,63329.359548788
1961-08-01,60996.8813782289
1961-09-01,64399.3162909571
1961-10-01,59011.0689584746
1961-11-01,60224.5071976447
1961-12-01,61676.2236334039
1962-01-01,56649.9907771783
1962-02-01,62102.8337740609
1962-03-01,56709.1449330956
1962-04-01,57940.3813738075
1962-05-01,57754.1381542686
1962-06-01,58735.2646436932
1962-07-01,61798.186181569
1962-08-01,56166.2251252677
1962-09-01,57065.6066258728
1962-10-01,59049.5961251076
1962-11-01,67912.4938737866
1962-12-01,62006.8313920708
1963-01-01,61850.5785112755
1963-02-01,63664.4022146358
1963-03-01,62227.7957407132
1963-04-01,60622.3583970733
1963-05-01,60098.1622701369
1963-06-01,62700.9083404635
1963-07-01,62213.2952065876
1963-08-01,63808.7919615334
1963-09-01,64592.4552058784
1963-10-01,62254.5785033784
1963-11-01,62221.8218524051
1963-12-01,58143.020636192
1964-01-01,60552.1985263862
1964-02-01,57147.5990652176
1964-03-01,58949.4691508738
1964-04-01,59100.8087680796
1964-05-01,63332.2956990762
1964-06-01,65081.6644869619
1964-07-01,60422.0969059822
1964-08-01,63660.5064834166
1964-09-01,61308.8109703355
1964-10-01,63398.9457577698
1964-11-01,59710.8240009264
1964-12-01,68629.4742237984
1965-01-01,60836.1695320883
1965-02-01,53367.275685915
1965-03-01,61651.4707484214
1965-04-01,61623.038573313
1965-05-01,55725.8587124626
1965-06-01,58098.6049650388
1965-07-01,59442.782912669
1965-08-01,49934.1067445474
1965-09-01,50403.3389972193
1965-10-01,47647.785089208
1965-11-01,56060.5931344979
1965-12-01,58080.9327746874
1966-01-01,71549.1242499784
1966-02-01,71470.3772945271
1966-03-01,73550.5487144219
1966-04-01,70684.9428996637
1966-05-01,79742.8719808079
1966-06-01,72221.1488616401
1966-07-01,80085.5482149148
1966-08-01,91154.9018209234
1966-09-01,89876.2588635039
1966-10-01,86751.6103196502
1966-11-01,89856.1633101786
1966-12-01,81685.5073650584
1967-01-01,83290.229328173
1967-02-01,90137.7034130481
1967-03-01,90313.4659225886
1967-04-01,94546.5254459657
1967-05-01,92794.7831804518
1967-06-01,92765.7654506896
1967-07-01,94777.1726644758
1967-08-01,88484.3714684115
1967-09-01,95653.7126323313
1967-10-01,92825.3989274373
1967-11-01,94893.1563630721
1967-12-01,104743.081217733
1968-01-01,98668.2261494974
1968-02-01,98767.642364709
1968-03-01,103661.477763425
1968-04-01,107947.779927944
1968-05-01,111200.093069261
1968-06-01,120847.964200251
1968-07-01,126322.513678321
1968-08-01,125096.596929945
1968-09-01,117735.690402816
1968-10-01,117330.723693138
1968-11-01,113823.945389146
1968-12-01,118991.465713265
1969-01-01,124977.380548737
1969-02-01,117993.31935069
1969-03-01,118139.382015588
1969-04-01,124311.374234512
1969-05-01,132507.943110247
1969-06-01,123203.272622003
1969-07-01,121759.96048771
1969-08-01,129674.275333588
1969-09-01,128887.88683318
1969-10-01,138356.420106545
1969-11-01,134202.034870602
1969-12-01,130639.972817996
1970-01-01,128403.680074355
1970-02-01,137843.68337118
1970-03-01,141656.228457011
1970-04-01,146457.562240846
1970-05-01,161453.449906451
1970-06-01,169290.780435015
1970-07-01,189909.072862582
1970-08-01,175915.652724569
1970-09-01,169589.910686545
1970-10-01,176322.317616124
1970-11-01,185872.440070979
1970-12-01,192960.482884611
1971-01-01,188986.623763715
1971-02-01,197184.332242187
1971-03-01,191361.427927043
1971-04-01,210416.684849538
1971-05-01,190292.160706507
1971-06-01,187357.623253385
1971-07-01,193121.785276227
1971-08-01,186095.223347775
1971-09-01,195062.0286204
1971-10-01,221410.81637195
1971-11-01,206947.397291075
1971-12-01,198497.259016042
1972-01-01,210243.594170971
1972-02-01,202308.271992235
1972-03-01,223232.718949487
1972-04-01,199373.758792556
1972-05-01,210825.299449649
1972-06-01,211838.127080335
1972-07-01,212102.379111838
1972-08-01,213033.22772849
1972-09-01,218818.22876391
1972-10-01,228653.945487582
1972-11-01,233348.192548077
1972-12-01,232026.461997668
1973-01-01,232285.077009313
1973-02-01,226415.02754374
1973-03-01,218255.597954137
1973-04-01,222592.981676986
1973-05-01,217873.257673885
1973-06-01,217978.486117698
1973-07-01,210328.935594616
1973-08-01,212141.94231877
1973-09-01,220905.853996325
1973-10-01,241255.97903513
1973-11-01,211457.894996452
1973-12-01,208315.877741618
1974-01-01,214129.21177813
1974-02-01,207704.71853909
1974-03-01,215372.734520123
1974-04-01,212760.711794646
1974-05-01,216388.000949044
1974-06-01,213999.100958977
1974-07-01,220822.621301693
1974-08-01,226754.299603403
1974-09-01,227174.996171756
1974-10-01,220622.494345441
1974-11-01,230524.897893414
1974-12-01,245708.398804612
1975-01-01,267239.770216011
1975-02-01,278985.772353958
1975-03-01,286980.324229156
1975-04-01,285950.74130713
1975-05-01,299640.822640984
1975-06-01,304403.767592201
1975-07-01,307564.987372781
1975-08-01,309969.594761903
1975-09-01,285603.567367711
1975-10-01,316609.815691276
1975-11-01,331206.057664774
1975-12-01,314230.96834523
1976-01-01,314000
1976-02-01,313800
1976-03-01,295500
1976-04-01,311100
1976-05-01,317800
1976-06-01,307800
1976-07-01,338000
1976-08-01,332000
1976-09-01,338200
1976-10-01,332600
1976-11-01,339400
1976-12-01,343400
1977-01-01,353300
