"Date","LFWA24FECAM647S"
1976-01-01,2236400
1976-02-01,2241000
1976-03-01,2245000
1976-04-01,2249000
1976-05-01,2253000
1976-06-01,2256900
1976-07-01,2260900
1976-08-01,2265000
1976-09-01,2267800
1976-10-01,2270500
1976-11-01,2272800
1976-12-01,2275000
1977-01-01,2277600
1977-02-01,2280000
1977-03-01,2282100
1977-04-01,2284300
1977-05-01,2287200
1977-06-01,2289200
1977-07-01,2293700
1977-08-01,2296600
1977-09-01,2299000
1977-10-01,2300900
1977-11-01,2302900
1977-12-01,2304800
1978-01-01,2306900
1978-02-01,2309100
1978-03-01,2310800
1978-04-01,2312600
1978-05-01,2314900
1978-06-01,2316400
1978-07-01,2320100
1978-08-01,2321900
1978-09-01,2323400
1978-10-01,2324600
1978-11-01,2326000
1978-12-01,2327100
1979-01-01,2328400
1979-02-01,2329600
1979-03-01,2330700
1979-04-01,2331900
1979-05-01,2332900
1979-06-01,2334000
1979-07-01,2337800
1979-08-01,2338900
1979-09-01,2340000
1979-10-01,2341600
1979-11-01,2342800
1979-12-01,2343900
1980-01-01,2344800
1980-02-01,2345800
1980-03-01,2346700
1980-04-01,2347500
1980-05-01,2348300
1980-06-01,2349500
1980-07-01,2352600
1980-08-01,2353000
1980-09-01,2353500
1980-10-01,2353900
1980-11-01,2353900
1980-12-01,2353800
1981-01-01,2353300
1981-02-01,2352600
1981-03-01,2352000
1981-04-01,2351300
1981-05-01,2350500
1981-06-01,2349200
1981-07-01,2350300
1981-08-01,2348100
1981-09-01,2344800
1981-10-01,2342400
1981-11-01,2339500
1981-12-01,2336700
1982-01-01,2332700
1982-02-01,2328500
1982-03-01,2325300
1982-04-01,2322000
1982-05-01,2318700
1982-06-01,2314400
1982-07-01,2315500
1982-08-01,2311300
1982-09-01,2307700
1982-10-01,2304200
1982-11-01,2300600
1982-12-01,2297000
1983-01-01,2292200
1983-02-01,2287400
1983-03-01,2283500
1983-04-01,2279700
1983-05-01,2274800
1983-06-01,2270800
1983-07-01,2268700
1983-08-01,2263900
1983-09-01,2260000
1983-10-01,2256200
1983-11-01,2252400
1983-12-01,2248700
1984-01-01,2243700
1984-02-01,2238900
1984-03-01,2235000
1984-04-01,2230400
1984-05-01,2226700
1984-06-01,2223200
1984-07-01,2220200
1984-08-01,2216400
1984-09-01,2212700
1984-10-01,2208000
1984-11-01,2204200
1984-12-01,2200300
