"Date","LFWA24MACAM647S"
1976-01-01,2273500
1976-02-01,2277200
1976-03-01,2280800
1976-04-01,2284400
1976-05-01,2288100
1976-06-01,2291800
1976-07-01,2295400
1976-08-01,2299100
1976-09-01,2301800
1976-10-01,2304300
1976-11-01,2306700
1976-12-01,2308800
1977-01-01,2311200
1977-02-01,2313500
1977-03-01,2315300
1977-04-01,2317700
1977-05-01,2320400
1977-06-01,2322400
1977-07-01,2328200
1977-08-01,2331100
1977-09-01,2333400
1977-10-01,2335300
1977-11-01,2337300
1977-12-01,2339100
1978-01-01,2341500
1978-02-01,2343700
1978-03-01,2345400
1978-04-01,2347300
1978-05-01,2349800
1978-06-01,2351200
1978-07-01,2356900
1978-08-01,2358900
1978-09-01,2360500
1978-10-01,2362000
1978-11-01,2363500
1978-12-01,2364800
1979-01-01,2366500
1979-02-01,2367900
1979-03-01,2369200
1979-04-01,2370800
1979-05-01,2372000
1979-06-01,2373200
1979-07-01,2379000
1979-08-01,2380500
1979-09-01,2381700
1979-10-01,2383700
1979-11-01,2385100
1979-12-01,2386500
1980-01-01,2387800
1980-02-01,2388900
1980-03-01,2389900
1980-04-01,2390900
1980-05-01,2392100
1980-06-01,2393300
1980-07-01,2398700
1980-08-01,2399100
1980-09-01,2399700
1980-10-01,2400000
1980-11-01,2400000
1980-12-01,2399900
1981-01-01,2399400
1981-02-01,2398600
1981-03-01,2397900
1981-04-01,2397200
1981-05-01,2396400
1981-06-01,2395400
1981-07-01,2399100
1981-08-01,2397300
1981-09-01,2394500
1981-10-01,2392300
1981-11-01,2390000
1981-12-01,2387600
1982-01-01,2384300
1982-02-01,2380600
1982-03-01,2377800
1982-04-01,2375000
1982-05-01,2372300
1982-06-01,2368800
1982-07-01,2370800
1982-08-01,2367500
1982-09-01,2364600
1982-10-01,2361800
1982-11-01,2358700
1982-12-01,2355600
1983-01-01,2351400
1983-02-01,2347200
1983-03-01,2343700
1983-04-01,2340300
1983-05-01,2336200
1983-06-01,2332900
1983-07-01,2334000
1983-08-01,2329900
1983-09-01,2326700
1983-10-01,2323800
1983-11-01,2320800
1983-12-01,2317900
1984-01-01,2314000
1984-02-01,2310000
1984-03-01,2306800
1984-04-01,2302700
1984-05-01,2299600
1984-06-01,2296400
1984-07-01,2295400
1984-08-01,2291900
1984-09-01,2288400
1984-10-01,2284100
1984-11-01,2280900
1984-12-01,2277400
1985-01-01,2272900
1985-02-01,2269600
1985-03-01,2266100
1985-04-01,2261900
1985-05-01,2258500
1985-06-01,2255200
1985-07-01,2254100
1985-08-01,2250900
1985-09-01,2246800
1985-10-01,2243600
1985-11-01,2240500
1985-12-01,2237200
1986-01-01,2232900
1986-02-01,2229400
1986-03-01,2225900
1986-04-01,2221500
1986-05-01,2217900
1986-06-01,2213200
1986-07-01,2211300
1986-08-01,2206300
1986-09-01,2199900
1986-10-01,2194800
1986-11-01,2189800
1986-12-01,2184700
1987-01-01,2178300
1987-02-01,2171900
1987-03-01,2166900
1987-04-01,2162000
1987-05-01,2157200
1987-06-01,2151200
1987-07-01,2146400
1987-08-01,2141500
1987-09-01,2135400
1987-10-01,2130400
1987-11-01,2125400
1987-12-01,2120300
1988-01-01,2113700
1988-02-01,2107000
1988-03-01,2102000
1988-04-01,2097200
1988-05-01,2091400
1988-06-01,2086700
1988-07-01,2082000
1988-08-01,2076100
1988-09-01,2071100
1988-10-01,2066200
1988-11-01,2061300
1988-12-01,2056400
1989-01-01,2049200
1989-02-01,2044700
1989-03-01,2040500
1989-04-01,2036500
1989-05-01,2031900
1989-06-01,2028400
1989-07-01,2025200
1989-08-01,2021400
1989-09-01,2018600
1989-10-01,2015000
1989-11-01,2012000
1989-12-01,2009100
1990-01-01,2005500
1990-02-01,2003200
1990-03-01,2001200
1990-04-01,1999200
1990-05-01,1997900
1990-06-01,1996500
1990-07-01,1995000
1990-08-01,1993500
1990-09-01,1991700
1990-10-01,1990100
1990-11-01,1989100
1990-12-01,1987600
1991-01-01,1986400
1991-02-01,1985700
1991-03-01,1985100
1991-04-01,1984400
1991-05-01,1984200
1991-06-01,1984000
1991-07-01,1983100
1991-08-01,1981800
1991-09-01,1980900
1991-10-01,1980100
1991-11-01,1979900
1991-12-01,1980100
1992-01-01,1979600
1992-02-01,1978900
1992-03-01,1978700
1992-04-01,1978500
1992-05-01,1978600
1992-06-01,1978400
1992-07-01,1978700
1992-08-01,1979000
1992-09-01,1979300
1992-10-01,1979400
1992-11-01,1979300
1992-12-01,1979200
1993-01-01,1979100
1993-02-01,1978700
1993-03-01,1978900
1993-04-01,1978800
1993-05-01,1978800
1993-06-01,1979100
1993-07-01,1979200
1993-08-01,1979300
1993-09-01,1979400
1993-10-01,1979500
1993-11-01,1979300
1993-12-01,1979400
1994-01-01,1979300
1994-02-01,1979400
1994-03-01,1979800
1994-04-01,1980300
1994-05-01,1980800
1994-06-01,1981500
1994-07-01,1982100
1994-08-01,1982800
1994-09-01,1983100
1994-10-01,1983300
1994-11-01,1983500
1994-12-01,1983600
1995-01-01,1984000
1995-02-01,1984400
1995-03-01,1984900
1995-04-01,1985700
1995-05-01,1986500
1995-06-01,1987500
1995-07-01,1988300
1995-08-01,1989300
1995-09-01,1990000
1995-10-01,1990600
1995-11-01,1991100
1995-12-01,1991700
1996-01-01,1991900
1996-02-01,1992800
1996-03-01,1993800
1996-04-01,1994800
1996-05-01,1996000
1996-06-01,1996900
1996-07-01,1998100
1996-08-01,1999100
1996-09-01,2e+06
1996-10-01,2000900
1996-11-01,2001800
1996-12-01,2002700
1997-01-01,2004000
1997-02-01,2005300
1997-03-01,2006600
1997-04-01,2008400
1997-05-01,2009700
1997-06-01,2011500
1997-07-01,2013100
1997-08-01,2014400
1997-09-01,2016300
1997-10-01,2017800
1997-11-01,2019100
1997-12-01,2020400
1998-01-01,2022100
1998-02-01,2023900
1998-03-01,2025400
1998-04-01,2027200
1998-05-01,2028800
1998-06-01,2030900
1998-07-01,2032400
1998-08-01,2033800
1998-09-01,2035800
1998-10-01,2037400
1998-11-01,2039100
1998-12-01,2040800
1999-01-01,2042900
1999-02-01,2045100
