"Date","LFWA64FECAM647N"
1976-01-01,7502900
1976-02-01,7520000
1976-03-01,7536500
1976-04-01,7552900
1976-05-01,7569300
1976-06-01,7585700
1976-07-01,7602100
1976-08-01,7618600
1976-09-01,7631100
1976-10-01,7643200
1976-11-01,7654800
1976-12-01,7666100
1977-01-01,7680100
1977-02-01,7693600
1977-03-01,7704800
1977-04-01,7717300
1977-05-01,7732500
1977-06-01,7744100
1977-07-01,7756000
1977-08-01,7770700
1977-09-01,7782600
1977-10-01,7793700
1977-11-01,7805000
1977-12-01,7815600
1978-01-01,7828900
1978-02-01,7842300
1978-03-01,7852900
1978-04-01,7864300
1978-05-01,7878400
1978-06-01,7889100
1978-07-01,7899100
1978-08-01,7912000
1978-09-01,7922500
1978-10-01,7932900
1978-11-01,7943200
1978-12-01,7953200
1979-01-01,7965700
1979-02-01,7978100
1979-03-01,7988200
1979-04-01,8001300
1979-05-01,8011700
1979-06-01,8022600
1979-07-01,8035700
1979-08-01,8047000
1979-09-01,8058300
1979-10-01,8073200
1979-11-01,8085300
1979-12-01,8097100
1980-01-01,8111100
1980-02-01,8123000
1980-03-01,8134400
1980-04-01,8148400
1980-05-01,8160300
1980-06-01,8175600
1980-07-01,8186300
1980-08-01,8197500
1980-09-01,8211500
1980-10-01,8222600
1980-11-01,8233100
1980-12-01,8243500
1981-01-01,8255500
1981-02-01,8267300
1981-03-01,8277300
1981-04-01,8287200
1981-05-01,8297400
1981-06-01,8309900
1981-07-01,8318700
1981-08-01,8327700
1981-09-01,8338600
1981-10-01,8347800
1981-11-01,8356700
1981-12-01,8365500
1982-01-01,8376000
1982-02-01,8386000
1982-03-01,8394800
1982-04-01,8403500
1982-05-01,8412300
1982-06-01,8423200
1982-07-01,8433000
1982-08-01,8442900
1982-09-01,8450800
1982-10-01,8458700
1982-11-01,8466600
1982-12-01,8474300
1983-01-01,8483400
1983-02-01,8492500
1983-03-01,8499800
1983-04-01,8507300
1983-05-01,8516400
1983-06-01,8523300
1983-07-01,8529900
1983-08-01,8538100
1983-09-01,8545000
1983-10-01,8551800
1983-11-01,8558900
1983-12-01,8565900
1984-01-01,8573900
1984-02-01,8582200
1984-03-01,8588800
1984-04-01,8597100
1984-05-01,8604300
1984-06-01,8611400
1984-07-01,8619700
1984-08-01,8626200
1984-09-01,8632600
1984-10-01,8640500
1984-11-01,8646600
1984-12-01,8652500
1985-01-01,8659300
1985-02-01,8665000
1985-03-01,8671100
1985-04-01,8678400
1985-05-01,8684800
1985-06-01,8691200
1985-07-01,8698300
1985-08-01,8704700
1985-09-01,8713000
1985-10-01,8719500
1985-11-01,8726200
1985-12-01,8732300
1986-01-01,8740100
1986-02-01,8746200
1986-03-01,8752500
1986-04-01,8760600
1986-05-01,8767400
1986-06-01,8775600
1986-07-01,8781000
1986-08-01,8786400
1986-09-01,8792900
1986-10-01,8798500
1986-11-01,8803900
1986-12-01,8809600
1987-01-01,8816600
1987-02-01,8824100
1987-03-01,8830700
1987-04-01,8837400
1987-05-01,8844500
1987-06-01,8853600
1987-07-01,8860800
1987-08-01,8867800
1987-09-01,8876600
1987-10-01,8883200
1987-11-01,8889900
1987-12-01,8896100
1988-01-01,8903600
1988-02-01,8911000
1988-03-01,8917800
1988-04-01,8925300
1988-05-01,8934700
1988-06-01,8942400
1988-07-01,8950100
1988-08-01,8960000
1988-09-01,8967600
1988-10-01,8974900
1988-11-01,8982000
1988-12-01,8988900
1989-01-01,8998700
1989-02-01,9005900
1989-03-01,9013900
1989-04-01,9022100
1989-05-01,9033200
1989-06-01,9042000
1989-07-01,9050600
1989-08-01,9060900
1989-09-01,9069200
1989-10-01,9079400
1989-11-01,9087300
1989-12-01,9095000
1990-01-01,9104000
1990-02-01,9111400
1990-03-01,9119600
1990-04-01,9131300
1990-05-01,9140800
1990-06-01,9150500
1990-07-01,9163700
1990-08-01,9174200
1990-09-01,9183800
1990-10-01,9194700
1990-11-01,9203900
1990-12-01,9212800
1991-01-01,9223400
1991-02-01,9232300
1991-03-01,9242100
1991-04-01,9254300
1991-05-01,9264200
1991-06-01,9274000
1991-07-01,9281800
1991-08-01,9286400
1991-09-01,9293000
1991-10-01,9298300
1991-11-01,9306000
