"Date","M0521CUSM391NNBR"
1888-01-01,9.14
1888-02-01,10.1
1888-03-01,10.37
1888-04-01,10.11
1888-05-01,9.91
1888-06-01,11.52
1888-07-01,9.12
1888-08-01,9.29
1888-09-01,11.54
1888-10-01,12.78
1888-11-01,8.14
1888-12-01,10.07
1889-01-01,15.7
1889-02-01,18.74
1889-03-01,19.62
1889-04-01,14.64
1889-05-01,13.9
1889-06-01,10.67
1889-07-01,8.02
1889-08-01,11.25
1889-09-01,16.2
1889-10-01,9.45
1889-11-01,8.23
1889-12-01,12.35
1890-01-01,15.3
1890-02-01,17.39
1890-03-01,21.16
1890-04-01,15.06
1890-05-01,15.29
1890-06-01,17.02
1890-07-01,13.75
1890-08-01,11.59
1890-09-01,11.04
1890-10-01,8.97
1890-11-01,4.62
1890-12-01,4.3
1891-01-01,4.04
1891-02-01,4.67
1891-03-01,4.47
1891-04-01,4.48
1891-05-01,6.66
1891-06-01,4.82
1891-07-01,4.88
1891-08-01,6.65
1891-09-01,8.58
1891-10-01,4.15
1891-11-01,4.05
1891-12-01,8.59
1892-01-01,8.99
1892-02-01,12.55
1892-03-01,13.29
1892-04-01,8.1
1892-05-01,4.84
1892-06-01,9.47
1892-07-01,8.9
1892-08-01,9.8
1892-09-01,12.26
1892-10-01,15.16
1892-11-01,12.6
1892-12-01,13.51
1893-01-01,14.44
1893-02-01,17.49
1893-03-01,17.22
1893-04-01,13.01
1893-05-01,9.46
1893-06-01,10.14
1893-07-01,9.95
1893-08-01,6.99
1893-09-01,9.98
1893-10-01,11.32
1893-11-01,9.41
1893-12-01,11.33
1894-01-01,19.18
1894-02-01,22.75
1894-03-01,21.36
1894-04-01,14.88
1894-05-01,9.55
1894-06-01,7.79
1894-07-01,4.92
1894-08-01,4.3
1894-09-01,5.21
1894-10-01,3.35
1894-11-01,6.38
1894-12-01,12.88
1895-01-01,16.73
1895-02-01,17
1895-03-01,16.33
1895-04-01,13.14
1895-05-01,12.6
1895-06-01,10.76
1895-07-01,5.77
