"Date","M10014M144NNBR"
1919-01-01,95.9
1919-02-01,60.6
1919-03-01,37.8
1919-04-01,38.3
1919-05-01,103.2
1919-06-01,170.3
1919-07-01,153.4
1919-08-01,200.1
1919-09-01,157.7
1919-10-01,256.9
1919-11-01,162.3
1919-12-01,108
1920-01-01,174.6
1920-02-01,134.8
1920-03-01,218.6
1920-04-01,153.7
1920-05-01,209
1920-06-01,148.4
1920-07-01,83.5
1920-08-01,48.7
1920-09-01,51.5
1920-10-01,120.1
1920-11-01,82
1920-12-01,132.6
1921-01-01,120
1921-02-01,119.5
1921-03-01,82.6
1921-04-01,115
1921-05-01,82.4
1921-06-01,24.7
1921-07-01,22
1921-08-01,25.3
1921-09-01,29.1
1921-10-01,26
1921-11-01,17.4
1921-12-01,114.3
1922-01-01,35.1
1922-02-01,39.1
1922-03-01,75.5
1922-04-01,118.4
1922-05-01,68.3
1922-06-01,44.9
1922-07-01,37.6
1922-08-01,28.8
1922-09-01,57.1
1922-10-01,48.5
1922-11-01,35.7
1922-12-01,65
1923-01-01,213.1
1923-02-01,96.5
1923-03-01,59.1
1923-04-01,139.5
1923-05-01,34.2
1923-06-01,85.4
1923-07-01,56.3
1923-08-01,26.3
1923-09-01,45.6
1923-10-01,39.2
1923-11-01,59.5
1923-12-01,38.6
1924-01-01,56.6
1924-02-01,65.7
1924-03-01,98.8
1924-04-01,38.2
1924-05-01,61.4
1924-06-01,14
1924-07-01,30.7
1924-08-01,32.8
1924-09-01,37.1
1924-10-01,66.2
1924-11-01,63.5
1924-12-01,112.1
1925-01-01,105.4
1925-02-01,93.9
1925-03-01,51.8
1925-04-01,222.2
1925-05-01,50.6
1925-06-01,25
1925-07-01,99.4
1925-08-01,44.8
1925-09-01,49.7
1925-10-01,84.6
1925-11-01,111.4
1925-12-01,128.9
1926-01-01,196.1
1926-02-01,154.8
1926-03-01,186.6
1926-04-01,59.3
1926-05-01,52.1
1926-06-01,64
1926-07-01,82
1926-08-01,35
1926-09-01,93.1
1926-10-01,72.3
1926-11-01,86.2
1926-12-01,93.6
1927-01-01,176.3
1927-02-01,111
1927-03-01,67.2
1927-04-01,119.4
1927-05-01,111.1
1927-06-01,170
1927-07-01,72.8
1927-08-01,59.8
1927-09-01,83.8
1927-10-01,120.1
1927-11-01,117.7
1927-12-01,45.1
1928-01-01,90.2
1928-02-01,85.1
1928-03-01,95.8
1928-04-01,79.2
1928-05-01,141
1928-06-01,133.7
1928-07-01,73.6
1928-08-01,29
1928-09-01,92
1928-10-01,103
1928-11-01,216.1
1928-12-01,247
1929-01-01,184.4
1929-02-01,164.6
1929-03-01,232.2
1929-04-01,161.1
1929-05-01,234.7
1929-06-01,148.5
1929-07-01,122.6
1929-08-01,91.9
1929-09-01,237.7
1929-10-01,241.9
1929-11-01,52.2
1929-12-01,25.5
1930-01-01,36.4
1930-02-01,144.8
1930-03-01,123.8
1930-04-01,226
1930-05-01,196.3
1930-06-01,121.6
1930-07-01,41.2
1930-08-01,60.9
1930-09-01,10.1
1930-10-01,68.3
1930-11-01,14.7
1930-12-01,16.9
1931-01-01,69.9
1931-02-01,2.4
1931-03-01,81.4
1931-04-01,65.8
1931-05-01,5.4
1931-06-01,8.2
1931-07-01,11
1931-08-01,9.6
1931-09-01,3.8
1931-10-01,2.2
1931-11-01,0.6
1931-12-01,11.6
1932-01-01,2.3
1932-02-01,0
1932-03-01,0.3
1932-04-01,0
1932-05-01,0
1932-06-01,0
1932-07-01,1
1932-08-01,0.6
1932-09-01,0
1932-10-01,3.8
1932-11-01,0.8
1932-12-01,7.8
1933-01-01,3.2
1933-02-01,0
1933-03-01,3.2
1933-04-01,0.9
1933-05-01,3.1
1933-06-01,9.1
1933-07-01,44.7
1933-08-01,14
1933-09-01,8.9
1933-10-01,3.1
1933-11-01,6.5
1933-12-01,15.4
1934-01-01,6
1934-02-01,1
1934-03-01,4.6
1934-04-01,5.2
1934-05-01,3.2
1934-06-01,0.4
1934-07-01,1.6
1934-08-01,0.5
1934-09-01,1.3
1934-10-01,0.4
1934-11-01,0.6
1934-12-01,1
1935-01-01,2.7
1935-02-01,5.5
