"Date","MAM2A3CAM189N"
1970-01-01,3.7652e+10
1970-02-01,3.7627e+10
1970-03-01,3.8032e+10
1970-04-01,3.8769e+10
1970-05-01,3.9117e+10
1970-06-01,3.9495e+10
1970-07-01,4.0158e+10
1970-08-01,4.0304e+10
1970-09-01,4.075e+10
1970-10-01,4.0922e+10
1970-11-01,4.1232e+10
1970-12-01,4.1774e+10
1971-01-01,4.1547e+10
1971-02-01,4.1662e+10
1971-03-01,4.2327e+10
1971-04-01,4.3068e+10
1971-05-01,4.3788e+10
1971-06-01,4.4686e+10
1971-07-01,4.5261e+10
1971-08-01,4.5724e+10
1971-09-01,4.6325e+10
1971-10-01,4.6611e+10
1971-11-01,4.647e+10
1971-12-01,4.7032e+10
1972-01-01,4.7283e+10
1972-02-01,4.7401e+10
1972-03-01,4.8143e+10
1972-04-01,4.8857e+10
1972-05-01,4.9534e+10
1972-06-01,5.0161e+10
1972-07-01,5.1457e+10
1972-08-01,5.1775e+10
1972-09-01,5.2619e+10
1972-10-01,5.3322e+10
1972-11-01,5.3763e+10
1972-12-01,5.4373e+10
1973-01-01,5.458e+10
1973-02-01,5.4638e+10
1973-03-01,5.5239e+10
1973-04-01,5.6433e+10
1973-05-01,5.7518e+10
1973-06-01,5.827e+10
1973-07-01,5.9812e+10
1973-08-01,6.0538e+10
1973-09-01,6.1415e+10
1973-10-01,6.248e+10
1973-11-01,6.3508e+10
1973-12-01,6.4869e+10
1974-01-01,6.5535e+10
1974-02-01,6.6031e+10
1974-03-01,6.7229e+10
1974-04-01,6.8713e+10
1974-05-01,7.0955e+10
1974-06-01,7.1364e+10
1974-07-01,7.3156e+10
1974-08-01,7.3676e+10
1974-09-01,7.47e+10
1974-10-01,7.5487e+10
1974-11-01,7.5202e+10
1974-12-01,7.5548e+10
1975-01-01,7.6432e+10
1975-02-01,7.7212e+10
1975-03-01,7.8608e+10
1975-04-01,8.0333e+10
1975-05-01,8.1347e+10
1975-06-01,8.2409e+10
1975-07-01,8.4375e+10
1975-08-01,8.492e+10
1975-09-01,8.6209e+10
1975-10-01,8.734e+10
1975-11-01,8.7551e+10
1975-12-01,8.9429e+10
1976-01-01,8.8745e+10
1976-02-01,8.9364e+10
1976-03-01,9.0521e+10
1976-04-01,9.2211e+10
1976-05-01,9.4045e+10
1976-06-01,9.6123e+10
1976-07-01,9.7433e+10
1976-08-01,9.8294e+10
1976-09-01,9.962e+10
1976-10-01,1.00642e+11
1976-11-01,1.01957e+11
1976-12-01,1.03666e+11
1977-01-01,1.04404e+11
1977-02-01,1.04906e+11
1977-03-01,1.06305e+11
1977-04-01,1.08488e+11
1977-05-01,1.10521e+11
1977-06-01,1.12364e+11
1977-07-01,1.1378e+11
1977-08-01,1.14823e+11
1977-09-01,1.15851e+11
1977-10-01,1.17108e+11
1977-11-01,1.18157e+11
1977-12-01,1.19564e+11
1978-01-01,1.20029e+11
1978-02-01,1.20657e+11
1978-03-01,1.22127e+11
1978-04-01,1.23882e+11
1978-05-01,1.26158e+11
1978-06-01,1.27696e+11
1978-07-01,1.30168e+11
1978-08-01,1.31464e+11
1978-09-01,1.33226e+11
1978-10-01,1.34622e+11
1978-11-01,1.38083e+11
1978-12-01,1.38673e+11
1979-01-01,1.39419e+11
1979-02-01,1.40063e+11
1979-03-01,1.41004e+11
1979-04-01,1.44021e+11
1979-05-01,1.47131e+11
1979-06-01,1.49354e+11
1979-07-01,1.52564e+11
1979-08-01,1.54355e+11
1979-09-01,1.56397e+11
1979-10-01,1.5857e+11
1979-11-01,1.6113e+11
1979-12-01,1.62914e+11
1980-01-01,1.638e+11
1980-02-01,1.64914e+11
1980-03-01,1.67499e+11
1980-04-01,1.70748e+11
1980-05-01,1.73269e+11
1980-06-01,1.75416e+11
1980-07-01,1.78522e+11
1980-08-01,1.79815e+11
1980-09-01,1.82189e+11
1980-10-01,1.85154e+11
1980-11-01,1.87929e+11
1980-12-01,1.89959e+11
1981-01-01,1.89672e+11
1981-02-01,1.91523e+11
1981-03-01,1.93593e+11
1981-04-01,1.97516e+11
1981-05-01,2.00206e+11
1981-06-01,2.02499e+11
1981-07-01,2.06418e+11
1981-08-01,2.09091e+11
1981-09-01,2.1165e+11
1981-10-01,2.13095e+11
1981-11-01,2.09715e+11
1981-12-01,2.10812e+11
1982-01-01,2.1144e+11
1982-02-01,2.12352e+11
1982-03-01,2.13418e+11
1982-04-01,2.15653e+11
1982-05-01,2.19065e+11
1982-06-01,2.20627e+11
1982-07-01,2.21594e+11
1982-08-01,2.22384e+11
1982-09-01,2.23756e+11
1982-10-01,2.24864e+11
1982-11-01,2.25508e+11
1982-12-01,2.27224e+11
1983-01-01,2.28019e+11
1983-02-01,2.28925e+11
1983-03-01,2.30042e+11
1983-04-01,2.32062e+11
1983-05-01,2.34344e+11
1983-06-01,2.36022e+11
1983-07-01,2.38155e+11
1983-08-01,2.39523e+11
1983-09-01,2.40937e+11
1983-10-01,2.4192e+11
1983-11-01,2.41974e+11
1983-12-01,2.42578e+11
1984-01-01,2.4234e+11
1984-02-01,2.4312e+11
1984-03-01,2.43685e+11
1984-04-01,2.46335e+11
1984-05-01,2.50138e+11
1984-06-01,2.5221e+11
1984-07-01,2.54966e+11
1984-08-01,2.55836e+11
1984-09-01,2.57662e+11
1984-10-01,2.5974e+11
1984-11-01,2.59671e+11
1984-12-01,2.63195e+11
1985-01-01,2.64596e+11
1985-02-01,2.65293e+11
1985-03-01,2.67305e+11
1985-04-01,2.70645e+11
1985-05-01,2.75248e+11
1985-06-01,2.77086e+11
1985-07-01,2.80078e+11
1985-08-01,2.81286e+11
1985-09-01,2.83933e+11
1985-10-01,2.8663e+11
1985-11-01,2.88353e+11
1985-12-01,2.90734e+11
1986-01-01,2.91783e+11
1986-02-01,2.91631e+11
1986-03-01,2.93856e+11
1986-04-01,2.98877e+11
1986-05-01,3.03294e+11
1986-06-01,3.05944e+11
1986-07-01,3.09606e+11
1986-08-01,3.10554e+11
1986-09-01,3.12359e+11
1986-10-01,3.15607e+11
1986-11-01,3.1984e+11
1986-12-01,3.2436e+11
1987-01-01,3.24564e+11
1987-02-01,3.27153e+11
1987-03-01,3.30366e+11
1987-04-01,3.3552e+11
1987-05-01,3.3946e+11
1987-06-01,3.43068e+11
1987-07-01,3.46421e+11
1987-08-01,3.46984e+11
1987-09-01,3.49321e+11
1987-10-01,3.50891e+11
1987-11-01,3.48052e+11
1987-12-01,3.51931e+11
1988-01-01,3.51616e+11
1988-02-01,3.53489e+11
1988-03-01,3.57944e+11
1988-04-01,3.61516e+11
1988-05-01,3.65604e+11
1988-06-01,3.72223e+11
1988-07-01,3.76613e+11
1988-08-01,3.80338e+11
1988-09-01,3.8362e+11
1988-10-01,3.86599e+11
1988-11-01,3.93606e+11
1988-12-01,3.98368e+11
1989-01-01,3.99051e+11
1989-02-01,4.0171e+11
1989-03-01,4.07525e+11
1989-04-01,4.11953e+11
1989-05-01,4.18857e+11
1989-06-01,4.245e+11
1989-07-01,4.28761e+11
1989-08-01,4.32071e+11
1989-09-01,4.36676e+11
1989-10-01,4.40723e+11
1989-11-01,4.48625e+11
1989-12-01,4.55236e+11
1990-01-01,4.57226e+11
1990-02-01,4.60005e+11
1990-03-01,4.63537e+11
1990-04-01,4.69164e+11
1990-05-01,4.72529e+11
1990-06-01,4.75515e+11
1990-07-01,4.7814e+11
1990-08-01,4.79992e+11
1990-09-01,4.83142e+11
1990-10-01,4.87301e+11
1990-11-01,4.93056e+11
1990-12-01,4.98825e+11
1991-01-01,4.99819e+11
1991-02-01,5.00876e+11
1991-03-01,5.06493e+11
1991-04-01,5.10837e+11
1991-05-01,5.14452e+11
1991-06-01,5.17001e+11
1991-07-01,5.21044e+11
1991-08-01,5.20926e+11
1991-09-01,5.22696e+11
1991-10-01,5.24074e+11
