"Date","MAM2A3CAM189S"
1968-01-01,3.1117e+10
1968-02-01,3.1204e+10
1968-03-01,3.1334e+10
1968-04-01,3.179e+10
1968-05-01,3.2345e+10
1968-06-01,3.2476e+10
1968-07-01,3.2989e+10
1968-08-01,3.3508e+10
1968-09-01,3.3815e+10
1968-10-01,3.4027e+10
1968-11-01,3.4584e+10
1968-12-01,3.4892e+10
1969-01-01,3.5305e+10
1969-02-01,3.4994e+10
1969-03-01,3.5337e+10
1969-04-01,3.5772e+10
1969-05-01,3.6134e+10
1969-06-01,3.6286e+10
1969-07-01,3.658e+10
1969-08-01,3.6622e+10
1969-09-01,3.7025e+10
1969-10-01,3.7337e+10
1969-11-01,3.7899e+10
1969-12-01,3.8111e+10
1970-01-01,3.7956e+10
1970-02-01,3.8141e+10
1970-03-01,3.8509e+10
1970-04-01,3.8845e+10
1970-05-01,3.9196e+10
1970-06-01,3.9466e+10
1970-07-01,3.9839e+10
1970-08-01,4.0012e+10
1970-09-01,4.0372e+10
1970-10-01,4.0558e+10
1970-11-01,4.1275e+10
1970-12-01,4.1672e+10
1971-01-01,4.1878e+10
1971-02-01,4.2226e+10
1971-03-01,4.2775e+10
1971-04-01,4.3187e+10
1971-05-01,4.3874e+10
1971-06-01,4.4559e+10
1971-07-01,4.4897e+10
1971-08-01,4.5444e+10
1971-09-01,4.589e+10
1971-10-01,4.6234e+10
1971-11-01,4.6568e+10
1971-12-01,4.6952e+10
1972-01-01,4.7627e+10
1972-02-01,4.7943e+10
1972-03-01,4.8593e+10
1972-04-01,4.8997e+10
1972-05-01,4.9646e+10
1972-06-01,5.0046e+10
1972-07-01,5.1024e+10
1972-08-01,5.1335e+10
1972-09-01,5.2155e+10
1972-10-01,5.3005e+10
1972-11-01,5.3813e+10
1972-12-01,5.435e+10
1973-01-01,5.4984e+10
1973-02-01,5.5191e+10
1973-03-01,5.575e+10
1973-04-01,5.6678e+10
1973-05-01,5.7612e+10
1973-06-01,5.8136e+10
1973-07-01,5.9374e+10
1973-08-01,6.0019e+10
1973-09-01,6.0858e+10
1973-10-01,6.2084e+10
1973-11-01,6.3636e+10
1973-12-01,6.4857e+10
1974-01-01,6.597e+10
1974-02-01,6.6671e+10
1974-03-01,6.7847e+10
1974-04-01,6.9016e+10
1974-05-01,7.1061e+10
1974-06-01,7.1148e+10
1974-07-01,7.2519e+10
1974-08-01,7.3074e+10
1974-09-01,7.4157e+10
1974-10-01,7.5022e+10
1974-11-01,7.5392e+10
1974-12-01,7.5652e+10
1975-01-01,7.6936e+10
1975-02-01,7.7906e+10
1975-03-01,7.9286e+10
1975-04-01,8.0502e+10
1975-05-01,8.1473e+10
1975-06-01,8.224e+10
1975-07-01,8.3593e+10
1975-08-01,8.4266e+10
1975-09-01,8.5665e+10
1975-10-01,8.689e+10
1975-11-01,8.7751e+10
1975-12-01,8.9423e+10
1976-01-01,8.9312e+10
1976-02-01,9.0225e+10
1976-03-01,9.1294e+10
1976-04-01,9.2487e+10
1976-05-01,9.4169e+10
1976-06-01,9.5708e+10
1976-07-01,9.662e+10
1976-08-01,9.7679e+10
1976-09-01,9.8865e+10
1976-10-01,1.00279e+11
1976-11-01,1.02399e+11
1976-12-01,1.03564e+11
1977-01-01,1.04981e+11
1977-02-01,1.06103e+11
1977-03-01,1.0737e+11
1977-04-01,1.08799e+11
1977-05-01,1.10681e+11
1977-06-01,1.12223e+11
1977-07-01,1.12825e+11
1977-08-01,1.14176e+11
1977-09-01,1.15047e+11
1977-10-01,1.16358e+11
1977-11-01,1.18047e+11
1977-12-01,1.19489e+11
1978-01-01,1.2067e+11
1978-02-01,1.21954e+11
1978-03-01,1.2332e+11
1978-04-01,1.24199e+11
1978-05-01,1.26362e+11
1978-06-01,1.27566e+11
1978-07-01,1.29163e+11
1978-08-01,1.30715e+11
1978-09-01,1.32321e+11
1978-10-01,1.33761e+11
1978-11-01,1.37915e+11
1978-12-01,1.38639e+11
1979-01-01,1.40159e+11
1979-02-01,1.41494e+11
1979-03-01,1.42346e+11
1979-04-01,1.44352e+11
1979-05-01,1.47358e+11
1979-06-01,1.49231e+11
1979-07-01,1.51483e+11
1979-08-01,1.53501e+11
1979-09-01,1.55346e+11
1979-10-01,1.5755e+11
1979-11-01,1.6088e+11
1979-12-01,1.62914e+11
1980-01-01,1.64657e+11
1980-02-01,1.66499e+11
1980-03-01,1.69103e+11
1980-04-01,1.7116e+11
1980-05-01,1.73479e+11
1980-06-01,1.7529e+11
1980-07-01,1.77364e+11
1980-08-01,1.78858e+11
1980-09-01,1.80968e+11
1980-10-01,1.83997e+11
1980-11-01,1.87586e+11
1980-12-01,1.89981e+11
1981-01-01,1.90692e+11
1981-02-01,1.93271e+11
1981-03-01,1.95397e+11
