"Date","NNCABIS"
1964-01-01,132.69
1964-02-01,132.74
1964-03-01,132.66
1964-04-01,132.62
1964-05-01,134.23
1964-06-01,134.22
1964-07-01,134.19
1964-08-01,134.53
1964-09-01,134.8
1964-10-01,134.9
1964-11-01,135.05
1964-12-01,134.92
1965-01-01,135.02
1965-02-01,134.79
1965-03-01,134.19
1965-04-01,134.47
1965-05-01,134.52
1965-06-01,134.18
1965-07-01,134.1
1965-08-01,134.71
1965-09-01,134.98
1965-10-01,135.12
1965-11-01,135.1
1965-12-01,135
1966-01-01,135.15
1966-02-01,134.97
1966-03-01,134.98
1966-04-01,134.93
1966-05-01,134.96
1966-06-01,134.98
1966-07-01,135.17
1966-08-01,135.14
1966-09-01,135
1966-10-01,134.61
1966-11-01,134.28
1966-12-01,134.15
1967-01-01,134.55
1967-02-01,134.44
1967-03-01,134.24
1967-04-01,134.19
1967-05-01,134.2
1967-06-01,134.42
1967-07-01,134.74
1967-08-01,135.04
1967-09-01,135.08
1967-10-01,135.45
1967-11-01,135.46
1967-12-01,135.29
1968-01-01,134.79
1968-02-01,134.44
1968-03-01,134.69
1968-04-01,135.32
1968-05-01,135.63
1968-06-01,135.82
1968-07-01,136.14
1968-08-01,136.25
1968-09-01,136.2
1968-10-01,136.24
1968-11-01,136.2
1968-12-01,136.21
1969-01-01,136.26
1969-02-01,136.09
1969-03-01,135.79
1969-04-01,135.88
1969-05-01,135.68
1969-06-01,135.5
1969-07-01,135.34
1969-08-01,135.81
1969-09-01,135.86
1969-10-01,135.63
1969-11-01,135.94
1969-12-01,136.12
1970-01-01,136.31
1970-02-01,136.27
1970-03-01,136.29
1970-04-01,136.28
1970-05-01,136.29
1970-06-01,140.94
1970-07-01,141.68
1970-08-01,143.13
1970-09-01,143.93
1970-10-01,143.15
1970-11-01,143.31
1970-12-01,143.72
1971-01-01,144.51
1971-02-01,145.09
1971-03-01,145.25
1971-04-01,145.09
1971-05-01,144.85
1971-06-01,143.09
1971-07-01,143.33
1971-08-01,144.26
1971-09-01,143.41
1971-10-01,144.2
1971-11-01,144.2
1971-12-01,144.17
1972-01-01,142.58
1972-02-01,142.26
1972-03-01,142.98
1972-04-01,143.5
1972-05-01,144.52
1972-06-01,145.94
1972-07-01,145.49
1972-08-01,145.74
1972-09-01,145.68
1972-10-01,145.87
1972-11-01,145.29
1972-12-01,143.96
1973-01-01,143.57
1973-02-01,142.15
1973-03-01,140.41
1973-04-01,140.12
1973-05-01,139.8
1973-06-01,139.37
1973-07-01,138.53
1973-08-01,138.49
1973-09-01,137.99
1973-10-01,138.87
1973-11-01,140.43
1973-12-01,141.05
1974-01-01,143.96
1974-02-01,145.41
1974-03-01,145.19
1974-04-01,145.28
1974-05-01,145.82
1974-06-01,145.67
1974-07-01,144.5
1974-08-01,144.71
1974-09-01,143.87
1974-10-01,144.15
1974-11-01,143.21
1974-12-01,143.18
1975-01-01,141.76
1975-02-01,140.33
1975-03-01,139.98
1975-04-01,139.04
1975-05-01,136.52
1975-06-01,137.02
1975-07-01,137.44
1975-08-01,137.6
1975-09-01,139.14
1975-10-01,139.38
1975-11-01,140.89
1975-12-01,141.35
1976-01-01,142.18
1976-02-01,143.91
1976-03-01,145.59
1976-04-01,146.21
1976-05-01,146.82
1976-06-01,148.03
1976-07-01,148.08
1976-08-01,145.78
1976-09-01,147.2
1976-10-01,147.83
1976-11-01,146.02
1976-12-01,140.98
1977-01-01,142.01
1977-02-01,139.42
1977-03-01,136.13
1977-04-01,135.95
1977-05-01,136.27
1977-06-01,134.93
1977-07-01,133.94
1977-08-01,132.35
1977-09-01,132.62
1977-10-01,128.81
1977-11-01,126.92
1977-12-01,127.58
1978-01-01,126.82
1978-02-01,125.27
1978-03-01,123.54
1978-04-01,121.33
1978-05-01,124.52
1978-06-01,123.37
1978-07-01,121.85
1978-08-01,119.24
1978-09-01,116.6
1978-10-01,113.87
1978-11-01,115.75
1978-12-01,115.15
1979-01-01,114.06
1979-02-01,113.63
1979-03-01,115.95
1979-04-01,119.33
1979-05-01,118.61
1979-06-01,116.86
1979-07-01,116.92
1979-08-01,116.39
1979-09-01,116.96
1979-10-01,116.45
1979-11-01,116.59
1979-12-01,117.15
1980-01-01,117.6
1980-02-01,118.89
1980-03-01,118.19
1980-04-01,117.06
1980-05-01,116.76
1980-06-01,118.26
1980-07-01,118.23
1980-08-01,117.89
1980-09-01,116.91
1980-10-01,116.49
1980-11-01,115.52
1980-12-01,114.69
1981-01-01,115.02
1981-02-01,115.25
1981-03-01,116.19
1981-04-01,117
1981-05-01,117.1
1981-06-01,117.53
1981-07-01,117.77
1981-08-01,117.09
1981-09-01,118.57
1981-10-01,118.14
1981-11-01,118.87
1981-12-01,119.22
1982-01-01,118.99
1982-02-01,117.91
1982-03-01,117.74
1982-04-01,117.75
1982-05-01,116.25
1982-06-01,113.91
1982-07-01,114.54
1982-08-01,117.21
1982-09-01,118.59
1982-10-01,119.71
1982-11-01,120.25
1982-12-01,117.62
1983-01-01,118.12
1983-02-01,118.65
1983-03-01,119.11
1983-04-01,118.58
1983-05-01,118.86
1983-06-01,119.19
1983-07-01,119.42
1983-08-01,119.92
1983-09-01,120.06
1983-10-01,119.44
1983-11-01,119.35
1983-12-01,118.81
1984-01-01,118.95
1984-02-01,118.55
1984-03-01,115.74
1984-04-01,115.08
1984-05-01,114.46
1984-06-01,113.84
1984-07-01,113.02
1984-08-01,114.92
1984-09-01,114.84
1984-10-01,114.73
1984-11-01,114.45
1984-12-01,114.83
1985-01-01,115.28
1985-02-01,113.66
1985-03-01,110.93
1985-04-01,111.28
1985-05-01,110.45
1985-06-01,110.77
1985-07-01,110.97
1985-08-01,110.06
1985-09-01,109.2
1985-10-01,107.77
1985-11-01,106.32
1985-12-01,104.62
1986-01-01,103.46
1986-02-01,102.42
1986-03-01,101.95
1986-04-01,102.81
1986-05-01,103.17
1986-06-01,102.25
1986-07-01,102.07
1986-08-01,100.94
1986-09-01,100.99
1986-10-01,100.93
1986-11-01,101.56
1986-12-01,101.77
1987-01-01,101.9
1987-02-01,103.69
1987-03-01,104.55
1987-04-01,103.84
1987-05-01,101.65
1987-06-01,102.23
1987-07-01,103.73
1987-08-01,103.61
1987-09-01,103.75
1987-10-01,104.13
1987-11-01,102.35
1987-12-01,102.06
1988-01-01,103.84
1988-02-01,105.66
1988-03-01,106.85
1988-04-01,107.83
1988-05-01,107.68
1988-06-01,110.05
1988-07-01,112.07
1988-08-01,110.97
1988-09-01,110.59
1988-10-01,111.76
1988-11-01,109.6
1988-12-01,111.56
1989-01-01,112.72
1989-02-01,113.15
1989-03-01,112.95
1989-04-01,113.66
1989-05-01,114.19
1989-06-01,114.4
1989-07-01,114.42
1989-08-01,116.02
1989-09-01,115.82
1989-10-01,115.91
1989-11-01,116.41
1989-12-01,116.68
1990-01-01,115.42
1990-02-01,112.76
1990-03-01,115.15
1990-04-01,116.91
1990-05-01,115.37
1990-06-01,115.64
1990-07-01,116.37
1990-08-01,116.87
1990-09-01,114.98
1990-10-01,113.77
1990-11-01,113.06
1990-12-01,113.9
1991-01-01,114.42
1991-02-01,114
1991-03-01,115.45
1991-04-01,116.56
1991-05-01,117.14
1991-06-01,118.49
1991-07-01,117.91
1991-08-01,117.77
1991-09-01,118.06
1991-10-01,118.68
1991-11-01,117.83
1991-12-01,115.71
1992-01-01,114.44
1992-02-01,112.41
1992-03-01,112.29
1992-04-01,112.55
1992-05-01,111.05
1992-06-01,110.61
1992-07-01,110.27
1992-08-01,110.23
1992-09-01,107.41
1992-10-01,105.96
1992-11-01,105.26
1992-12-01,104.94
1993-01-01,104.88
1993-02-01,106.38
1993-03-01,107.3
1993-04-01,105.26
1993-05-01,104.48
1993-06-01,103.87
1993-07-01,104.04
1993-08-01,101.85
1993-09-01,100.56
1993-10-01,100.39
1993-11-01,101.44
1993-12-01,100.39
1994-01-01,101.76
1994-02-01,99.51
1994-03-01,97.52
1994-04-01,96.15
1994-05-01,96.11
1994-06-01,95.67
1994-07-01,95.09
1994-08-01,95.48
1994-09-01,96.95
1994-10-01,96.96
1994-11-01,96.05
1994-12-01,94.74
1995-01-01,92.89
1995-02-01,93.5
1995-03-01,92.07
1995-04-01,93.32
1995-05-01,94.7
1995-06-01,93.45
1995-07-01,94.68
1995-08-01,96.06
1995-09-01,96.94
1995-10-01,96.97
1995-11-01,96.55
1995-12-01,95.58
1996-01-01,96.08
1996-02-01,95.46
1996-03-01,96.24
1996-04-01,96.9
1996-05-01,96.23
1996-06-01,96.59
1996-07-01,96.23
1996-08-01,95.88
1996-09-01,96.27
1996-10-01,97.74
1996-11-01,98.47
1996-12-01,97.07
1997-01-01,98.43
1997-02-01,98.81
