"Date","XTEXVA01CAM664N"
1960-01-01,4.21e+08
1960-02-01,429500000
1960-03-01,4.39e+08
1960-04-01,366900000
1960-05-01,486100000
1960-06-01,4.57e+08
1960-07-01,464700000
1960-08-01,479600000
1960-09-01,447400000
1960-10-01,482400000
1960-11-01,475500000
1960-12-01,440900000
1961-01-01,458200000
1961-02-01,367800000
1961-03-01,439500000
1961-04-01,449800000
1961-05-01,460700000
1961-06-01,508300000
1961-07-01,530300000
1961-08-01,5.22e+08
1961-09-01,530400000
1961-10-01,559700000
1961-11-01,5.44e+08
1961-12-01,531900000
1962-01-01,503100000
1962-02-01,421500000
1962-03-01,470800000
1962-04-01,461300000
1962-05-01,614700000
1962-06-01,541700000
1962-07-01,561200000
1962-08-01,5.55e+08
1962-09-01,492100000
1962-10-01,618200000
1962-11-01,6.02e+08
1962-12-01,506100000
1963-01-01,546800000
1963-02-01,437700000
1963-03-01,501600000
1963-04-01,527700000
1963-05-01,666200000
1963-06-01,553100000
1963-07-01,607400000
1963-08-01,557800000
1963-09-01,602100000
1963-10-01,6.4e+08
1963-11-01,686200000
1963-12-01,653500000
1964-01-01,634100000
1964-02-01,549800000
1964-03-01,599700000
1964-04-01,670100000
1964-05-01,685400000
1964-06-01,795800000
1964-07-01,787900000
1964-08-01,692500000
1964-09-01,742400000
1964-10-01,688900000
1964-11-01,724300000
1964-12-01,732300000
1965-01-01,586800000
1965-02-01,557300000
1965-03-01,706400000
1965-04-01,664700000
1965-05-01,766300000
1965-06-01,737200000
1965-07-01,7.9e+08
1965-08-01,704200000
1965-09-01,719100000
1965-10-01,790900000
1965-11-01,924500000
1965-12-01,819400000
1966-01-01,741900000
1966-02-01,692300000
1966-03-01,802600000
1966-04-01,773500000
1966-05-01,932900000
1966-06-01,871900000
1966-07-01,853700000
1966-08-01,945200000
1966-09-01,909300000
1966-10-01,900600000
1966-11-01,977900000
1966-12-01,941600000
1967-01-01,951900000
1967-02-01,829200000
1967-03-01,8.54e+08
1967-04-01,902500000
1967-05-01,1070300000
1967-06-01,1037900000
1967-07-01,965400000
1967-08-01,905500000
1967-09-01,8.59e+08
1967-10-01,9.76e+08
1967-11-01,1047900000
1967-12-01,1020200000
1968-01-01,969754000
1968-02-01,1019770000
1968-03-01,1044368000
