"Date","XTEXVA01CAM664S"
1960-01-01,460771411.039625
1960-02-01,510115703.256021
1960-03-01,460924394.02459
1960-04-01,408277183.581242
1960-05-01,443099839.548151
1960-06-01,437954399.867269
1960-07-01,458616603.316096
1960-08-01,458575898.613064
1960-09-01,438628061.081463
1960-10-01,453771912.219823
1960-11-01,438420106.484975
1960-12-01,431467555.876138
1961-01-01,479738167.762204
1961-02-01,458932820.852539
1961-03-01,466273053.984749
1961-04-01,509901644.410968
1961-05-01,406285470.296313
1961-06-01,487194168.755592
1961-07-01,515449381.522866
1961-08-01,503326741.546726
1961-09-01,537054648.682769
1961-10-01,514938030.37695
1961-11-01,498750062.559195
1961-12-01,540655449.151921
1962-01-01,514383263.32625
1962-02-01,525157481.029574
1962-03-01,513766792.597409
1962-04-01,503780570.756018
1962-05-01,536621950.250609
1962-06-01,535997075.775664
1962-07-01,525457121.966732
1962-08-01,544265639.298382
1962-09-01,505813877.408553
1962-10-01,564903061.4182
1962-11-01,552606171.923194
1962-12-01,511895330.907683
1963-01-01,561885968.051068
1963-02-01,541786357.306332
1963-03-01,559324057.830272
1963-04-01,559925506.985873
1963-05-01,580240898.764134
1963-06-01,554976708.229892
1963-07-01,555549689.184197
1963-08-01,567877669.05481
1963-09-01,600607943.904536
1963-10-01,592429217.403794
1963-11-01,651257456.572865
1963-12-01,641925127.959737
1964-01-01,660985764.393454
1964-02-01,663907200.29199
1964-03-01,636532361.539789
1964-04-01,703092759.509686
1964-05-01,628117552.076436
1964-06-01,752206843.528602
1964-07-01,726659356.26611
1964-08-01,729207687.134635
1964-09-01,729521229.038898
1964-10-01,668645137.818486
1964-11-01,677102625.745914
1964-12-01,702558396.980218
1965-01-01,651097422.165264
1965-02-01,667401415.251386
1965-03-01,725361696.62711
1965-04-01,688529316.37819
1965-05-01,698684912.964412
1965-06-01,698161832.720295
1965-07-01,755549901.457242
1965-08-01,731923561.92805
1965-09-01,705611393.405216
1965-10-01,794893037.796693
1965-11-01,851052171.620323
1965-12-01,786604505.355086
1966-01-01,822241118.81948
1966-02-01,809195639.725978
1966-03-01,810289445.145964
1966-04-01,816093895.986443
1966-05-01,829803592.80579
1966-06-01,820391758.273296
1966-07-01,848272655.616438
1966-08-01,984199523.830986
1966-09-01,894880638.217465
1966-10-01,899895337.563108
1966-11-01,915549770.058435
1966-12-01,923990340.282579
1967-01-01,1027151429.70989
1967-02-01,945139486.954729
1967-03-01,856224270.993256
1967-04-01,956771484.488706
1967-05-01,935879064.306611
1967-06-01,975283239.397337
1967-07-01,966934932.428838
1967-08-01,963020746.467104
1967-09-01,876080973.181959
1967-10-01,942811867.125691
1967-11-01,984185087.355466
1967-12-01,1029180795.93639
1968-01-01,1023008487.38116
1968-02-01,1091457114.46973
1968-03-01,1093326479.32822
1968-04-01,1107714278.68916
1968-05-01,1118772550.93268
1968-06-01,1114032377.29922
1968-07-01,1098563207.46497
1968-08-01,1148139308.574
1968-09-01,1198837839.37632
1968-10-01,1222579468.28083
1968-11-01,1195171102.12489
1968-12-01,1219294392.95303
1969-01-01,1202075412.15027
1969-02-01,1222800920.38511
1969-03-01,1245739912.90771
1969-04-01,1189310581.46934
1969-05-01,1221724562.8656
1969-06-01,1221562435.64414
1969-07-01,1188156557.48788
1969-08-01,1194150852.5428
1969-09-01,1288312825.84856
1969-10-01,1272842114.18877
1969-11-01,1256896864.90115
1969-12-01,1365166469.27421
1970-01-01,1456257809.81612
1970-02-01,1378665400.78578
1970-03-01,1345225358.72774
1970-04-01,1444331275.16436
1970-05-01,1384166451.90622
1970-06-01,1376685203.13027
1970-07-01,1465137692.28656
1970-08-01,1398720779.43718
1970-09-01,1395058466.12253
1970-10-01,1388023110.48903
1970-11-01,1446416641.82425
1970-12-01,1346309387.04939
1971-01-01,1438747265.55269
1971-02-01,1382016489.30797
1971-03-01,1508615041.7032
1971-04-01,1414438662.35298
1971-05-01,1425820125.7116
1971-06-01,1487644538.1505
1971-07-01,1474965103.60819
1971-08-01,1608807887.94437
1971-09-01,1533208679.57967
1971-10-01,1505021579.21751
1971-11-01,1491994711.02782
1971-12-01,1566411861.8313
1972-01-01,1500639648.82124
1972-02-01,1588756523.78365
1972-03-01,1558278588.79311
1972-04-01,1603745142.86413
1972-05-01,1681399055.33237
1972-06-01,1697049568.42971
1972-07-01,1527642236.28102
1972-08-01,1687167535.16517
1972-09-01,1665811319.20357
1972-10-01,1852514709.55129
1972-11-01,1872422733.80525
1972-12-01,1871925683.84911
1973-01-01,1947628320.44708
1973-02-01,1965239673.44094
1973-03-01,2016225046.38169
